date,person,count,rn
2020-02-04,Nan,1,1
2020-02-05,Nan,1,1
2020-02-13,Nan,3,3
2020-02-13,Frederick Gilbert,4,2
2020-02-13,Los Angeles,6,1
2020-02-14,Frederick Gilbert,1,1
2020-02-24,Nan,1,1
2020-02-25,Frederick Gilbert,2,1
2020-02-25,Los Angeles,2,2
2020-02-27,Dotty Owens,1,1
2020-02-27,Frederick Gilbert,1,2
2020-02-27,Fredrick Gilbert,1,3
2020-03-02,Jamie Baxter,1,1
2020-03-02,Lionel Hampton,1,2
2020-03-02,Tegna Jason Puckett,1,3
2020-03-03,Amy Scott,1,1
2020-03-03,Christine Hahn,1,2
2020-03-03,Freddie Mac,1,3
2020-03-03,George Prentice,1,4
2020-03-03,Greg Goodrich,1,5
2020-03-03,Lindsay Haskellan,1,6
2020-03-03,Nan,1,7
2020-03-03,Nikole Zogg,1,8
2020-03-03,Nitya Niranjan,1,9
2020-03-05,Adam Geller,1,5
2020-03-05,Andrew Selsky,1,6
2020-03-05,Christine Hahn,1,7
2020-03-05,Greg Hahn,1,8
2020-03-05,Keith Ridler,1,9
2020-03-05,Lori Vallow,1,10
2020-03-05,Martha Bellisle,1,11
2020-03-05,Olga Rodriguez,1,12
2020-03-05,Rebecca Boone,1,13
2020-03-05,Tylee Ryan,1,14
2020-03-05,Brad Little,3,1
2020-03-05,Lauren Mclean,3,2
2020-03-05,Mallory Wilson,3,3
2020-03-05,Romeo Gervais,3,4
2020-03-06,Jay Inslee,1,6
2020-03-06,John Paul Jones,1,7
2020-03-06,Jon Johnson,1,8
2020-03-06,Kenneth Newhouse,1,9
2020-03-06,Mi Van Andel,1,10
2020-03-06,Moya Dolsby,1,11
2020-03-06,Nan,1,12
2020-03-06,Steve Warner,1,13
2020-03-06,Wilkes Barre,1,14
2020-03-06,Zealand Herald,1,15
2020-03-06,Lauren Mclean,4,4
2020-03-06,Romeo Gervais,4,5
2020-03-06,Mallory Wilson,7,3
2020-03-06,Brad Little,8,2
2020-03-06,Greg Hahn,9,1
2020-03-08,Massimo Galli,1,1
2020-03-08,Michael Osterholm,1,2
2020-03-08,Tedros Adhanom Ghebreyesus,1,3
2020-03-08,Tiffany Moyes,1,4
2020-03-10,Bennie Thompson,1,3
2020-03-10,Brad Bigford,1,4
2020-03-10,Byron Dorgan,1,5
