date,person,count,rn
2020-02-01,A Santa Clara,1,14
2020-02-01,Aarti Kohli,1,15
2020-02-01,Adrienne Shih,1,16
2020-02-01,Alex Azar,1,17
2020-02-01,Anne Harte,1,18
2020-02-01,Anthony Fauci,1,19
2020-02-01,Barack Obama,1,20
2020-02-01,Berkeley Instagram,1,21
2020-02-01,Bill Maher,1,22
2020-02-01,Bryant Lin,1,23
2020-02-01,Doug Yakel,1,24
2020-02-01,Elizabeth Warren,1,25
2020-02-01,Felix Aguilar,1,26
2020-02-01,Gabriel Square,1,27
2020-02-01,Janet Napolitano,1,28
2020-02-01,Jasmine Aguilera,1,29
2020-02-01,Joe Lee,1,30
2020-02-01,Joel Szabat,1,31
2020-02-01,Maher Los Angeles,1,32
2020-02-01,Marc Fisher,1,33
2020-02-01,Michael Eric Dyson,1,34
2020-02-01,Mike Mai,1,35
2020-02-01,Mikie Sherrill,1,36
2020-02-01,Mitch Landrieu,1,37
2020-02-01,Mitch Mcconnell,1,38
2020-02-01,Monica Schoch-Spana,1,39
2020-02-01,Nadia Alam,1,40
2020-02-01,Nan,1,41
2020-02-01,Nancy Messonnier,1,42
2020-02-01,Pete Buttigieg,1,43
2020-02-01,Rick Wilson,1,44
2020-02-01,Russell Jeung,1,45
2020-02-01,Santa Clara,1,46
2020-02-01,Sara Cody,1,47
2020-02-01,Scott Wintner,1,48
2020-02-01,Tedros Adhanom Ghebreyesus,1,49
2020-02-01,Toby Gilbert,1,50
2020-02-01,Ann Coulter,2,8
2020-02-01,Anthony Ocampo,2,9
2020-02-01,Christina Lee,2,10
2020-02-01,Masayoshi Son,2,11
2020-02-01,Robert Fullilove,2,12
2020-02-01,Rush Limbaugh,2,13
2020-02-01,Ben Sun,3,3
2020-02-01,Shoucheng Zhang,3,4
2020-02-01,Thomas Gaynor,3,5
2020-02-01,Tracy Wang,3,6
2020-02-01,Yue Fei,3,7
2020-02-01,Donald Trump,4,1
2020-02-01,Los Angeles,4,2
2020-02-02,Adrienne Shih,1,18
2020-02-02,Alberto Pezzali,1,19
2020-02-02,Anthony Kwan Getty,1,20
2020-02-02,Gonzalo Fuentes,1,21
2020-02-02,Kevin Frayer Getty,1,22
2020-02-02,Monica Schoch-Spana,1,23
2020-02-02,Nadia Alam,1,24
2020-02-02,Nancy Messonnier,1,25
2020-02-02,Tyrone Siu,1,26
2020-02-02,Kevin Frayer,2,17
2020-02-02,Ann Coulter,3,3
2020-02-02,Anthony Ocampo,3,4
2020-02-02,Christina Lee,3,5
2020-02-02,Diane Burgis,3,6
2020-02-02,Don Fernando Pacheco,3,7
2020-02-02,Elaine Young-Igie,3,8
2020-02-02,Gus Kramer,3,9
2020-02-02,Jonathan Rath Hoffman,3,10
2020-02-02,Loanne Tran,3,11
2020-02-02,Paul Seger,3,12
2020-02-02,Robert Fullilove,3,13
2020-02-02,Rush Limbaugh,3,14
2020-02-02,Scott Peters,3,15
2020-02-02,Sean Trambley,3,16
2020-02-02,Los Angeles,5,1
2020-02-02,Sara Cody,5,2
2020-02-03,Aarti Kohli,1,15
2020-02-03,Donald Trump,1,16
2020-02-03,Evina Wang,1,17
2020-02-03,Janet Napolitano,1,18
2020-02-03,Mike Pompeo,1,19
2020-02-03,Monica Schoch-Spana,1,20
2020-02-03,Nan,1,21
2020-02-03,Russell Jeung,1,22
2020-02-03,Tedros Adhanom Ghebreyesus,1,23
2020-02-03,Wang Mengyun,1,24
2020-02-03,Youssef Nassef,1,25
2020-02-03,Adrienne Shih,2,8
2020-02-03,Ann Coulter,2,9
2020-02-03,Anthony Ocampo,2,10
2020-02-03,Christina Lee,2,11
2020-02-03,Janet Gilmore,2,12
2020-02-03,Robert Fullilove,2,13
2020-02-03,Rush Limbaugh,2,14
