date,person,count,rn
2020-02-07,Kady Moran,1,1
2020-02-07,Kassandra Foley,1,2
2020-02-12,Mary Fran Wachunas,1,1
2020-02-12,Richard Crist,1,2
2020-02-12,Shirley Ann Jackson,1,3
2020-02-12,Yeming Shen,1,4
2020-02-20,Corey Billington,1,1
2020-02-20,Jose Andres,1,2
2020-02-27,Andrew Cuomo,1,1
2020-02-27,Charles Schumer,1,2
2020-02-27,Felix Ortiz,1,3
2020-02-27,Rudy Giuliani,1,4
2020-02-28,Andrew Cuomo,1,1
2020-02-28,Irwin Redlener,1,2
2020-02-28,Kent Syverud,1,3
2020-02-28,Shinzo Abe,1,4
2020-02-29,Irwin Redlener,1,1
2020-02-29,Kent Syverud,1,2
2020-02-29,Shinzo Abe,1,3
2020-03-02,Angelo Santabarbara,1,2
2020-03-02,James Tedisco,1,3
2020-03-02,Mike Bloomberg,1,4
2020-03-02,Thomas Marcelle,1,5
2020-03-02,Andrew Cuomo,2,1
2020-03-03,Alan Sanders,1,2
2020-03-03,Alex Azar,1,3
2020-03-03,Andrew Cuomo,1,4
2020-03-03,Erin Roberts,1,5
2020-03-03,Jack Mabb,1,6
2020-03-03,Lisa Ayers,1,7
2020-03-03,Mike Pence,1,8
2020-03-03,Peter Hopper,1,9
2020-03-03,Sara Boerenko,1,10
2020-03-03,Elizabeth Whalen,2,1
2020-03-04,Andrew Cuomo,1,1
2020-03-04,Daniel Mccoy,1,2
2020-03-04,Elizabeth Whalen,1,3
2020-03-04,Van Slyke,1,4
2020-03-04,William Van Slyke,1,5
2020-03-05,Aimee Binning,1,11
2020-03-05,Christine Porter,1,12
2020-03-05,Donald Trump,1,13
2020-03-05,Howard Zucker,1,14
2020-03-05,Jillian Balow,1,15
2020-03-05,Jubal Yennie,1,16
2020-03-05,Lisa Rambo,1,17
2020-03-05,Mark Gordon,1,18
2020-03-05,Mike Pence,1,19
2020-03-05,Andrew Cuomo,2,2
2020-03-05,Ayman Akari,2,3
2020-03-05,Dan Mccoy,2,4
2020-03-05,Erin Roberts,2,5
2020-03-05,Jack Mabb,2,6
2020-03-05,Janae Quackenbush,2,7
2020-03-05,Laurel Headwell,2,8
2020-03-05,Philip Morris,2,9
2020-03-05,Sara Boerenko,2,10
2020-03-05,Elizabeth Whalen,3,1
2020-03-08,Lisa Rambo,2,1
2020-03-08,Mark Gordon,2,2
2020-03-08,Ronald Reagan,2,3
2020-03-09,Nan,1,1
2020-03-10,Christine Porter,1,1
2020-03-10,David Finnoff,1,2
2020-03-10,Edward Seidel,1,3
2020-03-10,Hayden Jensen,1,4
