date,person,count,rn
2020-03-12,Benjamin Cox,1,2
2020-03-12,Betsy Sawyer-Manter,1,3
2020-03-12,Betsy Webb,1,4
2020-03-12,Christopher Burns,1,5
2020-03-12,Clayton Spencer,1,6
2020-03-12,Eesha Pendharkar,1,7
2020-03-12,Gregg Palmer,1,8
2020-03-12,Jane Mclucas,1,9
2020-03-12,Jeanne Lambrew,1,10
2020-03-12,John Bapst,1,11
2020-03-12,Kirsten Figueroa,1,12
2020-03-12,Linda Coan Okresik,1,13
2020-03-12,Linda Grandmaison,1,14
2020-03-12,Mel Mckay,1,15
2020-03-12,Nan,1,16
2020-03-12,Nancy Townsend Johnson,1,17
2020-03-12,Sean Findlen,1,18
2020-03-12,Todd Finn,1,19
2020-03-12,Nirav Shah,2,1
2020-03-13,Augusta Waterville,1,2
2020-03-13,Caitlin Andrews,1,3
2020-03-13,Eesha Pendharkar,1,4
2020-03-13,Kate Carlisle,1,5
2020-03-13,Nan,1,6
2020-03-13,Nirav Shah,1,7
2020-03-13,Ryan Lizanecz,1,8
2020-03-13,Clayton Spencer,2,1
2020-03-14,John Alexander,1,1
2020-03-14,John Porter,1,2
2020-03-14,Lori Valigra,1,3
2020-03-15,Andrew Cuomo,1,1
2020-03-15,Bruce Ribner,1,2
2020-03-15,Donald Trump,1,3
2020-03-15,Gabriel Cade,1,4
2020-03-15,Leana Wen,1,5
2020-03-15,Patrice Harris,1,6
2020-03-15,Raj Govindaiah,1,7
2020-03-15,Robert Davidson,1,8
2020-03-15,William Jaquis,1,9
2020-03-16,Abigail Curtis,1,1
2020-03-16,Brenda Zollitsch,1,2
2020-03-16,Brenda Zollitsch Veronica George,1,3
2020-03-16,Brooke Plourde Dupuy,1,4
2020-03-16,Jerry Favreau,1,5
2020-03-16,Jes Vaillancourt,1,6
2020-03-16,Nico Vaillancourt,1,7
2020-03-16,Veronica George,1,8
2020-03-17,Allen Austin,1,2
2020-03-17,Annie Baker-Streevy,1,3
2020-03-17,Belinda Gerry,1,4
2020-03-17,Caitlin Andrews,1,5
2020-03-17,Dan Greenleaf,1,6
2020-03-17,Jason Levesque,1,7
2020-03-17,Jerry Favreau,1,8
2020-03-17,Jessica Piper,1,9
2020-03-17,Jodi Cohen Hayashida,1,10
2020-03-17,Josh Keefe,1,11
2020-03-17,Judy Harrison,1,12
2020-03-17,Katy Grondin,1,13
2020-03-17,Leroy Walker,1,14
2020-03-17,Michael Shepherd,1,15
2020-03-17,Natalie Williams,1,16
2020-03-17,Our Lady,1,17
2020-03-17,Peter Crichton,1,18
2020-03-17,Phil Crowell,1,19
2020-03-17,Roger Cousineau,1,20
2020-03-17,Ross Lajeunesse,1,21
2020-03-17,Sara Gideon,1,22
2020-03-17,Steven Porter,1,23
2020-03-17,Susan Collins,1,24
2020-03-17,Troy Jackson,1,25
2020-03-17,Nirav Shah,2,1
2020-03-18,Allan Lobozzo,1,1
2020-03-18,Andrew Robinson,1,2
2020-03-18,James Howaniec,1,3
2020-03-18,Jon Levy,1,4
2020-03-18,Verne Paradie,1,5
2020-03-19,Chelsea Wood,1,1
2020-03-19,Evan Fiorenza,1,2
2020-03-19,Togabi Wikimedia Commons,1,3
2020-03-20,Nan,1,6
2020-03-20,Augusta Waterville,2,3
2020-03-20,Christopher Burns,2,4
2020-03-20,Clayton Spencer,2,5
2020-03-20,Nathan Walsh,5,1
2020-03-20,William Beasley,5,2
2020-03-21,Dana Nessel,1,1
2020-03-21,Deborah Birx,1,2
2020-03-21,Eric Samson,1,3
2020-03-21,Evan Vucci,1,4
2020-03-21,Jacquelyn Martin,1,5
2020-03-21,Mike Pence,1,6
2020-03-21,Mike Pompeo,1,7
2020-03-21,Steve Moody,1,8
2020-03-21,William Barr,1,9
2020-03-25,Chris Reed,1,1
2020-03-25,Donald Castonguay,1,2
2020-03-25,Matthew Bourgault,1,3
2020-03-25,Mike Booker,1,4
2020-03-25,Nirav Shah,1,5
2020-03-25,Robert Chase,1,6
2020-03-25,Sonny Dunham,1,7
2020-03-25,Tim Hardy,1,8
2020-03-25,Tony Milligan,1,9
2020-03-26,Jason Levesque,2,1
2020-03-26,Mark Cayer,2,2
2020-03-26,Peter Crichton,2,3
2020-03-27,Ash Wednesday,1,13
2020-03-27,Augusta Waterville,1,14
2020-03-27,Jack Dickinson,1,15
2020-03-27,Lou Phillips,1,16
2020-03-27,Matthew Church,1,17
2020-03-27,Our Lady,1,18
2020-03-27,Seamus Griesbach,1,19
2020-03-27,Eric Samson,2,1
2020-03-27,Freddie Mac,2,2
2020-03-27,Jean Locey,2,3
2020-03-27,Jennifer Munroe,2,4
2020-03-27,John Morrell,2,5
2020-03-27,Jon Jennings,2,6
2020-03-27,Kate Snyder,2,7
2020-03-27,Katie Mcgovern,2,8
2020-03-27,Kevin Joyce,2,9
2020-03-27,Michael Walter,2,10
2020-03-27,Paul Driscoll,2,11
2020-03-27,William King,2,12
2020-03-28,Augusta Waterville,1,5
2020-03-28,Matthew Church,1,6
2020-03-28,Seamus Griesbach,1,7
2020-03-28,Aaron Damboise,2,1
2020-03-28,Damboise Facebook,2,2
2020-03-28,John Skehan,2,3
2020-03-28,Our Lady,2,4
2020-03-29,Antonio Delgado,1,1
2020-03-29,Claire Parde,1,2
2020-03-29,Donald Trump,1,3
2020-03-30,Anthony Kanagaraj Chinnaiyan,1,1
2020-03-30,Beth El,1,2
2020-03-30,Darah Lerner,1,3
2020-03-30,Dave Guthro,1,4
2020-03-30,Judy Harrison,1,5
2020-03-30,Linda Nelson,1,6
2020-03-30,Mary Cathcart,1,7
2020-03-30,Timothy Dougherty,1,8
2020-03-31,Antonio Delgado,1,7
2020-03-31,Caitlin Bagenstose,1,8
2020-03-31,Calvin Dube,1,9
2020-03-31,Claire Parde,1,10
2020-03-31,Donald Trump,1,11
2020-03-31,Erin Reed,1,12
2020-03-31,Giff Jamison,1,13
2020-03-31,Logan Snyder,1,14
2020-03-31,Susan Sharon,1,15
2020-03-31,Allagash White,2,1
2020-03-31,Dan Demeritt,2,2
2020-03-31,Kate Carlisle,2,3
2020-03-31,Mike Arsnow,2,4
2020-03-31,Ned Wight,2,5
2020-03-31,Sean Sullivan,2,6
2020-04-01,Andy Molloy,1,1
2020-04-01,Andy Molloy Rick Gowell,1,2
2020-04-01,Augusta Waterville,1,3
2020-04-01,Caitlin Allen,1,4
2020-04-01,Don Lachance,1,5
2020-04-01,Rick Gowell,1,6
2020-04-02,Brittany Cyr,1,1
2020-04-02,Brooke Nadeau,1,2
2020-04-02,Kathy Roy-Gosselin,1,3
2020-04-02,Nirav Shah,1,4
2020-04-03,Brittany Cyr,1,1
2020-04-03,Brooke Nadeau,1,2
2020-04-03,Kathy Roy-Gosselin,1,3
2020-04-03,Nirav Shah,1,4
2020-04-06,Clayton Spencer,1,9
2020-04-06,Nick Sambides Jr,1,10
2020-04-06,Russ Dillingham Sun,1,11
2020-04-06,Augusta Waterville,2,1
2020-04-06,Harold Herschlag,2,2
2020-04-06,Jackie Farwell,2,3
2020-04-06,Kelly David,2,4
2020-04-06,Kyle Hadyniak,2,5
2020-04-06,Nirav Shah,2,6
2020-04-06,Steven Jorgensen,2,7
2020-04-06,Tom Feeley,2,8
2020-04-07,Christopher Wainwright,1,1
2020-04-07,Eric Samson,1,2
2020-04-07,Jake Langlai,1,3
2020-04-07,Scott Nichols,1,4
2020-04-07,Todd Finn,1,5
2020-04-07,Troy Morton,1,6
2020-04-08,Jeff Brickman,1,1
2020-04-08,Kate Carlisle,1,2
2020-04-09,Augusta Waterville,1,2
2020-04-09,Jeff Brickman,1,3
2020-04-09,Paul Bolin,1,4
2020-04-09,Kate Carlisle,2,1
2020-04-13,Augusta Waterville,1,5
2020-04-13,Betsy Devos,2,1
2020-04-13,Dannel Malloy,2,2
2020-04-13,David Daigler,2,3
2020-04-13,Susan Collins,2,4
2020-04-15,Nirav Shah,1,1
2020-04-16,Adam Robinson Funkflashyrob,1,1
2020-04-16,Kendra Metzger Newscentermainepic,1,2
2020-04-16,Roxie Lassetter,1,3
2020-04-16,Zach Blanchard Zachblanchard,1,4
2020-04-17,Christopher Wainwright,1,1
2020-04-17,Deputy William Gagne,1,2
2020-04-17,Eric Samson,1,3
2020-04-17,Roy Nickerson,1,4
2020-04-17,Scott Nichols,1,5
2020-04-18,Aaron Damboise,1,2
2020-04-18,Andrew Robinson,1,3
2020-04-18,Angus King,1,4
2020-04-18,Dave Guthro,1,5
2020-04-18,Elise Johansen,1,6
2020-04-18,Eric Eisaman,1,7
2020-04-18,Eric Samson,1,8
2020-04-18,Evan Cyr,1,9
2020-04-18,Gretchen Duff,1,10
2020-04-18,John Church,1,11
2020-04-18,Kent Ouellette,1,12
2020-04-18,Kevin Martin,1,13
2020-04-18,Kyle Doustou,1,14
2020-04-18,Lou Phillips,1,15
