date,person,count,rn
2020-02-24,Danielle Bochove,1,1
2020-02-24,Joe Richter,1,2
2020-02-24,Luzi Ann Javier,1,3
2020-02-24,Mark Bristow,1,4
2020-02-24,Richard Adkerson,1,5
2020-02-24,Steven Frank,1,6
2020-02-24,Tom Palmer,1,7
2020-02-26,Danielle Bochove,1,1
2020-02-26,Joe Richter,1,2
2020-02-26,Luzi Ann Javier,1,3
2020-02-26,Mark Bristow,1,4
2020-02-26,Richard Adkerson,1,5
2020-02-26,Steven Frank,1,6
2020-02-26,Tom Palmer,1,7
2020-03-02,Alex Azar,1,1
2020-03-02,Ashwin Jathavedam,1,2
2020-03-02,David Cennimo,1,3
2020-03-02,Jill Montag,1,4
2020-03-02,Mark Jarrett,1,5
2020-03-02,Michael Phillips,1,6
2020-03-02,Oluyemi Odugbesan,1,7
2020-03-02,Robyn Livingston,1,8
2020-03-02,Theresa Madaline,1,9
2020-03-04,Alex Azar,1,1
2020-03-04,Ashwin Jathavedam,1,2
2020-03-04,David Cennimo,1,3
2020-03-04,Jill Montag,1,4
2020-03-04,Mark Jarrett,1,5
2020-03-04,Michael Phillips,1,6
2020-03-04,Oluyemi Odugbesan,1,7
2020-03-04,Robyn Livingston,1,8
2020-03-04,Stephen Leonard,1,9
2020-03-04,Theresa Madaline,1,10
2020-03-05,Jessica Bralish,1,1
2020-03-05,Mike Pence,1,2
2020-03-07,Sandeep Vijan,1,1
2020-03-08,Andrew Romanoff,1,1
2020-03-08,Cory Gardner,1,2
2020-03-08,Diana Degette,1,3
2020-03-08,Elizabeth Erkenbrack,1,4
2020-03-08,Erik Underwood,1,5
2020-03-08,Gayle Rodgers,1,6
2020-03-08,Jared Polis,1,7
2020-03-08,John Hickenlooper,1,8
2020-03-08,Ken Salazar,1,9
2020-03-08,Michael Bennet,1,10
2020-03-08,Michele Hanley,1,11
2020-03-08,Sarah Johnson,1,12
2020-03-08,Stephany Rose Spaulding,1,13
2020-03-08,Tay Anderson,1,14
2020-03-08,Trish Zornio,1,15
2020-03-09,Nancy Montoya,1,1
2020-03-09,Steve Chavez,1,2
2020-03-10,Amie Mayhew,1,2
2020-03-10,Ashley Panelli,1,3
2020-03-10,Cher Roybal Haavind,1,4
2020-03-10,Donald Trump,1,5
2020-03-10,El Paso,1,6
2020-03-10,Pete Turner,1,7
2020-03-10,Sonia Riggs,1,8
2020-03-10,Jared Polis,2,1
2020-03-11,Corrine Lengsfeld,1,3
2020-03-11,Michelle Lujan Grisham,1,4
2020-03-11,Philip Distefano,1,5
2020-03-11,Tedros Adhanom Ghebreyesus,1,6
2020-03-11,Cesar Parra,2,1
2020-03-11,Jared Polis,2,2
2020-03-18,Nan,1,1
2020-03-19,Andrea Olsen,1,1
2020-03-19,Andrew Romanoff,1,2
2020-03-19,Hunter Kennedy,1,3
2020-03-19,Jim Cohen,1,4
2020-03-19,Laura Boyer,1,5
2020-03-19,Mary Jane Minkin,1,6
2020-03-19,Matt Olsen,1,7
2020-03-19,Mindy Marriott,1,8
2020-03-19,Rahul Gupta,1,9
2020-03-19,Ray Zwerin,1,10
2020-03-19,Rick Rheins,1,11
2020-03-19,Sam Feldman,1,12
2020-03-19,Susan Miller Rheins,1,13
2020-03-19,Tom Barrett,1,14
