date,person,count,rn
2020-03-19,Archer Countians,2,1
2020-03-19,Jeff Kwong,2,2
2020-03-27,Erin Nealy Cox,1,1
2020-03-27,Gavin Weslee Blake Perry,1,2
2020-03-27,Nancy Pelosi,1,3
2020-03-27,Tom Steele,1,4
2020-03-31,Archer Countians,2,1
2020-03-31,Jeff Kwong,2,2
2020-04-02,Greg Abbott,1,1
2020-05-01,John Cornyn,1,1
2020-05-17,Catherine Troisi,1,1
2020-05-17,Chris Van Deusen,1,2
2020-05-17,Gossom Jr,1,3
2020-05-17,Greg Abbott,1,4
2020-05-17,Jeralyn Parkey,1,5
2020-05-17,John Gibson,1,6
2020-05-17,Mike Campbell,1,7
2020-05-17,Randy Jackson,1,8
2020-05-17,Seth Christensen,1,9
2020-05-17,Van Deusen,1,10
2020-05-21,Nan,1,1
2020-05-28,Catherine Troisi,1,1
2020-05-28,Chris Van Deusen,1,2
2020-05-28,Gossom Jr,1,3
2020-05-28,Greg Abbott,1,4
2020-05-28,Jeralyn Parkey,1,5
2020-05-28,John Gibson,1,6
2020-05-28,Mike Campbell,1,7
2020-05-28,Randy Jackson,1,8
2020-05-28,Seth Christensen,1,9
2020-05-28,Van Deusen,1,10
2020-05-31,Amanda Mccoy,1,11
2020-05-31,Catherine Troisi,2,1
2020-05-31,Chris Van Deusen,2,2
2020-05-31,Gossom Jr,2,3
2020-05-31,Greg Abbott,2,4
2020-05-31,Jeralyn Parkey,2,5
2020-05-31,John Gibson,2,6
2020-05-31,Mike Campbell,2,7
2020-05-31,Randy Jackson,2,8
2020-05-31,Seth Christensen,2,9
2020-05-31,Van Deusen,2,10
2020-06-01,Dion Silva,1,11
2020-06-01,Joel Martinez,1,12
2020-06-01,Catherine Troisi,2,1
2020-06-01,Chris Van Deusen,2,2
2020-06-01,Gossom Jr,2,3
2020-06-01,Greg Abbott,2,4
2020-06-01,Jeralyn Parkey,2,5
2020-06-01,John Gibson,2,6
2020-06-01,Mike Campbell,2,7
2020-06-01,Randy Jackson,2,8
2020-06-01,Seth Christensen,2,9
2020-06-01,Van Deusen,2,10
