date,person,count,rn
2020-03-03,Susan Collins,1,1
2020-03-04,Donald Trump,1,1
2020-03-04,Kevin Raye,1,2
2020-03-04,Nancy Pelosi,1,3
2020-03-04,Stan Mcgeehan,1,4
2020-03-09,Caitlin Andrews,1,1
2020-03-09,Christopher Burns,1,2
2020-03-09,Jessica Piper,1,3
2020-03-09,Michael Shepherd,1,4
2020-03-09,Sara Gideon,1,5
2020-03-09,Stefan Iris,1,6
2020-03-09,Susan Collins,1,7
2020-03-10,Blankenship Facebook,1,1
2020-03-10,Brittany Dixon,1,2
2020-03-10,Gary Blankenship,1,3
2020-03-11,Alexander Macdougall,1,1
2020-03-11,Alexander Macdougall Houlton,1,2
2020-03-11,Ellen Halliday,1,3
2020-03-13,Anah Shriners,1,1
2020-03-14,Megan Cole,1,1
2020-03-15,Nan,1,1
2020-03-16,Charles Eichacker,2,1
2020-03-16,James Jarvis,2,2
2020-03-16,Linda Coan Okresik,2,3
2020-03-16,Nirav Shah,2,4
2020-03-17,Barresi Saucier,1,4
2020-03-17,Tai Chi,1,5
2020-03-17,David Raymond,2,1
2020-03-17,Kim Smith,2,2
2020-03-17,Melissa Lizotte,2,3
2020-03-18,Alden Routhier,1,8
2020-03-18,Amanda Barker,1,9
2020-03-18,David Marino Jr,1,10
2020-03-18,Kylee Bolstridge,1,11
2020-03-18,Mia Carney,1,12
2020-03-18,Zach Clark,1,13
2020-03-18,Charles Eichacker,2,1
2020-03-18,Craig Paradis,2,2
2020-03-18,Curtis Picard,2,3
2020-03-18,David Hoffman,2,4
2020-03-18,Jake Cooper,2,5
2020-03-18,Marc Cooper,2,6
2020-03-18,Scott Beal,2,7
2020-03-19,Brad Morin,1,1
2020-03-19,Facebook Facebook,1,2
2020-03-19,Fred Morse,1,3
2020-03-19,Gabriel Muteru,1,4
2020-03-19,Jack Dickinson,1,5
2020-03-19,John Church,1,6
2020-03-19,Kyle Doustou,1,7
2020-03-19,Our Lady,1,8
2020-03-19,Paul Marquis,1,9
2020-03-19,Phil Tracy,1,10
