date,person,count,rn
2020-03-14,Roy Cooper,1,1
2020-03-19,Che Apalache,1,1
2020-03-19,Deron Geouque,1,2
2020-03-19,Donald Trump,1,3
2020-03-19,Justice Cheri Beasley,1,4
2020-03-19,Kaitlin Lahm,1,5
2020-03-19,Roy Cooper,1,6
2020-03-23,Bradford Manor,1,1
2020-03-23,Donnia Denig,1,2
2020-03-23,Jill Owens,1,3
2020-03-23,Jovanna Porter,1,4
2020-03-23,Sena Kean Manor,1,5
2020-03-23,Yolanda Chiodo,1,6
2020-03-26,Roy Cooper,1,1
2020-03-31,Roy Cooper,1,1
2020-04-07,Deron Geouque,2,1
2020-04-07,Jennifer Greene,2,2
2020-04-07,Roy Cooper,2,3
2020-05-10,Nan,1,1
2020-05-28,Alex Phillips,1,1
2020-05-28,Charlotte Square,1,2
2020-05-28,Cleveland Pines,1,3
2020-05-28,Columbus Cty,1,4
2020-05-28,Hickory Viewmont,1,5
2020-05-28,Huntersville Oaks,1,6
2020-05-28,Louisburg Manor,1,7
2020-05-28,Tabor Commons,1,8
2020-05-29,Jennifer Greene,1,1
2020-06-01,Jacquelyn Martin,1,12
2020-06-01,Alan Suderman,3,1
2020-06-01,Ben Fox,3,2
2020-06-01,Donald Trump,3,3
2020-06-01,George Floyd,3,4
2020-06-01,James Laporta,3,5
2020-06-01,Kevin Freking,3,6
2020-06-01,Los Angeles,3,7
2020-06-01,Muriel Bowser,3,8
2020-06-01,Ryan Mccarthy,3,9
2020-06-01,Sarah Blake Morgan,3,10
2020-06-01,William Barr,3,11
