date,person,count,rn
2020-03-10,Christina Mandreucci,1,1
2020-03-10,Eddie Asberry,1,2
2020-03-10,Joe Chenelly,1,3
2020-03-10,Robert Wilkie,1,4
2020-03-12,Nan,1,1
2020-03-24,Anthony Fauci,1,1
2020-03-24,Brett Campbell,1,2
2020-03-24,Donald Trump,1,3
2020-03-24,John Cooper,1,4
2020-03-24,Manoj Jain,1,5
2020-04-22,Alex Flores,1,1
2020-04-25,Clare Keefer,1,7
2020-04-25,Jim Seghers,3,1
2020-04-25,Mary Seghers Shaffo,3,2
2020-04-25,Mel Keefer,3,3
2020-04-25,Michelle Seghers,3,4
2020-04-25,Our Lady,3,5
2020-04-25,Pam Brignac,3,6
2020-04-27,Archie Chaisson,1,1
2020-04-27,Craig Webre,1,2
2020-04-27,Earl Eues,1,3
2020-04-27,Gordon Dove,1,4
2020-04-27,Jeff Naquin,1,5
2020-04-27,John King,1,6
2020-05-08,Andrea Barras,1,1
2020-05-08,Doris Dugas,1,2
2020-05-08,Electa Fletcher-Mickens,1,3
2020-05-08,Jeremy Couvillion,1,4
2020-05-08,Jesse Robertson,1,5
2020-05-08,Jessica Ourso,1,6
2020-05-08,John Beck,1,7
2020-05-08,Lee Meyer Jr,1,8
2020-05-08,Michael Calabro,1,9
2020-05-08,Nichole Theriot,1,10
2020-06-17,Ashley Quinones,1,1
2020-06-17,Atatiana Jefferson,1,2
2020-06-17,Aysha Jones,1,3
2020-06-17,Becca Cooper,1,4
2020-06-17,Brady Mccombs,1,5
2020-06-17,Breonna Taylor,1,6
2020-06-17,Brian Mahoney,1,7
2020-06-17,Brian Quinones-Rosario,1,8
2020-06-17,Claire Galofaro,1,9
2020-06-17,David Keyton,1,10
2020-06-17,Derek Chauvin,1,11
2020-06-17,Eileen Huang,1,12
2020-06-17,El Cerrito,1,13
2020-06-17,Emmett Till,1,14
2020-06-17,Fred Hampton,1,15
2020-06-17,George Floyd,1,16
2020-06-17,George Jefferson,1,17
2020-06-17,Heather Hollingsworth,1,18
2020-06-17,Jahmal Cole,1,19
2020-06-17,Janae Jamison,1,20
2020-06-17,Janie Har,1,21
2020-06-17,Jeff Maddrey,1,22
2020-06-17,Jesse Jackson,1,23
2020-06-17,Martha Irvine,1,24
2020-06-17,Martin Luther King Jr,1,25
2020-06-17,Michael Brown,1,26
2020-06-17,Michael Newby,1,27
2020-06-17,Mohamed Ibrahim,1,28
2020-06-17,Nedu Anigbogu,1,29
2020-06-17,Scott Morrison,1,30
2020-06-17,Siggy Buchbinder,1,31
2020-06-17,Stacey Plaisance,1,32
2020-06-17,Tachianna Charpenter,1,33
2020-06-17,Vincent Chin,1,34
2020-06-17,Wendy Brookman,1,35
2020-06-17,Zachary Rolfe,1,36
2020-06-18,Ashley Quinones,1,1
2020-06-18,Atatiana Jefferson,1,2
2020-06-18,Aysha Jones,1,3
2020-06-18,Becca Cooper,1,4
2020-06-18,Beth Nakamura,1,5
2020-06-18,Brady Mccombs,1,6
2020-06-18,Breonna Taylor,1,7
2020-06-18,Brian Mahoney,1,8
2020-06-18,Brian Quinones-Rosario,1,9
2020-06-18,Brooke Herbert,1,10
2020-06-18,Claire Galofaro,1,11
2020-06-18,David Keyton,1,12
2020-06-18,Derek Chauvin,1,13
2020-06-18,Dominique Bryant,1,14
2020-06-18,Eileen Huang,1,15
2020-06-18,El Cerrito,1,16
2020-06-18,Elijah Raffington,1,17
2020-06-18,Emmett Till,1,18
2020-06-18,Fred Hampton,1,19
2020-06-18,George Floyd,1,20
2020-06-18,George Jefferson,1,21
2020-06-18,Heather Hollingsworth,1,22
2020-06-18,Jacquelyn Martin,1,23
2020-06-18,Jahmal Cole,1,24
2020-06-18,Janae Jamison,1,25
2020-06-18,Janie Har,1,26
2020-06-18,Jeff Maddrey,1,27
2020-06-18,Jesse Jackson,1,28
2020-06-18,John Minchillo,1,29
2020-06-18,Kirsty Wigglesworth,1,30
2020-06-18,Martha Irvine,1,31
2020-06-18,Martin Luther King Jr,1,32
2020-06-18,Michael Brown,1,33
2020-06-18,Michael Newby,1,34
2020-06-18,Mohamed Ibrahim,1,35
2020-06-18,Nedu Anigbogu,1,36
2020-06-18,Rick Bowmer,1,37
2020-06-18,Scott Morrison,1,38
2020-06-18,Sean Meagher,1,39
2020-06-18,Shaheed Muhammad,1,40
2020-06-18,Siggy Buchbinder,1,41
2020-06-18,Stacey Plaisance,1,42
2020-06-18,Tachianna Charpenter,1,43
2020-06-18,Trayvon Martin,1,44
2020-06-18,Vincent Chin,1,45
2020-06-18,Wendy Brookman,1,46
2020-06-18,Wong Maye,1,47
2020-06-18,Zachary Rolfe,1,48
