date,person,count,rn
2020-03-13,Andy Beshear,1,1
2020-03-13,Donald Shively,1,2
2020-03-13,Jennifer Robinson,1,3
2020-03-13,Steve Carter,1,4
2020-03-13,Trent Lovett,1,5
2020-03-24,Anthony Tinnin,1,1
2020-03-28,Covington Catholic,1,1
2020-03-28,Donald Trump,1,2
2020-03-28,John Boehner,1,3
2020-03-28,John Kerry,1,4
2020-03-28,Kim Moser,1,5
2020-03-28,Nancy Pelosi,1,6
2020-03-28,Sam Geduldig,1,7
2020-03-28,Scott Jennings,1,8
2020-03-28,Thomas Massie,1,9
2020-03-28,Todd Mcmurtry,1,10
2020-03-31,Nathan Steurer,1,1
2020-03-31,Tiffany Russelburg,1,2
2020-04-01,Andy Beshear,1,1
2020-04-01,Brent Cooper,1,2
2020-04-01,Carl Weiser,1,3
2020-04-01,Dan Hassert,1,4
2020-04-01,Devin Davidson,1,5
2020-04-21,Adam Krupp,1,1
2020-04-21,Brad Burbrink,1,2
2020-04-21,Chris Adair,1,3
2020-04-21,Curtis Hill,1,4
2020-04-21,Donald Trump,1,5
2020-04-21,Duane Parry,1,6
2020-04-21,Eli Lilly,1,7
2020-04-21,Eric Holcomb,1,8
2020-04-21,Instagram Learnmoreindiana,1,9
2020-04-21,Jerome Prince,1,10
2020-04-21,Joe Renner,1,11
2020-04-21,Mark Heckler,1,12
2020-04-21,Milton Trent,1,13
2020-04-21,Mindy Peterson,1,14
2020-04-21,Nate Harter,1,15
2020-04-21,Nick Passafiume,1,16
2020-04-22,Adam Krupp,1,1
2020-04-22,Brad Burbrink,1,2
2020-04-22,Chris Adair,1,3
2020-04-22,Curtis Hill,1,4
2020-04-22,Donald Trump,1,5
2020-04-22,Duane Parry,1,6
2020-04-22,Eli Lilly,1,7
2020-04-22,Eric Holcomb,1,8
2020-04-22,Instagram Learnmoreindiana,1,9
2020-04-22,Jerome Prince,1,10
2020-04-22,Joe Renner,1,11
2020-04-22,Mark Heckler,1,12
2020-04-22,Milton Trent,1,13
2020-04-22,Mindy Peterson,1,14
2020-04-22,Nate Harter,1,15
2020-04-22,Nick Passafiume,1,16
2020-04-23,Adam Krupp,1,1
2020-04-23,Brad Burbrink,1,2
2020-04-23,Chris Adair,1,3
2020-04-23,Curtis Hill,1,4
2020-04-23,Donald Trump,1,5
2020-04-23,Duane Parry,1,6
2020-04-23,Eli Lilly,1,7
2020-04-23,Eric Holcomb,1,8
2020-04-23,Instagram Learnmoreindiana,1,9
2020-04-23,Jerome Prince,1,10
2020-04-23,Joe Renner,1,11
2020-04-23,Mark Heckler,1,12
2020-04-23,Mike Pence,1,13
2020-04-23,Milton Trent,1,14
2020-04-23,Mindy Peterson,1,15
2020-04-23,Nate Harter,1,16
2020-04-23,Nick Passafiume,1,17
2020-05-05,Andy Beshear,1,1
2020-05-05,Eric Holcomb,1,2
2020-05-12,Andy Beshear,1,1
2020-05-12,Greg Fischer,1,2
2020-05-14,Nan,1,1
2020-05-15,Becky Olsen,1,1
2020-05-15,Ed Brownell,1,2
2020-05-15,Greg Fischer,1,3
2020-05-15,Gretchen Whitmer,1,4
2020-05-15,Jason Whitman,1,5
2020-05-15,Lora Moore,1,6
2020-05-15,Mike Parson,1,7
2020-05-15,Orlando Watson,1,8
2020-05-17,Bill Farmer,1,1
2020-05-17,Max Jason Marsden,1,2
2020-05-19,Theresa Heeger,1,1
2020-05-22,Andy Beshear,1,1
2020-05-22,Katie Axt,1,2
2020-05-22,Kempton Baldridge,1,3
2020-05-22,Sea Scout,1,4
2020-05-22,Tom Rhoades,1,5
