date,person,count,rn
2020-02-04,Dan Snell,2,1
2020-02-04,Jeff Doerr,2,2
2020-02-04,Maggie Mann,2,3
2020-02-04,Ryan Ohearn,2,4
2020-02-06,Nan,1,1
2020-02-26,Evan Frasure,1,1
2020-02-26,Jeff Doerr,1,2
2020-02-26,Kathryn Turner,1,3
2020-02-26,Kent Frasure,1,4
2020-02-26,London Breed,1,5
2020-02-26,Louise Zalusky-Kamm,1,6
2020-02-26,Nancy Messonnier,1,7
2020-03-05,Jordan Peterson,2,1
2020-03-06,Louise Zalusky-Kamm,1,1
2020-03-06,Pocatello Fred Meyer,1,2
2020-03-10,Bernie Sanders,1,1
2020-03-10,Joe Biden,1,2
2020-03-10,Julie Hancock,1,3
2020-03-10,Tulsi Gabbard,1,4
2020-03-11,Ron Solbrig,1,1
2020-03-14,Jason West,1,1
2020-03-14,Nan,1,2
2020-03-15,Elke Shaw-Tulloch,1,1
2020-03-15,Gwengarol Holmes,1,2
2020-03-15,Jerome Minidoka,1,3
2020-03-15,Keith Roark,1,4
2020-03-15,Kevin Satterlee,1,5
2020-03-16,Brad Little,1,1
2020-03-16,Dave Jeppesen,1,2
2020-03-16,Douglas Howell,1,3
2020-03-16,Mary Ann Ranells,1,4
2020-03-16,Nan,1,5
2020-03-18,Aaron Villano,1,1
2020-03-18,Mark Cruse,1,2
2020-03-18,Steve Pew,1,3
2020-03-19,Brian Blad,1,1
2020-03-19,Meg Kennedy,1,2
2020-03-19,Michele Castona,1,3
2020-03-19,Tiffany Taylor-Grimmett,1,4
2020-03-20,Brian Blad,1,2
2020-03-20,Nan,2,1
2020-03-21,Johnson Mcdonald,2,8
2020-03-21,Daniel Hallman,4,1
2020-03-21,Jennifer Erchul,4,2
2020-03-21,Maggie Mann,4,3
2020-03-21,Marsha Lamprecht,4,4
2020-03-21,Mary Johnson,4,5
2020-03-21,Mike Mccormick,4,6
2020-03-21,Rory Erchul,4,7
2020-03-22,Olivia Ngadjui,1,1
2020-03-22,Travis Mickelson,1,2
2020-03-23,Brad Little,1,1
2020-03-23,Carol Parker,1,2
2020-03-23,Jennifer Mcintosh,1,3
2020-03-23,Katie Taylor,1,4
2020-03-23,Saundra Lewis,1,5
2020-03-23,Steve Aust,1,6
2020-03-23,Travis Kunz,1,7
2020-03-23,Trisha Kennedy,1,8
2020-03-24,Nan,2,1
2020-03-25,Brian Blad,1,2
2020-03-25,Carol Parker,1,3
2020-03-25,Maggie Mann,1,4
2020-03-25,Scott Crowther,1,5
2020-03-25,Steve Aust,1,6
2020-03-25,Terrel Ned Tovey,1,7
2020-03-25,Travis Kunz,1,8
2020-03-25,Brad Little,2,1
2020-03-26,Dan Snell,1,4
2020-03-26,Elke Shaw-Tulloch,1,5
2020-03-26,Kevin Satterlee,1,6
2020-03-26,Logan Hudson,1,7
2020-03-26,Maggie Mann,1,8
2020-03-26,Matt Spaletta,1,9
2020-03-26,Brad Little,2,1
2020-03-26,Ernie Evans,2,2
2020-03-26,Sara Evans,2,3
2020-03-27,Brad Little,1,1
2020-03-27,Brent Ashcraft,1,2
2020-03-27,Carol Parker,1,3
2020-03-27,Corey Rasmussen,1,4
2020-03-27,Elke Shaw-Tulloch,1,5
2020-03-27,Janell Clement,1,6
2020-03-27,Jesus Christ,1,7
2020-03-27,Joe Galinzago,1,8
2020-03-27,Kevin Satterlee,1,9
2020-03-27,Logan Hudson,1,10
2020-03-27,Maggie Mann,1,11
2020-03-27,Matt Hardin,1,12
2020-03-27,Nan,1,13
2020-03-27,Steve Aust,1,14
2020-03-27,Theodore Roosevelt,1,15
2020-03-27,Travis Kunz,1,16
2020-03-28,Anna Reed,1,2
2020-03-28,Brett Crandall,1,3
2020-03-28,Daniel Reed,1,4
2020-03-28,Elke Shaw-Tulloch,1,5
2020-03-28,Kevin Satterlee,1,6
2020-03-28,Logan Hudson,1,7
2020-03-28,Luke Crockett,1,8
2020-03-28,Madison Emett,1,9
2020-03-28,Nathan Luke,1,10
2020-03-28,Rigby Andrus Rigby,1,11
2020-03-28,Sean Bartholick,1,12
2020-03-28,Brad Little,2,1
2020-03-29,Brad Little,1,1
2020-03-29,Elke Shaw-Tulloch,1,2
2020-03-29,Jesus Christ,1,3
2020-03-29,Karl Pettit,1,4
2020-03-29,Kevin Satterlee,1,5
