date,person,count,rn
2020-03-16,Aaron Dekuiper,1,1
2020-03-16,Danette Doyle,1,2
2020-03-16,Denise Favreau,1,3
2020-03-16,Gretchen Whitmer,1,4
2020-03-16,Robert Myers,1,5
2020-03-17,Gretchen Whitmer,1,1
2020-03-18,Christine Nefcy,1,1
2020-03-18,Kathy Dube,1,2
2020-03-18,Pam Kelly,1,3
2020-03-18,Paul Oliver,1,4
2020-03-18,Steve Kelly,1,5
2020-03-19,Brian Wheeler,1,1
2020-03-19,Roger Curtis,1,2
2020-03-19,Stacie Bytwork,1,3
2020-03-23,Jack Omalley,1,1
2020-03-25,Brett Fedorinchik,1,1
2020-03-25,Gretchen Whitmer,1,2
2020-03-25,Leif Kolt,1,3
2020-03-25,Liz Payne,1,4
2020-03-25,Scott Kidder,1,5
2020-03-25,Sherwin Williams,1,6
2020-03-29,Arielle Sheffield,1,1
2020-03-29,Erin Lamont,1,2
2020-03-30,Gretchen Whitmer,1,1
2020-03-30,Henry Ford Macomb,1,2
2020-03-30,Jason Mellema,1,3
2020-03-30,Joanne Elkin,1,4
2020-03-30,Mclaren Macomb,1,5
2020-03-30,Michael Devault,1,6
2020-03-30,Nick Ceglarek,1,7
2020-03-30,William Miller,1,8
2020-04-05,Andrew Miller,1,1
2020-04-05,Gretchen Whitmer,1,2
2020-04-05,Jason Kolehmainen,1,3
2020-04-05,Oliver Roberts,1,4
2020-04-05,Rick Schmidt,1,5
2020-04-05,Steve Christian,1,6
2020-04-07,Nan,1,1
2020-04-08,Amy Sherman,1,1
2020-04-08,Amy Sherman Mlive,1,2
2020-04-08,Brian Adams,1,3
2020-04-08,Bunny Hutch,1,4
2020-04-08,Cory Morse Mlive,1,5
2020-04-08,Flo Belmont Flo Greenville,1,6
2020-04-08,Instagram Michigangonzo,1,7
2020-04-08,Joe Heck,1,8
2020-04-08,John Gonzalez,1,9
2020-04-08,Kelly Kieft,1,10
2020-04-08,Kewpee Burger,1,11
2020-04-08,Lafayette Greenville,1,12
2020-04-08,Maurizio Arcidiacono,1,13
2020-04-08,Roger Rainey,1,14
2020-04-08,Rosie Ogrady Ferndale,1,15
2020-04-08,Scott Hoffer,1,16
2020-04-08,Tim Taylor,1,17
2020-04-08,Weston Kewpee Burger,1,18
2020-04-09,Brian Adams,1,1
2020-04-09,Kelly Kieft,1,2
2020-04-09,Nan,1,3
2020-04-09,Roger Rainey,1,4
2020-04-09,Scott Hoffer,1,5
2020-04-10,Scott Tucker,1,1
2020-04-10,Steve Hall,1,2
2020-04-15,Betsy Mccoughy,1,1
2020-04-15,Bill Whittle,1,2
2020-04-15,Donald Trump,1,3
2020-04-15,Gretchen Whitmer,1,4
2020-04-15,Heiko Maas,1,5
2020-04-15,Hillary Clinton,1,6
2020-04-15,John Cornyn R-Texas,1,7
2020-04-15,Joseph Edwards Williams,1,8
2020-04-15,Justin Schecker,1,9
2020-04-15,Lisa Peacock,1,10
2020-04-15,Paul Combetta,1,11
2020-04-15,Rosanne Ponkowski,1,12
2020-04-15,Rush Limbaugh,1,13
2020-04-15,Steffen Seibert,1,14
2020-04-15,Steven Nelson,1,15
2020-04-15,Tom Ulrich,1,16
2020-04-15,Whitney Fowkes,1,17
2020-04-15,Will Rogers,1,18
2020-04-16,Andy Beshear,1,1
2020-04-16,Barack Obama,1,2
2020-04-16,David Leonhardt,1,3
2020-04-16,Gary Herbert,1,4
2020-04-16,Gretchen Whitmer,1,5
2020-04-16,Jeanine Pirro,1,6
2020-04-16,Joe Biden,1,7
2020-04-16,John Delury,1,8
2020-04-16,Leonard Harrison,1,9
2020-04-16,Mike Dewine,1,10
2020-04-16,Roy Cooper,1,11
2020-04-16,Talmon Joseph Smith,1,12
2020-04-17,Nan,1,1
2020-04-20,Andy Beshear,1,1
2020-04-20,Donald Trump,1,2
2020-04-20,Hillary Clinton,1,3
2020-04-26,Chris Barsheff,1,1
2020-04-26,Pat Whiteford,1,2
2020-04-26,Ted Schendel,1,3
2020-04-26,Tom Bensley,1,4
2020-05-01,Adriana Diaz,1,1
2020-05-01,Deborah Gatewood,1,2
2020-05-01,Gretchen Whitmer,1,3
2020-05-01,Kaila Corrothers,1,4
2020-05-01,Kalia Corrothers,1,5
2020-05-01,Tasha Blackmon,1,6
2020-05-01,Ted Schendel,1,7
2020-05-11,Adelina Nina Camacho,1,1
2020-05-11,Gabriel Ghanoum,1,2
2020-05-11,Helvetica Neue,1,3
2020-05-11,Juan Parra,1,4
2020-05-11,Ron Desantis,1,5
2020-05-11,Steven Nolan,1,6
2020-05-13,Maree Mulvoy,1,1
2020-05-13,Ryan Schultz,1,2
2020-05-14,Gretchen Whitmer,1,1
2020-05-14,Joneigh Khaldun,1,2
2020-05-14,Linda Farrell,1,3
2020-05-14,Lisa Peacock,1,4
2020-05-15,Rick Coates,1,1
2020-05-26,Alex Brandon,1,1
2020-05-26,Brit Hume,1,2
2020-05-26,Dana Nessel,1,3
2020-05-26,Donald Trump,1,4
2020-05-26,Joe Biden,1,5
2020-05-27,Amber Alsip,1,1
2020-05-27,Angela Worpell,1,2
2020-05-27,Heather Kyseth,1,3
