date,person,count,rn
2020-02-02,Anthony S Fauci,1,1
2020-02-02,Daniel Bausch,1,2
2020-02-02,Michael Ryan,1,3
2020-02-02,Peter Piot,1,4
2020-02-02,Thomas R Frieden,1,5
2020-02-02,W Ian Lipkin,1,6
2020-02-02,William Schaffner,1,7
2020-02-03,Alex Azar,1,8
2020-02-03,Alex Luo,1,9
2020-02-03,Aly Kassam-Remtulla,1,10
2020-02-03,Giulia Marchi,1,11
2020-02-03,Irini Daskalaki,1,12
2020-02-03,Michael Hotchkiss,1,13
2020-02-03,Robin Izzo,1,14
2020-02-03,Tedros Adhanom Ghebreyesus,1,15
2020-02-03,Anthony S Fauci,2,5
2020-02-03,Thomas R Frieden,2,6
2020-02-03,W Ian Lipkin,2,7
2020-02-03,Daniel Bausch,5,1
2020-02-03,Michael Ryan,5,2
2020-02-03,Peter Piot,5,3
2020-02-03,William Schaffner,5,4
2020-02-07,Adrienne Shih,1,7
2020-02-07,Christopher Ojeda,1,8
2020-02-07,Donald Trump,1,9
2020-02-07,Edith Bracho-Sanchez,1,10
2020-02-07,Jiang Rongmeng,1,11
2020-02-07,John Pomfret,1,12
2020-02-07,Los Angeles,1,13
2020-02-07,Merlin Chowkwanyun,1,14
2020-02-07,Tyler Durden,1,15
2020-02-07,Ucberkeley Instagram,1,16
2020-02-07,Wilbur Ross,1,17
2020-02-07,Elma Castillo,2,1
2020-02-07,Francisco Rodriguez,2,2
2020-02-07,Gabriel Hernandez Jr,2,3
2020-02-07,Kayur Patel,2,4
2020-02-07,Neveah Hernandez,2,5
2020-02-07,Stephanie Conteron,2,6
2020-02-09,Emma Obrien,1,6
2020-02-09,James Mayger,1,7
2020-02-09,Rebecca Jones,1,8
2020-02-09,Adam Kucharski,2,1
2020-02-09,Benjamin Cowling,2,2
2020-02-09,Ian Lipkin,2,3
2020-02-09,Manuel Battegay,2,4
2020-02-09,Mike Ryan,2,5
2020-02-10,Dominic Lau,1,9
2020-02-10,Emma Obrien,1,10
2020-02-10,Ian Barr,1,11
2020-02-10,James Mayger,1,12
2020-02-10,Kathleen Oneill Sherisa Rivera,1,13
2020-02-10,Shahrzad Elghanayan,1,14
2020-02-10,Shamim Adam,1,15
2020-02-10,Adam Kucharski,3,1
2020-02-10,Benjamin Cowling,3,2
2020-02-10,Cynthia Casson Morton,3,3
2020-02-10,Ian Lipkin,3,4
2020-02-10,Manuel Battegay,3,5
2020-02-10,Mike Ryan,3,6
2020-02-10,Sherisa Rivera,3,7
2020-02-10,Zev Williams,3,8
2020-02-11,Cynthia Casson Morton,1,1
2020-02-11,Sherisa Rivera,1,2
2020-02-11,Zev Williams,1,3
2020-02-12,Arlene King,1,1
2020-02-12,Bruce Aylward,1,2
