date,person,count,rn
2020-03-11,Josh Clayton,1,1
2020-03-11,Kristi Noem,1,2
2020-03-12,Josh Clayton,1,1
2020-03-12,Kristi Noem,1,2
2020-04-04,Eileen Williamson,1,1
2020-04-04,Ian Bardwell,1,2
2020-04-04,Jeanne Lischer,1,3
2020-04-04,John Remus,1,4
2020-04-04,John Richmeier,1,5
2020-04-04,Jonathan Ellis,1,6
2020-04-04,Jud Kneuvean,1,7
2020-04-04,Karl Puckett,1,8
2020-04-04,Kevin Grode,1,9
2020-04-04,Kirt Manion,1,10
2020-04-04,Lucas Zukiewicz,1,11
2020-04-04,Matt Krajewski,1,12
2020-04-04,Morris Heitman,1,13
2020-04-04,Neal Grigg,1,14
2020-04-04,Pat Guinan,1,15
2020-04-04,Pat Sheldon,1,16
2020-04-04,Tom Curran,1,17
2020-04-05,Eileen Williamson,1,1
2020-04-05,Ian Bardwell,1,2
2020-04-05,Jeanne Lischer,1,3
2020-04-05,John Remus,1,4
2020-04-05,John Richmeier,1,5
2020-04-05,Jonathan Ellis,1,6
2020-04-05,Jud Kneuvean,1,7
2020-04-05,Karl Puckett,1,8
2020-04-05,Kevin Grode,1,9
2020-04-05,Kirt Manion,1,10
2020-04-05,Lucas Zukiewicz,1,11
2020-04-05,Matt Krajewski,1,12
2020-04-05,Morris Heitman,1,13
2020-04-05,Neal Grigg,1,14
2020-04-05,Pat Guinan,1,15
2020-04-05,Pat Sheldon,1,16
2020-04-05,Tom Curran,1,17
2020-04-06,Alex Brooks,1,1
2020-04-06,Eileen Williamson,1,2
2020-04-06,Ian Bardwell,1,3
2020-04-06,Jeanne Lischer,1,4
2020-04-06,John Remus,1,5
2020-04-06,Jud Kneuvean,1,6
2020-04-06,Kevin Grode,1,7
2020-04-06,Lucas Zukiewicz,1,8
2020-04-06,Matt Krajewski,1,9
2020-04-06,Morris Heitman,1,10
2020-04-06,Neal Grigg,1,11
2020-04-06,Pat Guinan,1,12
2020-04-06,Sam Sulser,1,13
2020-04-07,Jeanne Lischer,1,1
2020-04-07,Jud Kneuvean,1,2
2020-04-07,Morris Heitman,1,3
2020-04-07,Neal Grigg,1,4
2020-04-07,Pat Guinan,1,5
2020-04-07,Pat Sheldon,1,6
2020-04-12,Eileen Williamson,1,1
2020-04-12,Ian Bardwell,1,2
2020-04-12,Jeanne Lischer,1,3
2020-04-12,John Remus,1,4
2020-04-12,Jud Kneuvean,1,5
2020-04-12,Kevin Grode,1,6
2020-04-12,Lucas Zukiewicz,1,7
2020-04-12,Morris Heitman,1,8
2020-04-12,Neal Grigg,1,9
2020-04-12,Pat Guinan,1,10
2020-04-12,Tom Curran,1,11
2020-04-17,Bon Homme,1,1
2020-04-17,Josh Clayton,1,2
2020-04-17,Kristi Noem,1,3
2020-04-18,Bon Homme,1,1
2020-04-18,Donald Trump,1,2
2020-04-18,Josh Clayton,1,3
2020-04-18,Kristi Noem,1,4
2020-04-18,Paul Tenhaken,1,5
2020-04-29,Getty Imagesby,1,11
2020-04-29,Dante Desiderio,2,1
2020-04-29,Ernie Stevens Jr,2,2
2020-04-29,Gary Batton,2,3
2020-04-29,Jason Salsman,2,4
2020-04-29,Kermit Mankiller,2,5
2020-04-29,Las Vegas,2,6
2020-04-29,Martha Mcsally,2,7
2020-04-29,Michael Burcham,2,8
2020-04-29,Roger Trudell,2,9
2020-04-29,Steve Mnuchin,2,10
2020-05-01,Dante Desiderio,1,1
2020-05-01,Ernie Stevens Jr,1,2
2020-05-01,Gary Batton,1,3
2020-05-01,Jason Salsman,1,4
2020-05-01,Kermit Mankiller,1,5
2020-05-01,Las Vegas,1,6
2020-05-01,Martha Mcsally,1,7
2020-05-01,Michael Burcham,1,8
2020-05-01,Roger Trudell,1,9
2020-05-01,Steve Mnuchin,1,10
2020-05-02,Dante Desiderio,1,1
2020-05-02,Ernie Stevens Jr,1,2
2020-05-02,Gary Batton,1,3
2020-05-02,Jason Salsman,1,4
2020-05-02,Kermit Mankiller,1,5
2020-05-02,Las Vegas,1,6
2020-05-02,Martha Mcsally,1,7
2020-05-02,Michael Burcham,1,8
2020-05-02,Roger Trudell,1,9
2020-05-02,Steve Mnuchin,1,10
