date,person,count,rn
2020-05-06,Darcey Steinke,1,1
2020-05-06,David Koresh,1,2
2020-05-06,Gary Noesner,1,3
2020-05-06,James Brannon,1,4
2020-05-06,Janet Reno,1,5
2020-05-06,Jean Holub,1,6
2020-05-06,Sandy Huffaker Getty,1,7
2020-05-14,Bob Smathers,1,1
2020-05-14,Zak Miller,1,2
2020-06-17,Ben Lomond,1,1
2020-06-17,Damon Gutzwiller,1,2
2020-06-17,Dave Patrick Underwood,1,3
2020-06-17,George Floyd,1,4
2020-06-17,Kathleen Belew,1,5
2020-06-17,Las Vegas,1,6
2020-06-17,Robert Alvin Justus Jr,1,7
2020-06-17,Steven Carrillo,1,8
