date,person,count,rn
2020-02-27,Angela Dunn,1,1
2020-02-27,Keith Larsen,1,2
2020-03-11,Jon Reed,1,1
2020-03-11,Noah Glick,1,2
2020-03-11,Sonja Hutson,1,3
2020-03-17,Alex Stoddard,1,1
2020-03-17,Angela Dunn,1,2
2020-03-17,David Blodgett,1,3
2020-03-17,David Fuchs,1,4
2020-03-17,Diane Maggipinto,1,5
2020-03-17,Dylan Cole,1,6
2020-03-17,Jacob Klopfenstein,1,7
2020-03-17,John Saldivar,1,8
2020-03-17,Kate Groetzinger,1,9
2020-03-17,Lev Aslan Dermen,1,10
2020-03-17,Lev Dermen,1,11
2020-03-19,Alton William Packard,1,1
2020-03-19,Cory Alaina Menlove,1,2
2020-03-19,Curt Karen Menlove,1,3
2020-03-19,Jesus Christ,1,4
2020-03-19,Kent Colleen Menlove,1,5
2020-03-19,Merle Blackett,1,6
2020-03-19,Mitchel Wendy Menlove,1,7
2020-03-19,Nancy Packard Menlove,1,8
2020-03-19,Phillip Bobbi Menlove,1,9
2020-03-19,Richard Duaine Menlove,1,10
2020-03-19,Russell Wendy Menlove,1,11
2020-03-22,Carrie Fisher,1,1
2020-03-22,Clayton Simms,1,2
2020-03-22,Cory Fitzwater,1,3
2020-03-22,Jon Williams,1,4
2020-03-22,Lev Aslan Dermen,1,5
2020-03-22,Randy Richards,1,6
2020-03-22,Scott Williams,1,7
2020-03-22,Sim Gill,1,8
2020-03-31,Angela Dunn,1,1
2020-03-31,Daniel Woodruff,1,2
2020-03-31,Gary Herbert,1,3
2020-03-31,Jesus Christ,1,4
2020-04-09,Bernie Sanders,1,1
2020-04-09,Brandon Webb,1,2
2020-04-09,Gary Herbert,1,3
2020-04-09,Robert Smithson,1,4
2020-04-09,Ross Terrell,1,5
2020-04-09,Sonja Hutson,1,6
2020-04-16,Craig Buttars,1,1
2020-04-18,Brian Bennion,1,1
2020-04-18,Isa Perry,1,2
2020-04-22,Al Hartmann,1,1
2020-04-22,Candice Christina Melo,1,2
2020-04-22,David Leavitt,1,3
2020-04-22,Erin Hooley,1,4
2020-04-22,Greg Skordas,1,5
2020-04-22,John Swallow,1,6
2020-04-22,Joseph Shinners,1,7
2020-04-22,Kevin Probasco,1,8
2020-04-22,Lacey Paige Lawrence,1,9
2020-04-22,Larry Graff,1,10
2020-04-22,Mark Anthony Ott,1,11
2020-04-22,Mike Leavitt,1,12
2020-04-22,Rudy Bautista,1,13
2020-04-22,Scott G Winterton,1,14
2020-04-22,Sean Reye,1,15
2020-04-22,Sean Reyes,1,16
2020-04-28,Jared Bowman,1,1
2020-05-09,Andrea Childs,1,1
2020-05-09,Jen Acevedo,1,2
2020-05-09,Nick Humbracht,1,3
2020-05-09,Sherrie Lopez,1,4
2020-05-09,Stacy Reynolds,1,5
2020-05-24,Andrew Keith,1,1
2020-05-24,Claire Chase,1,2
2020-05-24,Lujan Grisham,1,3
2020-05-24,Mark Gordon,1,4
2020-05-24,Michelle Lujan Grisham,1,5
2020-05-24,Pete Ricketts,1,6
2020-05-24,Tara Nethercott,1,7
2020-05-24,Yvette Herrell,1,8
2020-05-25,Arthur David Arrivee,1,1
2020-05-25,Carl Julius Evans,1,2
2020-05-25,Clayton Conley,1,3
2020-05-25,Clyde Neil Foster,1,4
2020-05-25,Frank Keith Hoesch,1,5
2020-05-25,Frank Richard Gallegos,1,6
2020-05-25,George Major,1,7
2020-05-25,Gerald Dwaine Durbin,1,8
2020-05-25,Glen Lamar Shupe,1,9
2020-05-25,Glenn Robert Bothwell,1,10
2020-05-25,Harold Roy Holmes,1,11
2020-05-25,Harry Truman,1,12
2020-05-25,Howard Andrew Stewart,1,13
2020-05-25,Howard Lamont Croshaw,1,14
2020-05-25,James Edward Martin,1,15
2020-05-25,James Montgomery,1,16
2020-05-25,Joseph Marrelli,1,17
2020-05-25,Lagrant Leslie Wadman,1,18
2020-05-25,Lawrence Oliver Larsen,1,19
2020-05-25,Leonard Kelsey Chinn,1,20
2020-05-25,Louis Norgall Christensen,1,21
2020-05-25,Morris Sophus Michelsen,1,22
2020-05-25,Neldon Earl Blackett,1,23
2020-05-25,Orville Paul Phillips,1,24
2020-05-25,Ralph Stephen Asher,1,25
2020-05-25,Richard Franklin Matthews,1,26
2020-05-25,Richard Garrett Hollyoak,1,27
2020-05-25,Robert Wheeler Gillespie,1,28
2020-05-25,Ronald Warren Dibble,1,29
2020-05-25,Ross Kay Bramwell,1,30
2020-05-25,Samuel Vern Westerman,1,31
2020-05-25,Thomas Montoya,1,32
2020-05-25,Walter Varsall Jensen,1,33
2020-05-25,William Edward Wagner,1,34
2020-05-25,William Francis Brown,1,35
2020-05-30,Angela Dunn,1,1
2020-05-30,Jenny Johnson,1,2
2020-06-05,Bella Mccain,1,8
2020-06-05,Madison King,1,9
2020-06-05,Ryan Cragun,1,10
2020-06-05,Logan Morrison,2,6
2020-06-05,Rick Bowmer Rick Bowmer,2,7
2020-06-05,Shaelee Palmer,4,5
2020-06-05,Andrew Zitting,5,1
2020-06-05,Guenter Castrillo,5,2
2020-06-05,Jesus Christ,5,3
2020-06-05,Rick Bowmer,5,4
2020-06-07,Andrew Zitting,1,1
2020-06-07,Bella Mccain,1,2
2020-06-07,Guenter Castrillo,1,3
2020-06-07,Jesus Christ,1,4
2020-06-07,Madison King,1,5
2020-06-07,Rick Bowmer,1,6
2020-06-07,Ryan Cragun,1,7
