date,person,count,rn
2020-02-13,Alex Stamos,1,1
2020-02-13,Angie Coiro,1,2
2020-02-13,Barack Obama,1,3
2020-02-13,Barbara Lee,1,4
2020-02-13,Conor Dougherty,1,5
2020-02-13,Dan Pfeiffer,1,6
2020-02-13,Daniel Ellsberg,1,7
2020-02-13,Heike Winterheld,1,8
2020-02-13,Irina Raicu,1,9
2020-02-13,Jackie Speier,1,10
2020-02-13,Jonathan Rodden,1,11
2020-02-13,Martin Luther King Jr,1,12
2020-02-13,Michael Krasny,1,13
2020-02-13,Michele Borba,1,14
2020-02-13,Muriel Macdonald,1,15
2020-02-13,Naima Shalhoub,1,16
2020-02-13,Narges Bajoghli,1,17
2020-02-13,Nellie Bowles,1,18
2020-02-13,Noam Chomsky,1,19
2020-02-13,Osher Marin,1,20
2020-02-13,Paul Pierson,1,21
2020-02-13,Pilar Jennings,1,22
2020-02-13,Pramila Jayapal,1,23
2020-02-13,Rahm Emanuel,1,24
2020-02-13,Robert Reich,1,25
2020-02-13,Rose Mcdermott,1,26
2020-02-13,Santa Clara,1,27
2020-02-13,Sasha Khokha,1,28
2020-02-13,Shawn Lani,1,29
2020-02-13,Subramaniam Vincent,1,30
2020-02-13,William Kristol,1,31
2020-02-13,Yossi Beilin,1,32
2020-03-20,Barack Obama,1,1
2020-03-20,Bill Clinton,1,2
2020-03-20,Dick Cheney,1,3
2020-03-20,Donald Trump,1,4
2020-03-20,Elizabeth Warren,1,5
2020-03-20,George Orwell,1,6
2020-03-20,Geraldine Ferraro,1,7
2020-03-20,Hillary Clinton,1,8
2020-03-20,James Carville,1,9
2020-03-20,Joe Biden,1,10
2020-03-20,John Mccain,1,11
2020-03-20,Paper Tiger,1,12
2020-03-20,Ralph Nader,1,13
2020-03-20,Sarah Palin,1,14
2020-03-20,Walter Mondale,1,15
2020-04-07,Alexander Wang,1,1
2020-04-07,Avena Gallagher,1,2
2020-04-07,Babak Radboy,1,3
2020-04-07,Brigitte Chartrand,1,4
2020-04-07,Bushwick Birkin,1,5
2020-04-07,Camilla Nickerson,1,6
2020-04-07,Carlos Nazario,1,7
2020-04-07,Dev Hynes,1,8
2020-04-07,Donald Trump,1,9
2020-04-07,Elliott Jerome Brown Jr,1,10
2020-04-07,Irving Plaza,1,11
2020-04-07,Jamie Richardson,1,12
2020-04-07,Pitti Uomo,1,13
2020-04-07,Proenza Schouler,1,14
2020-04-07,Roe Ethridge,1,15
2020-04-07,Shayne Oliver,1,16
2020-04-07,Shayne Oliver Hood,1,17
2020-04-07,Sonja Morgan,1,18
2020-04-07,Telfar Clemens,1,19
2020-04-07,White Castle,1,20
2020-04-07,Xya Rachel,1,21
2020-04-18,Heather Lubov,1,1
2020-04-21,Carlos Mellado,1,1
2020-04-21,Edmy Ayala,1,2
2020-04-21,El Nuevo,1,3
2020-04-21,Joshua James,1,4
2020-04-21,Kenira Thompson,1,5
2020-04-21,Lorenzo Gonz,1,6
2020-04-21,Michelle Garc,1,7
2020-04-21,Riccardo Papa,1,8
2020-04-24,Alice Neel,1,1
2020-04-24,El Museo,1,2
2020-04-24,Keith Haring,1,3
2020-04-24,Migdalia Torres,1,4
2020-04-24,Susana Torruella Leval,1,5
2020-04-24,Torruella Leval,1,6
2020-04-24,Warren James,1,7
2020-04-25,Carlos Mellado,1,1
2020-04-25,El Nuevo,1,2
2020-04-25,Joshua James,1,3
2020-04-25,Lorenzo Gonz,1,4
2020-04-25,Michelle Garc,1,5
2020-04-25,Patricia Mazzei,1,6
2020-04-29,Eligio Hernandez,1,1
