date,person,count,rn
2020-03-17,Meg Burmeister,1,1
2020-03-20,Ben Finley,1,1
2020-03-20,Cailin Sandvig,1,2
2020-03-20,Candice Cobb,1,3
2020-03-20,Deepti Hajela,1,4
2020-03-20,Gerald Thornton,1,5
2020-03-20,Henry Epp,1,6
2020-03-20,Joe Benning,1,7
2020-03-20,Josh Rodriguez,1,8
2020-03-20,Justin Bracken,1,9
2020-03-20,Lisa Rathke,1,10
2020-03-20,Lorraine Neuhaus,1,11
2020-03-20,Mark Levine,1,12
2020-03-20,Melissa Wahl,1,13
2020-03-20,Peter Welch,1,14
2020-03-20,Phil Scott,1,15
2020-03-20,Wayne Parry,1,16
2020-03-21,Ben Finley,1,1
2020-03-21,Cailin Sandvig,1,2
2020-03-21,Candice Cobb,1,3
2020-03-21,Deepti Hajela,1,4
2020-03-21,Gerald Thornton,1,5
2020-03-21,Josh Rodriguez,1,6
2020-03-21,Justin Bracken,1,7
2020-03-21,Lisa Rathke,1,8
2020-03-21,Lorraine Neuhaus,1,9
2020-03-21,Melissa Wahl,1,10
2020-03-24,Anson Tebbetts,1,1
2020-03-24,Chris Stead,1,2
2020-03-24,Jean Crockett,1,3
2020-03-24,Jeremy Elliott,1,4
2020-03-24,Phil Scott,1,5
2020-03-25,Andrea Rosen,1,1
2020-03-25,Gillian Sewake,1,2
2020-03-25,Joe Benning,1,3
2020-03-25,Ken Schatz,1,4
2020-03-25,Peter Hirschfeld,1,5
2020-03-25,Rick Deangelis,1,6
2020-03-25,Samuel Wood Gaylor,1,7
2020-03-25,Sarah Briggs,1,8
2020-03-25,Sarah Laursen,1,9
2020-03-25,Wood Gaylor,1,10
2020-03-28,Ben Finley,1,1
2020-03-28,Cailin Sandvig,1,2
2020-03-28,Candice Cobb,1,3
2020-03-28,Deepti Hajela,1,4
2020-03-28,Gerald Thornton,1,5
2020-03-28,Josh Rodriguez,1,6
2020-03-28,Justin Bracken,1,7
2020-03-28,Lisa Rathke,1,8
2020-03-28,Lorraine Neuhaus,1,9
2020-03-28,Melissa Wahl,1,10
2020-03-28,Wayne Parry,1,11
2020-04-03,Mark Levine,1,1
2020-04-03,Phil Scott,1,2
2020-04-07,Anson Tebbetts,1,1
2020-04-07,Carol Sullivan,1,2
2020-04-07,Christa Alexander,1,3
2020-04-07,Greg Georgaklis,1,4
2020-04-07,Kim Mercer,1,5
2020-04-07,Kyle Doda,1,6
2020-04-07,Mark Fasching,1,7
2020-04-07,Pete Johnson,1,8
2020-04-07,Sally Pollak,1,9
2020-04-07,Toby Talbot,1,10
2020-04-07,Vern Grubinger,1,11
2020-04-10,Deborah Miller,1,1
2020-04-10,Dom Amato,1,2
2020-04-10,James Baker,1,3
2020-04-10,Jordan Roberts,1,4
