date,person,count,rn
2020-02-01,A Santa Clara,16,50
2020-02-01,Santa Clara,18,49
2020-02-01,Bill Chen,19,43
2020-02-01,Charlie Hobart,19,44
2020-02-01,Chris Van Heesch,19,45
2020-02-01,Helen Lewis,19,46
2020-02-01,Lawrence Gostin,19,47
2020-02-01,Mohammed Raihan,19,48
2020-02-01,Ken Cuccinelli,20,42
2020-02-01,Kevin Frayer Getty,24,41
2020-02-01,Ankur Banerjee,26,37
2020-02-01,Dan Whitcomb,26,38
2020-02-01,Deena Beasley,26,39
2020-02-01,Makini Brice,26,40
2020-02-01,Daisy Nguyen,27,32
2020-02-01,Dan Grebler,27,33
2020-02-01,Jonathan Oatis,27,34
2020-02-01,Manas Mishra,27,35
2020-02-01,Terry Tang,27,36
2020-02-01,Nan,28,31
2020-02-01,Gabriella Borter,29,30
2020-02-01,Cynthia Bao,34,25
2020-02-01,Gregg Orton,34,26
2020-02-01,Hoa Nguyen,34,27
2020-02-01,Munto Davis,34,28
2020-02-01,Richard Vu,34,29
2020-02-01,Joe Mcdonald,36,24
2020-02-01,Steve Gorman,37,23
2020-02-01,Bharatha Mallawarachi,39,21
2020-02-01,Niniek Karmini,39,22
2020-02-01,Tim Cook,40,20
2020-02-01,Marion Koopmans,45,18
2020-02-01,Mike Wester,45,19
2020-02-01,Shinzo Abe,46,17
2020-02-01,Martin Cetron,50,16
2020-02-01,Anthony Fauci,56,15
2020-02-01,Sam Mcneil,62,14
2020-02-01,Aniruddha Ghosal,93,12
2020-02-01,Hau Dinh,93,13
2020-02-01,Robert Redfield,97,11
2020-02-01,Mari Yamaguchi,104,10
2020-02-01,Sara Cody,113,9
2020-02-01,Scott Morrison,136,8
2020-02-01,Los Angeles,149,7
2020-02-01,Gauden Galea,183,6
2020-02-01,Hua Chunying,207,5
2020-02-01,Nancy Messonnier,232,4
2020-02-01,Alex Azar,237,3
2020-02-01,Tedros Adhanom Ghebreyesus,242,2
2020-02-01,Donald Trump,303,1
2020-02-02,Alexandra Odynova,6,48
2020-02-02,Craig Faller,6,49
2020-02-02,Diane Burgis,6,50
2020-02-02,Abdul Sattar Khokhar,7,44
2020-02-02,Chris Mitchell,7,45
2020-02-02,Joe Biden,7,46
2020-02-02,Nan,7,47
2020-02-02,Ken Calvert,8,41
2020-02-02,Matt Hartman,8,42
2020-02-02,Norma Torres,8,43
2020-02-02,Adem Altan,9,34
2020-02-02,Agnes Buzyn,9,35
2020-02-02,Hector Retamal,9,36
2020-02-02,Ian Thompson,9,37
2020-02-02,Kevin Frayer Getty,9,38
2020-02-02,Rita Nieves,9,39
2020-02-02,Steve Hou,9,40
2020-02-02,Chris Whitty,10,31
2020-02-02,Jonathan Rath Hoffman,10,32
2020-02-02,Michael Ryan,10,33
2020-02-02,Albert Robles,11,19
2020-02-02,Alfonso Jimenez,11,20
2020-02-02,Annette Franco,11,21
2020-02-02,Barbara Ferrer,11,22
2020-02-02,Cindy Vyskocil,11,23
2020-02-02,Frank Zhu,11,24
2020-02-02,Gabriel Kahn,11,25
2020-02-02,Jason Skeen,11,26
2020-02-02,Jose Arballo,11,27
2020-02-02,Sarah Van Orman,11,28
2020-02-02,Scott Peters,11,29
2020-02-02,Van Orman,11,30
2020-02-02,Jeff Hewitt,14,15
2020-02-02,Mark Takano,14,16
2020-02-02,Nancy Knight,14,17
2020-02-02,Robert Redfield,14,18
2020-02-02,Alyssa Farah,15,13
2020-02-02,Tim Cook,15,14
2020-02-02,Anthony Fauci,16,11
2020-02-02,Monica Bharel,16,12
2020-02-02,Gauden Galea,23,10
2020-02-02,Hua Chunying,24,9
2020-02-02,Tedros Adhanom Ghebreyesus,28,8
2020-02-02,Sara Cody,35,7
2020-02-02,Scott Morrison,37,6
2020-02-02,Alex Azar,45,5
2020-02-02,Donald Trump,49,3
2020-02-02,Mark Esper,49,4
2020-02-02,Nancy Messonnier,60,2
2020-02-02,Los Angeles,62,1
2020-02-03,Oxiris Barbot,14,50
2020-02-03,Matt Hancock,15,48
2020-02-03,Scott Morrison,15,49
2020-02-03,Nan,16,47
2020-02-03,Sam Perez,17,46
2020-02-03,Anthony Fauci,18,45
2020-02-03,Robert Redfield,19,43
2020-02-03,Steven Jiang,19,44
2020-02-03,Brian Schatz,20,41
2020-02-03,Monica Bharel,20,42
2020-02-03,Josh Green,21,36
2020-02-03,Mark Tseng-Putterman,21,37
2020-02-03,Richard Fausset,21,38
2020-02-03,Thomas Fuller,21,39
2020-02-03,Vivian Lin,21,40
2020-02-03,Aida Zhu,22,25
2020-02-03,Andrew Nguyen,22,26
2020-02-03,Angie Chen,22,27
2020-02-03,Atlanta Hartsfield-Jackson,22,28
2020-02-03,Erika Lee,22,29
2020-02-03,Gilbert Gee,22,30
2020-02-03,Katherine Lu,22,31
2020-02-03,Michelle Lee,22,32
2020-02-03,Rosen Huynh,22,33
2020-02-03,Santa Barbara,22,34
2020-02-03,Scott Peters,22,35
2020-02-03,David Mcnew Getty,23,24
2020-02-03,David Pekoske,24,20
2020-02-03,Jens Spahn,24,21
2020-02-03,Mikhail Mishustin,24,22
2020-02-03,Rachael Kagan,24,23
2020-02-03,Robert Obrien,31,19
2020-02-03,Amber Gao,41,12
2020-02-03,Elise Durham,41,13
2020-02-03,Jeffrey Phillips,41,14
2020-02-03,Kevin Luo,41,15
2020-02-03,Lisa Hellerstedt,41,16
2020-02-03,Richard Ren,41,17
2020-02-03,Sean Hannity,41,18
2020-02-03,Marty Fenstersheib,55,11
2020-02-03,Santa Clara,60,9
2020-02-03,Tedros Adhanom Ghebreyesus,60,10
2020-02-03,Mike Pompeo,65,8
2020-02-03,Martin Fenstersheib,68,7
2020-02-03,Donald Trump,72,6
2020-02-03,Hua Chunying,97,5
2020-02-03,Alex Azar,117,4
2020-02-03,Sara Cody,132,3
2020-02-03,Nancy Messonnier,195,2
2020-02-03,Los Angeles,290,1
2020-02-04,Brenda Goh,8,40
2020-02-04,Clare Jim,8,41
2020-02-04,Gabriel Crossley,8,42
2020-02-04,Kenneth Bernard,8,43
2020-02-04,Kevin Yao,8,44
2020-02-04,Maria Kiselyova,8,45
2020-02-04,Martin Pollard,8,46
2020-02-04,Mekhla Raina,8,47
2020-02-04,Pei Li,8,48
2020-02-04,Scott Peters,8,49
2020-02-04,Yilei Sun,8,50
2020-02-04,Atlanta Hartsfield-Jackson,9,34
2020-02-04,Christina Maxouris,9,35
2020-02-04,David Goodfriend,9,36
2020-02-04,Julie Steenhuysen,9,37
2020-02-04,Manas Mishra,9,38
2020-02-04,Tatyana Golikova,9,39
2020-02-04,Byron Kaye,10,23
2020-02-04,Carrie Lam,10,24
2020-02-04,Jennifer Nuzzo,10,25
2020-02-04,Ken Cuccinelli,10,26
2020-02-04,Lori Lightfoot,10,27
2020-02-04,Lusha Zhang,10,28
2020-02-04,Muyu Xu,10,29
2020-02-04,Roxanne Liu,10,30
2020-02-04,Stephen Coates,10,31
2020-02-04,Tom Westbrook,10,32
2020-02-04,Wendy Parmet,10,33
2020-02-04,Anthony Fauci,11,21
2020-02-04,Donald Trump,11,22
2020-02-04,Lawrence Gostin,12,19
2020-02-04,Steven Jiang,12,20
2020-02-04,Monica Bharel,13,17
2020-02-04,Samuel Roth,13,18
2020-02-04,Mark Esper,16,15
2020-02-04,Marty Fenstersheib,16,16
2020-02-04,Nan,17,14
2020-02-04,Tedros Adhanom Ghebreyesus,19,13
2020-02-04,Josh Green,20,12
2020-02-04,Rachael Kagan,24,10
2020-02-04,Sara Cody,24,11
2020-02-04,Indian Ocean,26,9
2020-02-04,Kenneth Burnett,28,8
2020-02-04,Mike Pompeo,29,7
2020-02-04,Yanjun Wei,30,6
2020-02-04,Martin Fenstersheib,32,5
2020-02-04,Alex Azar,36,4
2020-02-04,Hua Chunying,59,3
2020-02-04,Los Angeles,96,2
2020-02-04,Nancy Messonnier,112,1
2020-02-05,Anton Kolodyazhnyy,13,49
2020-02-05,Balazs Koranyiin,13,50
2020-02-05,Mike Pompeotold,14,48
2020-02-05,George Diaz,15,45
2020-02-05,Martin Fenstersheib,15,46
2020-02-05,Rachael Kagan,15,47
2020-02-05,Alex Richardson,17,31
2020-02-05,Andrea Shalal,17,32
2020-02-05,David Lawder,17,33
2020-02-05,Lusha Zhang,17,34
2020-02-05,Makini Brice,17,35
2020-02-05,Matthew Tostevin,17,36
2020-02-05,Nick Macfie,17,37
2020-02-05,Robert Birsel,17,38
2020-02-05,Roxanne Liu,17,39
2020-02-05,Sam Roth,17,40
2020-02-05,Stephanie Nebehay,17,41
2020-02-05,Tom Westbrook,17,42
2020-02-05,Yilei Sun,17,43
2020-02-05,Young Lee,17,44
2020-02-05,Steven Jiang,18,30
2020-02-05,Christian Mitchell,20,28
2020-02-05,Gay Courter,20,29
2020-02-05,Sara Cody,21,27
2020-02-05,Rush Limbaugh,22,26
2020-02-05,Alex Azar,23,24
2020-02-05,Steve Almasy,23,25
2020-02-05,Christopher Weber,24,22
2020-02-05,Sara Nelson,24,23
2020-02-05,Christine Lagarde,26,20
2020-02-05,Jason Hanna,26,21
2020-02-05,Jonathan Rath Hoffman,28,19
2020-02-05,David Abel,29,16
2020-02-05,Hua Chunying,29,17
2020-02-05,Tarik Jasarevic,29,18
2020-02-05,Larry Kudlow,31,15
2020-02-05,Ken Burnett,35,14
2020-02-05,Donald Trump,36,13
2020-02-05,Damian Dovarganes,38,12
2020-02-05,Chris Mitchell,41,10
2020-02-05,Mark Esper,41,11
2020-02-05,Christopher Braden,42,9
2020-02-05,Henry Walke,47,8
2020-02-05,Nan,48,7
2020-02-05,Tedros Adhanom Ghebreyesus,65,6
2020-02-05,Kenneth Burnett,67,5
2020-02-05,Yanjun Wei,72,4
2020-02-05,Traci Keller,137,3
2020-02-05,Nancy Messonnier,156,2
2020-02-05,Los Angeles,217,1
2020-02-06,Alice Fong Yu,8,41
2020-02-06,Archie Fowler,8,42
2020-02-06,Dana Davis,8,43
2020-02-06,David Louie,8,44
2020-02-06,Ivar Satero,8,45
2020-02-06,John Bradley,8,46
2020-02-06,Li Xingwang,8,47
2020-02-06,London Breed,8,48
2020-02-06,Luigi Di Maio,8,49
2020-02-06,Rosendo Ganoy,8,50
2020-02-06,Chris Mitchell,9,39
2020-02-06,William Haseltine,9,40
2020-02-06,Mike Pompeo,10,35
2020-02-06,Monica Bharel,10,36
2020-02-06,Samuel Roth,10,37
2020-02-06,Zeng Lingkong,10,38
2020-02-06,Eric Ferguson,12,32
2020-02-06,Oxiris Barbot,12,33
2020-02-06,Virgin Atlantic,12,34
2020-02-06,Andrew Downes,13,29
2020-02-06,Las Vegas,13,30
2020-02-06,Trevor Cadieu,13,31
2020-02-06,Alex Azar,14,23
2020-02-06,Cynthia Choi,14,24
2020-02-06,Daniel Trotta,14,25
2020-02-06,Leslie Adler,14,26
2020-02-06,Nathan Frandino,14,27
2020-02-06,Steve Gorman,14,28
2020-02-06,Christian Mitchell,15,22
2020-02-06,Chris Whitty,17,19
2020-02-06,Francesca Torriani,17,20
2020-02-06,Patty Hajdu,17,21
2020-02-06,Donald Trump,18,18
2020-02-06,Christopher Weber,19,15
2020-02-06,Chunlin Leonhard,19,16
2020-02-06,Ningxi Xu,19,17
2020-02-06,Jonathan Rath Hoffman,22,14
2020-02-06,Hua Chunying,24,13
2020-02-06,Nan,26,12
2020-02-06,Yanjun Wei,30,11
2020-02-06,Mark Esper,33,10
2020-02-06,Carrie Lam,35,9
2020-02-06,Ken Burnett,38,8
2020-02-06,Jeanne Ayers,39,7
2020-02-06,Tedros Adhanom Ghebreyesus,51,6
2020-02-06,Traci Keller,56,5
2020-02-06,Christopher Braden,77,4
2020-02-06,Henry Walke,87,3
2020-02-06,Los Angeles,94,2
2020-02-06,Nancy Messonnier,121,1
2020-02-07,Andrew Hiatt,6,47
2020-02-07,Barry Hatton,6,48
2020-02-07,Dana Hall,6,49
2020-02-07,Elena Renkenfeb,6,50
2020-02-07,Arballo Jr,7,43
2020-02-07,Ngozi Ezike,7,44
2020-02-07,Nicole Kirgan,7,45
2020-02-07,Shelly Schwedhelm,7,46
2020-02-07,Ada Colau,8,37
2020-02-07,Denis Poroy,8,38
2020-02-07,Eric Xu,8,39
2020-02-07,Jean-Baptiste Su,8,40
2020-02-07,Michael Perry,8,41
2020-02-07,Richard Fogg,8,42
2020-02-07,Brock Penner,9,33
2020-02-07,Jose Arballo,9,34
2020-02-07,Jose Arballo Jr,9,35
2020-02-07,Mark Takano,9,36
2020-02-07,Rob Stein,10,32
2020-02-07,Brian Thompson,11,30
2020-02-07,Elena Renken,11,31
2020-02-07,Eric Kasowski,12,29
2020-02-07,Mark Esper,13,26
2020-02-07,Mohammad Zargham,13,27
2020-02-07,Steve Gorman,13,28
2020-02-07,Alex Azar,14,24
2020-02-07,Nan,14,25
2020-02-07,Cameron Kaiser,15,23
2020-02-07,Erika Edwards,16,20
2020-02-07,Jennifer Mcquiston,16,21
2020-02-07,Katsunobu Kato,16,22
2020-02-07,Jasmine Leung,18,19
2020-02-07,Hua Chunying,19,17
2020-02-07,Nancy Messonnier,19,18
2020-02-07,Jimmy Davis,23,15
2020-02-07,Yuliya Talmazan,23,16
2020-02-07,Chris Braden,24,13
2020-02-07,Ningxi Xu,24,14
2020-02-07,Chunlin Leonhard,26,12
2020-02-07,Tedros Adhanom Ghebreyesus,27,11
2020-02-07,Francesca Torriani,29,9
2020-02-07,Henry Walke,29,10
2020-02-07,Donald Trump,30,8
2020-02-07,Li Wenliang,34,7
2020-02-07,John Bradley,35,6
2020-02-07,Abigail Williams,43,5
2020-02-07,Arata Yamamoto,49,4
2020-02-07,Eric Baculinao,51,2
2020-02-07,Phil Helsel,51,3
2020-02-07,Los Angeles,77,1
2020-02-08,Amir Vera,5,49
2020-02-08,Barry Hatton,5,50
2020-02-08,Ada Colau,6,45
2020-02-08,Katsunobu Kato,6,46
2020-02-08,Richard Fogg,6,47
2020-02-08,Tom Skinner,6,48
2020-02-08,Carol Behr,7,30
2020-02-08,Chizu Omori,7,31
2020-02-08,Dan Kalb,7,32
2020-02-08,Dave Cortese,7,33
2020-02-08,Eric Xu,7,34
2020-02-08,Franklin Roosevelt,7,35
2020-02-08,Hua Chunying,7,36
2020-02-08,Jason Abbruzzese,7,37
2020-02-08,Jean-Baptiste Su,7,38
2020-02-08,Nancy Messonnier,7,39
2020-02-08,Rick Greenberg,7,40
2020-02-08,Roy Percoats,7,41
2020-02-08,Sadako Kashiwagi,7,42
2020-02-08,Scott Ingalsbe,7,43
2020-02-08,Theresa Nelson,7,44
2020-02-08,Alex Azar,8,26
2020-02-08,Nan,8,27
2020-02-08,Robert Redfield,8,28
2020-02-08,Sina Weibo,8,29
2020-02-08,Brock Penner,9,18
2020-02-08,Francesca Torriani,9,19
2020-02-08,Mary Carol Ellen,9,20
2020-02-08,Norman Yee,9,21
2020-02-08,Paul Miyamoto,9,22
2020-02-08,Shinzo Abe,9,23
2020-02-08,William Scott,9,24
2020-02-08,Yuliya Talmazan,9,25
2020-02-08,Holland America Westerdam,10,17
