date,person,count,rn
2020-03-13,Amanda Katherine Steele,2,1
2020-03-13,Amanda Steele,2,2
2020-03-13,Facestom Hanks,2,3
2020-03-13,Gabriel Fernandez,2,4
2020-03-13,Hanks Fearstom Hank,2,5
2020-03-20,Genevieve Schroeder,1,1
2020-03-20,Kevin Bailey,1,2
2020-03-21,Collette Prassack,1,1
2020-03-21,Kari Prassack,1,2
2020-03-21,Robert Menendez,1,3
2020-03-22,Genevieve Schroeder,1,1
2020-03-22,Kevin Bailey,1,2
2020-03-29,Riley Sorensen,1,1
2020-05-29,Frieda Mirelez,1,1
2020-05-29,Jazmin Sanchez,1,2
2020-05-29,Ted Austin,1,3
2020-07-08,Aaron Dahle,1,1
2020-07-08,Toby Keith,1,2
