date,person,count,rn
2020-02-05,David Rovella,1,1
2020-02-05,Emily Chasan,1,2
2020-02-05,Larry Fink,1,3
2020-02-05,Michael Bloomberg,1,4
2020-03-02,Ali Khamenei,1,1
2020-03-02,Andrew Cuomo,1,2
2020-03-02,Anton Siluanov,1,3
2020-03-02,Attilio Fontana,1,4
2020-03-02,Deborah Birx,1,5
2020-03-02,Donald Trump,1,6
2020-03-02,Fernando Simon,1,7
2020-03-02,Marta Temido,1,8
2020-03-02,Mike Pence,1,9
2020-03-02,Mohammad Mir-Mohammadi,1,10
2020-03-02,Paolo Gentiloni,1,11
2020-03-02,Vladimir Putin,1,12
2020-03-04,Alberto Fernandez,1,1
2020-03-04,Ben Bartenstein,1,2
2020-03-04,David Martinez,1,3
2020-03-04,Martin Guzman,1,4
2020-03-04,Pablo Gonzalez,1,5
2020-03-04,Scott Squires,1,6
2020-03-06,Michael Littenberg,1,1
2020-03-08,Ali Khamenei,1,1
2020-03-08,Barack Obama,1,2
2020-03-08,Bill Gates,1,3
2020-03-08,Donald Trump,1,4
2020-03-08,Emma Walmsley,1,5
2020-03-08,Fabio Giuseppe Carlo Carisio,1,6
2020-03-08,Francis Boyle,1,7
2020-03-08,Gholam Reza Jalali,1,8
2020-03-08,Hossein Sheikholeslam,1,9
2020-03-08,Institut Pasteur,1,10
2020-03-08,Iraj Harirch,1,11
2020-03-08,James Fetzer,1,12
2020-03-08,Javad Zarif,1,13
2020-03-08,Jeff Brown,1,14
2020-03-08,Larry Fink,1,15
2020-03-08,Maayan Jaffe-Hoffman,1,16
2020-03-08,Manlio Dinucci,1,17
2020-03-08,Manvinder Singh Banga,1,18
2020-03-08,Masoumeh Ebtekar,1,19
2020-03-08,Melinda Gates,1,20
2020-03-08,Mohammad Mirmohammadi,1,21
2020-03-08,Nicola Zingaretti,1,22
2020-03-08,Peter Hj,1,23
2020-03-08,Philip Giraldi,1,24
2020-03-08,Roger Connor,1,25
2020-03-08,Sloan Kettering,1,26
2020-03-08,Smith Kline,1,27
2020-03-08,Walter Ricciardi,1,28
2020-03-10,Arno Schuetze,1,1
2020-03-10,Cynthia Osterman,1,2
2020-03-10,David Clarke,1,3
2020-03-10,David Henry,1,4
2020-03-10,Elizabeth Dilts,1,5
2020-03-10,Graham Fahy,1,6
2020-03-10,Hakan Ersen,1,7
2020-03-10,Huw Jones,1,8
2020-03-10,Imani Moise,1,9
2020-03-10,Jesus Aguado,1,10
2020-03-10,Mark Potter,1,11
2020-03-10,Nan,1,12
2020-03-10,Simon Jessop,1,13
2020-03-10,Tom Sims,1,14
2020-03-11,Arno Schuetze,1,2
2020-03-11,Cynthia Osterman,1,3
2020-03-11,David Clarke,1,4
2020-03-11,David Henry,1,5
2020-03-11,Elizabeth Dilts,1,6
2020-03-11,Graham Fahy,1,7
2020-03-11,Hakan Ersen,1,8
2020-03-11,Huw Jones,1,9
2020-03-11,Imani Moise,1,10
2020-03-11,Jesus Aguado,1,11
2020-03-11,Kathleen Cuddy,1,12
2020-03-11,Mark Potter,1,13
2020-03-11,Simon Jessop,1,14
2020-03-11,Tom Sims,1,15
2020-03-11,Nan,3,1
2020-03-12,Amy Klobuchar,1,1
2020-03-12,Austan Goolsbee,1,2
2020-03-12,Barack Obama,1,3
2020-03-12,Bernie Sanders,1,4
2020-03-12,Bruce Reed,1,5
2020-03-12,Covington Burling,1,6
2020-03-12,David Bradley,1,7
2020-03-12,Donald Trump,1,8
2020-03-12,Elizabeth Warren,1,9
2020-03-12,Gabriel Zucman,1,10
2020-03-12,Hillary Clinton,1,11
2020-03-12,Jamie Dimon,1,12
2020-03-12,Janet Yellen,1,13
2020-03-12,Jason Furman,1,14
2020-03-12,Jeff Zients,1,15
2020-03-12,Joe Biden,1,16
2020-03-12,Lawrence Summers,1,17
2020-03-12,Michael Froman,1,18
2020-03-12,Mike Bloomberg,1,19
2020-03-12,Mike Froman,1,20
2020-03-12,Pat Leahy,1,21
2020-03-12,Pete Buttigieg,1,22
2020-03-12,Peter Orszag,1,23
2020-03-12,Rahm Emanuel,1,24
2020-03-12,Robert Rubin,1,25
2020-03-12,Sarah Bianchi,1,26
2020-03-12,Sherrod Brown,1,27
2020-03-12,Steve Rattner,1,28
2020-03-12,Ted Kaufman,1,29
2020-03-12,Terrell Mcsweeny,1,30
2020-03-12,Tom Nides,1,31
2020-03-12,Warren Buffett Berkshire Hathaway,1,32
2020-03-13,Frank Kruppa,1,1
2020-03-13,Jason Molino,1,2
2020-03-13,Maple Fest,1,3
2020-03-13,Martin Stallone,1,4
2020-03-13,Nan,1,5
2020-03-13,Stephen Nunley,1,6
2020-03-13,Thomas Dinapoli,1,7
2020-03-14,Jon Campbell,1,3
2020-03-14,Kathleen Cuddy,1,4
2020-03-14,Kevin Henderson,1,5
2020-03-14,Michael Passalacqua,1,6
2020-03-14,Our Lady,1,7
2020-03-14,Andrew Cuomo,2,1
2020-03-14,Nan,2,2
2020-03-15,Chrysler Windsor,1,1
2020-03-15,Cindy Estrada,1,2
2020-03-15,Derek Barella,1,3
2020-03-15,Erin Hatton,1,4
2020-03-15,Nan,1,5
2020-03-16,Elizabeth Dilts,1,1
2020-03-16,Noor Zainab Hussain,1,2
2020-03-16,Robert Harding,1,3
2020-03-16,Ryan Mcmahon,1,4
2020-03-16,Shailesh Kuber,1,5
2020-03-16,Vinay Dwivedi,1,6
2020-03-18,Andrew Cuomo,1,1
2020-03-18,Barbara Novick,1,2
2020-03-18,Boyd Kronholm,1,3
2020-03-18,Charles Raymond Richards,1,4
2020-03-18,Charles Richards,1,5
2020-03-18,Eesha Pendharkar,1,6
2020-03-18,Elizabeth Brunton,1,7
2020-03-18,Justin Sayles,1,8
2020-03-18,Kevin Rivoli,1,9
2020-03-18,Larry Fink,1,10
2020-03-18,Lauren Holmes,1,11
2020-03-18,Leslie Adler,1,12
2020-03-18,Linda Coan Okresik,1,13
2020-03-18,Michelle Edkins,1,14
2020-03-18,Ross Kerber,1,15
2020-03-18,Simon Jessop,1,16
2020-03-19,Chris Murphy D-Conn,1,4
2020-03-19,Keith Anderson,1,5
2020-03-19,Robert Harding,1,6
2020-03-19,Aileen Mcnabb-Coleman,3,1
2020-03-19,Andrew Cuomo,3,2
2020-03-19,Kathleen Cuddy,3,3
2020-03-20,Aileen Mcnabb-Coleman,1,1
2020-03-20,Andrew Cuomo,1,2
2020-03-20,Boris Johnson,1,3
2020-03-20,Freddie Mac,1,4
2020-03-20,Joe Weisenthal,1,5
2020-03-20,Julie Wernersbach,1,6
2020-03-20,Kathleen Cuddy,1,7
2020-03-20,Mark Haefele,1,8
2020-03-20,Mitch Mcconnell,1,9
2020-03-20,Neil Mackinnon,1,10
