date,person,count,rn
2020-02-01,Alex Azar,1,1
2020-02-01,Benjamin Franklin,1,2
2020-02-01,Chris Whitty,1,3
2020-02-01,Li Lanjuan,1,4
2020-02-01,Mike Pompeo,1,5
2020-02-01,Patrick Gallahue,1,6
2020-02-03,Amanda Eisenberg,1,1
2020-02-03,Andrew Cuomo,1,2
2020-02-03,David Giambusso,1,3
2020-02-03,Graham Mullis,1,4
2020-02-03,Latha Subramaniam,1,5
2020-02-03,Melissa Gira Grant,1,6
2020-02-03,Sarah Karlin-Smith,1,7
2020-02-03,Sarah Owermohle,1,8
2020-02-03,Shannon Young,1,9
2020-02-03,Stephen Hahn,1,10
2020-03-03,Andrew Cuomo,1,1
2020-03-03,Bret Apthorpe,1,2
2020-03-03,Stephen Penhollow,1,3
2020-03-04,Gustavo Rivera,1,7
2020-03-04,Joseph Giglio,1,8
2020-03-04,Julia Salazar,1,9
2020-03-04,Mike Pence,1,10
2020-03-04,Tom Reed,1,11
2020-03-04,Andrew Cuomo,2,2
2020-03-04,Bret Apthorpe,2,3
2020-03-04,Donald Yealy,2,4
2020-03-04,Graham Snyder,2,5
2020-03-04,Tami Minnier,2,6
2020-03-04,George Borrello,3,1
2020-03-05,Andrew Goodell,1,3
2020-03-05,Bernie Sanders,1,4
2020-03-05,Christine Schuyler,1,5
2020-03-05,Elizabeth Warren,1,6
2020-03-05,Kristina Johnson,1,7
2020-03-05,Margaret Thatcher,1,8
2020-03-05,Mike Pence,1,9
2020-03-05,Richard Gottfried,1,10
2020-03-05,Andrew Cuomo,2,1
2020-03-05,Jeff Woodard,2,2
2020-03-06,Andrew Cuomo,1,1
2020-03-06,Bret Apthorpe,1,2
2020-03-06,Maureen Donahue,1,3
2020-03-06,Nan,1,4
2020-03-09,Andrew Cuomo,1,1
2020-03-09,Andrew Goodell,1,2
2020-03-09,Brian Browne,1,3
2020-03-09,Michael Parrish,1,4
2020-03-09,Richard Gottfried,1,5
2020-03-10,Allyson Cribbs,1,1
2020-03-10,Amy Klobuchar,1,2
2020-03-10,Barack Obama,1,3
2020-03-10,Bernie Sanders,1,4
2020-03-10,Donald Trump,1,5
2020-03-10,Elizabeth Reinsch,1,6
2020-03-10,Elizabeth Warren,1,7
2020-03-10,Fran Morales-Neufeld,1,8
2020-03-10,Gary Stoff,1,9
2020-03-10,Heather Knuth,1,10
2020-03-10,Hillary Clinton,1,11
2020-03-10,Jack Suntrup,1,12
2020-03-10,Jill Biden,1,13
2020-03-10,Joe Biden,1,14
2020-03-10,Kelly Schulz,1,15
2020-03-10,Ken Warren,1,16
2020-03-10,Kevin Hahn,1,17
2020-03-10,Kiener Plaza,1,18
2020-03-10,Kim Bell,1,19
2020-03-10,Kurt Bahr,1,20
2020-03-10,Larry Wilson,1,21
2020-03-10,Lyda Krewson,1,22
2020-03-10,Martin Luther King,1,23
2020-03-10,Marycatherine Michaels,1,24
2020-03-10,Matt Davis,1,25
2020-03-10,Michael Bloomberg,1,26
2020-03-10,Nicole Galloway,1,27
2020-03-10,Quinton Lucas,1,28
2020-03-10,Rick Stream,1,29
2020-03-10,Ruth Vincill,1,30
2020-03-10,Tulsi Gabbard,1,31
2020-03-11,Peter Truby,1,1
2020-03-12,Ron Desantis,1,1
2020-03-13,David Smeltzer,1,15
2020-03-13,Gail Bagazzoli,1,16
2020-03-13,Amy Rohler,2,11
