date,person,count,rn
2020-02-04,Barbara Mccarty,1,1
2020-02-04,Heather Warner,1,2
2020-02-04,Shweta Karikehalli,1,3
2020-02-19,Annabella Sciorra,1,1
2020-02-19,Bernie Sanders,1,2
2020-02-19,Domenico Montanaro,1,3
2020-02-19,Donna Rotunno,1,4
2020-02-19,Elizabeth Warren,1,5
2020-02-19,Emily Feng,1,6
2020-02-19,Harvey Weinstein,1,7
2020-02-19,James Burke,1,8
2020-02-19,Jessica Mann,1,9
2020-02-19,Joan Illuzzi,1,10
2020-02-19,Joe Biden,1,11
2020-02-19,Las Vegas,1,12
2020-02-19,Liu Zhiming,1,13
2020-02-19,Michael Bloomberg,1,14
2020-02-19,Mike Bloomberg,1,15
2020-02-19,Miriam Haley,1,16
2020-02-19,Rose Friedman,1,17
2020-02-28,Anthony Ferrill,1,1
2020-02-28,Armando Valladares,1,2
2020-02-28,Barack Obama,1,3
2020-02-28,Bernie Sanders,1,4
2020-02-28,Chuck Schumer,1,5
2020-02-28,Dom Calicchio,1,6
2020-02-28,Elizabeth Warren,1,7
2020-02-28,Fidel Castro,1,8
2020-02-28,Hillary Clinton,1,9
2020-02-28,Hopalong Ginsberg,1,10
2020-02-28,Howard Stern,1,11
2020-02-28,Hunter Biden,1,12
2020-02-28,Iwo Jima,1,13
2020-02-28,Jim Hoft,1,14
2020-02-28,Joe Biden,1,15
2020-02-28,John Solomon,1,16
2020-02-28,Liberty Levin,1,17
2020-02-28,Louis Farrakhan,1,18
2020-02-28,Mark Levin,1,19
2020-02-28,Michael Bloomberg,1,20
2020-02-28,Nancy Pelosi,1,21
2020-02-28,Oleksandr Teleshetsky,1,22
2020-02-28,Pete Buttigieg,1,23
2020-02-28,Petro Poroshenko,1,24
2020-02-28,Qassem Soleimani,1,25
2020-02-28,Sawsan Morrar,1,26
2020-02-28,Stephen Sisson,1,27
2020-02-28,Theresa Clift,1,28
2020-02-28,Vandana Rambaran,1,29
2020-02-28,Viktor Shokin,1,30
2020-02-28,Vincent Barone,1,31
2020-02-28,Volodymyr Zelensky,1,32
2020-02-28,Yael Halon,1,33
2020-03-06,Andrew Burton,1,12
2020-03-06,Alexandra Lupo,2,1
2020-03-06,Anemona Hartocollis,2,2
2020-03-06,Ayden Mallory,2,3
2020-03-06,Britton Odaly,2,4
2020-03-06,Karen Peart,2,5
2020-03-06,Karen Weise,2,6
2020-03-06,Los Angeles,2,7
2020-03-06,Marilynn Johnson,2,8
2020-03-06,Mike Baker,2,9
2020-03-06,Molly Morris,2,10
2020-03-06,Zara Khan,2,11
2020-03-07,Alexandra Lupo,1,5
2020-03-07,Andrew Burton,1,6
2020-03-07,Anemona Hartocollis,1,7
2020-03-07,Ayden Mallory,1,8
2020-03-07,Britton Odaly,1,9
2020-03-07,Karen Weise,1,10
2020-03-07,Los Angeles,1,11
2020-03-07,Mike Baker,1,12
2020-03-07,Karen Peart,2,1
2020-03-07,Marilynn Johnson,2,2
2020-03-07,Molly Morris,2,3
2020-03-07,Zara Khan,2,4
2020-03-09,Andrew Cuomo,1,1
2020-03-09,Crum Forster,1,2
2020-03-09,Jack Mabb,1,3
2020-03-09,Leticia James,1,4
2020-03-09,Matt Murell,1,5
2020-03-09,Shaun Groden,1,6
2020-03-09,William Van Slyke,1,7
2020-03-10,Andrew Cuomo,1,1
2020-03-10,Crum Forster,1,2
2020-03-10,Elon Musk,1,3
2020-03-10,Jack Dorsey,1,4
2020-03-10,Jack Mabb,1,5
2020-03-10,Leticia James,1,6
2020-03-10,Matt Murell,1,7
2020-03-10,Shaun Groden,1,8
2020-03-10,William Van Slyke,1,9
2020-03-11,Gabriel Rodriguez,1,1
2020-03-11,Jeremy Desel,1,2
2020-03-11,Joe Rojas,1,3
2020-03-11,John Heinis Hudson,1,4
2020-03-12,Jeremy Desel,1,1
2020-03-12,Joe Rojas,1,2
2020-03-13,Jeremy Desel,1,1
2020-03-13,Joe Rojas,1,2
2020-03-14,Aaron Elkind,1,1
2020-03-14,Ben Mims,1,2
2020-03-14,Corey Johnson,1,3
2020-03-14,Edgar Sandoval,1,4
2020-03-14,Eliza Shapiro,1,5
2020-03-14,Francine Jones-Nelms,1,6
2020-03-14,Gabriela Bhaskar,1,7
2020-03-14,Garret Snyder,1,8
2020-03-14,Genevieve Ko,1,9
2020-03-14,Jesse Mckinley,1,10
2020-03-14,Joseph Zwilling,1,11
2020-03-14,Los Angeles,1,12
2020-03-14,Mariah Tauger Los Angeles,1,13
2020-03-14,Maxine Waters,1,14
2020-03-14,Nicole Hong,1,15
2020-03-14,Nicole Rucker,1,16
2020-03-14,Patricia Esc,1,17
2020-03-14,Peter Meehan,1,18
2020-03-14,Rodney King,1,19
2020-03-14,Rosemary Priebe,1,20
2020-03-14,Tracey Tully,1,21
2020-03-15,Carlos Barria,1,10
2020-03-15,Corey Johnson,1,11
2020-03-15,Danny Meyer,1,12
2020-03-15,Dave Chang Momofuku,1,13
2020-03-15,Dina Samson,1,14
2020-03-15,Ethan Stowell,1,15
2020-03-15,Gary Greenberg,1,16
2020-03-15,George Amedore,1,17
2020-03-15,Heather Sperling,1,18
2020-03-15,Jeffrey Simons,1,19
2020-03-15,Jeremy Desel,1,20
2020-03-15,Jesse Mckinley,1,21
2020-03-15,Joe Rojas,1,22
2020-03-15,Joey Ziko,1,23
2020-03-15,Jonathan Ernst,1,24
2020-03-15,Josef Centeno,1,25
2020-03-15,Judith Persichilli,1,26
2020-03-15,Justin Brannan,1,27
2020-03-15,Kristine Novakowski,1,28
2020-03-15,Lawrence Wilcox,1,29
2020-03-15,Le Bernardin,1,30
2020-03-15,Lydia Clarke,1,31
2020-03-15,Mark Levine,1,32
2020-03-15,Michael Inzelbuch,1,33
2020-03-15,Michael Mulgrew,1,34
2020-03-15,Michelle Hinchey,1,35
2020-03-15,Ravi S Bhalla,1,36
2020-03-15,Reed Herrick,1,37
2020-03-15,Richard Amedure,1,38
2020-03-15,Sharon Lee,1,39
2020-03-15,Stephen Levin,1,40
2020-03-15,Susan Parker,1,41
2020-03-15,Tiantian Qiu,1,42
2020-03-15,Tom Douglas,1,43
2020-03-15,Trenise Jackson,1,44
2020-03-15,Los Angeles,2,9
2020-03-15,Daniel Wallis,3,7
2020-03-15,Lisa Shumaker,3,8
2020-03-15,Andrea Shalal,4,5
2020-03-15,Doina Chiacu,4,6
2020-03-15,Andrew Cuomo,5,2
2020-03-15,Anthony Fauci,5,3
2020-03-15,Donald Trump,5,4
2020-03-15,Phil Murphy,7,1
2020-03-16,Adam Tuttle,1,2
2020-03-16,Alexander Caraballo,1,3
2020-03-16,Anthony Fauci,1,4
2020-03-16,Broome Tioga,1,5
2020-03-16,David Chang,1,6
2020-03-16,Edmy Ayala,1,7
2020-03-16,Gavin Newsom,1,8
2020-03-16,Jason Garnar,1,9
2020-03-16,Las Vegas,1,10
2020-03-16,Lawrence Wilcox,1,11
2020-03-16,Lisa Jennings,1,12
2020-03-16,Los Angeles,1,13
2020-03-16,Marc Flindt,1,14
2020-03-16,Marie Mckenna,1,15
2020-03-16,Mark Bordeau,1,16
2020-03-16,Mike Dewine,1,17
2020-03-16,Muriel Bowser,1,18
2020-03-16,Patricia Mazzei,1,19
2020-03-16,Rafael Rodr,1,20
2020-03-16,Ravinder Bhalla,1,21
2020-03-16,Seattle Tom Douglas,1,22
2020-03-16,Xiomara Liz Cort,1,23
2020-03-16,Andrew Cuomo,2,1
2020-03-17,Alicia Silverstone,1,1
2020-03-17,Andrew Cuomo,1,2
2020-03-17,Anna Wintour,1,3
2020-03-17,Beverly Wilshire,1,4
2020-03-17,Brandusa Niro,1,5
2020-03-17,Busy Philipps,1,6
2020-03-17,Chanel Iman,1,7
2020-03-17,Deborah Birx,1,8
2020-03-17,Donald Trump,1,9
2020-03-17,Emma Stone,1,10
2020-03-17,Emmanuelle Rienda,1,11
2020-03-17,Joseph Mcgrann,1,12
2020-03-17,Kanye West,1,13
2020-03-17,Kate Hudson,1,14
2020-03-17,Katy Perry,1,15
2020-03-17,Keanu Reeves,1,16
2020-03-17,Kim Kardashian,1,17
2020-03-17,Lady Gaga,1,18
2020-03-17,Lin-Manuel Miranda,1,19
