date,person,count,rn
2020-02-10,Benjamin Netanyahu,1,1
2020-02-10,Bernie Sanders,1,2
2020-02-10,Bill Nye,1,3
2020-02-10,Bloomberg Jen Epstein,1,4
2020-02-10,Brian Fung,1,5
2020-02-10,Carla Marinucci,1,6
2020-02-10,Charlie Mahtesian,1,7
2020-02-10,Chuck Schumer,1,8
2020-02-10,Craig Harrington,1,9
2020-02-10,David Bowdich,1,10
2020-02-10,Donald Trump,1,11
2020-02-10,Eric Geller,1,12
2020-02-10,Gary Herbert,1,13
2020-02-10,Holly Otterbein,1,14
2020-02-10,Ivanka Trump,1,15
2020-02-10,James Mattis,1,16
2020-02-10,Jared Kushner,1,17
2020-02-10,Jeremy Peters,1,18
2020-02-10,Jerry Nadler,1,19
2020-02-10,Joe Biden,1,20
2020-02-10,Josh Gerstein,1,21
2020-02-10,Kellyanne Conway,1,22
2020-02-10,Kyle Trygstad,1,23
2020-02-10,Marc Caputo,1,24
2020-02-10,Mark Esper,1,25
2020-02-10,Quint Forgey,1,26
2020-02-10,Wapo Cleve Wootson Jr,1,27
2020-02-10,Wapo Steve Hendrix,1,28
2020-02-10,Wu Zhiyong,1,29
2020-02-10,Zachary Cohen,1,30
2020-02-11,Barack Obama,1,1
2020-02-11,Bernie Sanders,1,2
2020-02-11,Bob Sanders,1,3
2020-02-11,Bryan Dehenau,1,4
2020-02-11,Dee Perrotta,1,5
2020-02-11,Donald Trump,1,6
2020-02-11,Hillary Clinton,1,7
2020-02-11,Ian Shepherdson,1,8
2020-02-11,Jamison Scott,1,9
2020-02-11,Joanne Conroy,1,10
2020-02-11,Joe Biden,1,11
2020-02-11,John Yarmuth,1,12
2020-02-11,Kat Barrell,1,13
2020-02-11,Liz Larose,1,14
2020-02-11,Lucy Hodder,1,15
2020-02-11,Lynn Franco,1,16
2020-02-11,Maggie Hassan,1,17
2020-02-11,Mark Muro,1,18
2020-02-11,Nathan Siemer,1,19
2020-02-11,Ned Helms,1,20
2020-02-11,November Quinnipiac,1,21
2020-02-11,Pete Buttigieg,1,22
2020-02-11,Richard Curtin,1,23
2020-02-11,Russell Vought,1,24
2020-02-11,Sheila Zakre,1,25
2020-02-11,Steve Shurtleff,1,26
2020-02-11,Tom Steyer,1,27
2020-02-12,Amy Klobuchar D-Minn,1,1
2020-02-12,Barack Obama,1,2
2020-02-12,Bernie Sanders,1,3
2020-02-12,Donald Trump,1,4
2020-02-12,Joe Biden,1,5
2020-02-12,Joe Raedle Getty,1,6
2020-02-12,Los Angeles,1,7
2020-02-12,Mario Tama Getty,1,8
2020-02-12,Mark Wilson Getty,1,9
2020-02-12,Mike Bloomberg,1,10
2020-02-12,Pete Buttigieg,1,11
2020-02-12,Richard Bernstein,1,12
2020-02-12,Robert Wolf,1,13
2020-02-12,Steve Massocca,1,14
2020-02-12,Steven Englander,1,15
2020-02-14,Alan Chmiel,3,1
2020-02-14,Benjamin Cowling,3,2
2020-02-14,Chris Sununu,3,3
2020-02-14,Dane Levis,3,4
2020-02-14,George Downing,3,5
2020-02-14,Jay Kahn,3,6
2020-02-14,Jim Logan,3,7
2020-02-14,John Nicholls,3,8
2020-02-14,Lindsey Sitaro,3,9
2020-02-14,Martha Hennessey,3,10
2020-02-14,Missy Calderwood,3,11
2020-02-14,Peng Zhiyong,3,12
2020-02-14,Peter Sebert,3,13
2020-02-14,Sarah Lavoie,3,14
2020-02-14,Steve Shurtleff,3,15
2020-02-27,Jennifer Crompton,1,1
2020-02-27,Marlin Collingwood,1,2
2020-02-27,Paul Provonost,1,3
2020-03-02,Kelly Ricaurte,1,1
2020-03-03,Jennifer Crompton,1,1
2020-03-03,Lauren Keane,1,2
2020-03-03,Nan,1,3
2020-03-03,Paul Dean,1,4
2020-03-05,Benjamin Chan,1,1
2020-03-05,Kelly Ricaurte,1,2
2020-03-07,Anthony Fauci,1,7
2020-03-07,Christine Kreuder Johnson,1,8
2020-03-07,Ian Lipkin,1,9
2020-03-07,Jeffery Taubenberger,1,10
2020-03-07,Linda Diluzio,1,11
2020-03-07,Michael Osterholm,1,12
2020-03-07,Rob Campbell,1,13
2020-03-07,Aalok Khole,2,2
2020-03-07,Gina Winchester,2,3
2020-03-07,Mark Howard,2,4
2020-03-07,Martha Hennessey,2,5
2020-03-07,Michael Mariani,2,6
2020-03-07,Benjamin Chan,4,1
2020-03-11,Anthony Fauci,1,1
2020-03-11,Burger King,1,2
2020-03-11,Kathleen Mcgraw,1,3
2020-03-11,Olga Peters,1,4
2020-03-11,Peter Elwell,1,5
2020-03-12,Beth Daly,1,4
2020-03-12,Cathy Gray,1,5
2020-03-12,Lisa Witte,1,6
2020-03-12,Nan,1,7
2020-03-12,Holly Ramer,2,2
2020-03-12,Philip Hanlon,2,3
2020-03-12,Chris Sununu,3,1
2020-03-13,Cathy Gray,1,1
2020-03-13,Chris Sununu,1,2
2020-03-13,Philip Hanlon,1,3
2020-03-16,Chris Sununu,4,1
2020-03-16,Frank Edelblut,4,2
2020-03-16,Holly Kennedy,4,3
2020-03-16,Kimberly Rizzo Saunders,4,4
2020-03-16,Lindseigh Picard,4,5
2020-03-16,Lori Landry,4,6
2020-03-16,Phil Scott,4,7
2020-03-16,Rizzo Saunders,4,8
2020-03-16,Robert Malay,4,9
2020-03-17,Philip Hanlon,1,11
2020-03-17,Bishop Libasci,2,3
2020-03-17,Charlie Baker,2,4
2020-03-17,Christopher Coates,2,5
2020-03-17,Gordon Macdonald,2,6
2020-03-17,Michael Branley,2,7
2020-03-17,Michael Schirling,2,8
2020-03-17,Phil Scott,2,9
2020-03-17,Richard Guerriero,2,10
2020-03-17,Holly Ramer,3,2
2020-03-17,Chris Sununu,5,1
2020-03-18,Alex Mcowen,1,16
2020-03-18,Bishop Libasci,2,12
2020-03-18,Holly Ramer,2,13
2020-03-18,Jeanne Shaheen,2,14
2020-03-18,Maggie Hassan,2,15
2020-03-18,Annie Ropeik,4,2
2020-03-18,Ben Chan,4,3
2020-03-18,Daniela Allee,4,4
2020-03-18,Josh Rogers,4,5
2020-03-18,Justin Trudeau,4,6
2020-03-18,Melinda Treadwell,4,7
2020-03-18,Michael Brindley,4,8
2020-03-18,Sarah Gibson,4,9
2020-03-18,Steve Ahnen,4,10
2020-03-18,Todd Bookman,4,11
2020-03-18,Chris Sununu,7,1
2020-03-19,Benjamin Chan,1,25
2020-03-19,Deborah Birx,1,26
2020-03-19,Elizabeth Williams,1,27
2020-03-19,Gina Raimondo,1,28
2020-03-19,Kelly Ricaurte,1,29
2020-03-19,Luke Bronin,1,30
2020-03-19,Mary Lou Huffling,1,31
2020-03-19,Melania Trump,1,32
2020-03-19,Mike Pence,1,33
2020-03-19,Peter Biello,1,34
2020-03-19,Susan Ashworth,1,35
2020-03-19,Thomas Donohue,1,36
2020-03-19,Charlie Baker,2,17
2020-03-19,Liz Larose,2,18
2020-03-19,Marylou Sudders,2,19
2020-03-19,Ned Lamont,2,20
2020-03-19,Nirav Shah,2,21
2020-03-19,Rachael Rollin,2,22
2020-03-19,Rick Lattimer,2,23
2020-03-19,Steve Karl,2,24
2020-03-19,Alex Mcowen,3,3
2020-03-19,Annie Ropeik,3,4
2020-03-19,Ben Chan,3,5
2020-03-19,Daniela Allee,3,6
2020-03-19,Josh Rogers,3,7
2020-03-19,Justin Trudeau,3,8
2020-03-19,Leo Gaudette,3,9
2020-03-19,Maggie Hassan,3,10
2020-03-19,Melinda Treadwell,3,11
2020-03-19,Michael Brindley,3,12
2020-03-19,Sarah Gibson,3,13
2020-03-19,Steve Ahnen,3,14
2020-03-19,Taylor Caswell,3,15
2020-03-19,Todd Bookman,3,16
2020-03-19,Chris Sununu,4,2
2020-03-19,Jeanne Shaheen,5,1
2020-03-20,Gina Raimondo,1,27
2020-03-20,Karen Spilka,1,28
2020-03-20,Luke Bronin,1,29
2020-03-20,Mark Levine,1,30
2020-03-20,Nancy Pelosi,1,31
2020-03-20,Phil Scott,1,32
2020-03-20,Robert Deleo,1,33
2020-03-20,Steve Karl,1,34
2020-03-20,Anthony Fauci,2,19
