date,person,count,rn
2020-03-13,Azorult Trojan,1,1
2020-03-13,Jim Barbee,1,2
2020-03-29,Andrew Cuomo,1,1
2020-03-29,Anthony Everidge,1,2
2020-03-29,Lenox Hill,1,3
2020-03-30,Don Amador,1,1
2020-04-09,Nan,1,1
2020-04-15,Alan Perazzo,2,1
2020-04-15,Mike Helmar,2,2
2020-04-15,Pete Olsen,2,3
2020-04-17,Nan,1,1
2020-04-26,Geoff Ziezulewicz,1,12
2020-04-26,Alex Stone,2,1
2020-04-26,Catherine Cortez Masto,2,2
2020-04-26,Deb Haaland,2,3
2020-04-26,Donna Cossette,2,4
2020-04-26,Doug Lamborn,2,5
2020-04-26,Jacky Rosen,2,6
2020-04-26,Len George,2,7
2020-04-26,Logan Ramsey Tucker,2,8
2020-04-26,Mark Amodei,2,9
2020-04-26,Stacey Montooth,2,10
2020-04-26,Tom Cruise,2,11
2020-04-27,Ben Spillman,1,12
2020-04-27,Alex Stone,2,1
2020-04-27,Catherine Cortez Masto,2,2
2020-04-27,Deb Haaland,2,3
2020-04-27,Donna Cossette,2,4
2020-04-27,Doug Lamborn,2,5
2020-04-27,Jacky Rosen,2,6
2020-04-27,Len George,2,7
2020-04-27,Logan Ramsey Tucker,2,8
2020-04-27,Mark Amodei,2,9
2020-04-27,Stacey Montooth,2,10
2020-04-27,Tom Cruise,2,11
2020-04-28,Alex Stone,1,1
2020-04-28,Catherine Cortez Masto,1,2
2020-04-28,Deb Haaland,1,3
2020-04-28,Donna Cossette,1,4
2020-04-28,Doug Lamborn,1,5
2020-04-28,Jacky Rosen,1,6
2020-04-28,Len George,1,7
2020-04-28,Logan Ramsey Tucker,1,8
2020-04-28,Mark Amodei,1,9
2020-04-28,Stacey Montooth,1,10
2020-04-28,Tom Cruise,1,11
2020-05-13,Ben Shawcroft,1,1
2020-05-13,Carl Erquiaga,1,2
2020-05-13,Casey Pomeroy,1,3
2020-05-13,Debbie Perazzo,1,4
2020-05-13,Pete Olsen,1,5
2020-05-13,Steve Sisolak,1,6
2020-06-17,Barbara Cegavaske,1,1
2020-06-17,Clint Koble,1,2
2020-06-17,Ed Cohen,1,3
2020-06-17,Jeff Ulrich,1,4
2020-06-17,Jesse Douglas Hurley,1,5
2020-06-17,Joel Beck,1,6
2020-06-17,Julie Gilmore,1,7
2020-06-17,Justin Heath,1,8
2020-06-17,Keith Boone,1,9
2020-06-17,Kelli Kelly,1,10
2020-06-17,Linda Rothery,1,11
2020-06-17,Marion Jonte,1,12
2020-06-17,Mark Amodei,1,13
2020-06-17,Michael Mick Casey,1,14
2020-06-17,Patricia Ackerman,1,15
2020-06-17,Robin Titus,1,16
2020-06-24,Anne Mcmillin,1,1
2020-06-24,Brenda Ingram,1,2
2020-06-24,Brian Miller,1,3
2020-06-24,Carl Erquiaga,1,4
2020-06-24,Diane Wargo,1,5
2020-06-24,Gary Fowkes,1,6
2020-06-24,Hannah Zamora,1,7
2020-06-24,Jeff Ulrich,1,8
2020-06-24,Joseph Sanford,1,9
2020-06-24,Julie Benninghove,1,10
2020-06-24,Justin Heath,1,11
2020-06-24,Karen Moessner,1,12
2020-06-24,Keith Boone,1,13
2020-06-24,Kelli Kelly,1,14
2020-06-24,Laura Klein,1,15
2020-06-24,Marion Jonte,1,16
2020-06-24,Maureen Smith,1,17
2020-06-24,Michael Mick Casey,1,18
2020-06-24,Pete Olsen,1,19
2020-06-24,Robin Titus,1,20
2020-06-24,Tiffany Josephs,1,21
