date,person,count,rn
2020-02-19,Anthony Diflorio,1,1
2020-02-19,Ariel Mallory,1,2
2020-02-19,Barack Obama,1,3
2020-02-19,Bernie Sanders,1,4
2020-02-19,Caitlin Conrad,1,5
2020-02-19,Chris Matthews,1,6
2020-02-19,Chris Volkay,1,7
2020-02-19,Curtis Houck,1,8
2020-02-19,Daria Ortiz,1,9
2020-02-19,Donald Trump,1,10
2020-02-19,Eric Haun,1,11
2020-02-19,Jeff Weaver,1,12
2020-02-19,Jen Christensen,1,13
2020-02-19,Jessica Chasmar,1,14
2020-02-19,Jim Durkin,1,15
2020-02-19,Kevin Sheekey,1,16
2020-02-19,Louis Casiano,1,17
2020-02-19,Maria Fuertes,1,18
2020-02-19,Mark Finkelstein,1,19
2020-02-19,Michael Bloomberg,1,20
2020-02-19,Michelle Chen,1,21
2020-02-19,Natalie Dagenhardt,1,22
2020-02-19,Nicole Grigg,1,23
2020-02-19,Nicolle Wallace,1,24
2020-02-19,Pete Buttigieg,1,25
2020-02-19,Reeaz Khan,1,26
2020-02-19,Rob Reiner,1,27
2020-02-19,Rod Blagojevich,1,28
2020-02-19,Rush Limbaugh,1,29
2020-02-19,Sean Gibbons,1,30
2020-02-19,Tate Reeves,1,31
2020-03-04,A Jack Russell,1,1
2020-03-04,Bernie Sanders,1,2
2020-03-04,Joe Biden,1,3
2020-03-04,Ralph Northam,1,4
2020-03-09,Jonathan Rath Hoffman,1,1
2020-03-09,Michael Greenberg,1,2
2020-03-09,Mike Pence,1,3
2020-03-09,Muriel Bowser,1,4
2020-03-09,Nan,1,5
2020-03-09,Steve Walts,1,6
2020-03-11,Brian Misner,1,1
2020-03-11,Deborah Shelton,1,2
2020-03-11,Karla Lacayo,1,3
2020-03-11,Rachel Reamy,1,4
2020-03-11,Vanessa Weedon,1,5
2020-03-13,Amy Wolfe,1,1
2020-03-13,Les Sylphides,1,2
2020-03-13,Mark Esper,1,3
2020-03-13,Nan,1,4
2020-03-13,Nicole Brown,1,5
2020-03-13,Ralph Northam,1,6
2020-03-13,Scott Brabrand,1,7
2020-03-13,Steve Walts,1,8
2020-03-14,Lillian Peake,1,1
2020-03-14,Nan,1,2
2020-03-14,Ralph Northam,1,3
2020-03-14,Steven Walts,1,4
2020-03-15,Lillian Peake,1,1
2020-03-15,Ralph Northam,1,2
2020-03-15,Steven Walts,1,3
2020-03-16,Ann Wheeler,1,1
2020-03-16,Chris Martino,1,2
2020-03-16,Christopher Martino,1,3
2020-03-18,Nan,1,1
2020-03-19,Caden Palmer,1,1
2020-03-19,Kevin Newman,1,2
2020-03-19,Melissa Saunders,1,3
2020-03-19,Nan,1,4
2020-03-20,Alexy Hall,1,1
2020-03-20,Amy Ashworth,1,2
2020-03-20,Brian Moran,1,3
2020-03-20,Danielle Horvath,1,4
2020-03-20,Emily King,1,5
2020-03-20,Keith Lotridge,1,6
2020-03-20,Paul Ebert,1,7
2020-03-20,Ralph Northam,1,8
2020-03-21,Alexy Hall,1,1
2020-03-21,Danielle Horvath,1,2
2020-03-21,Emily King,1,3
2020-03-22,Alison Ansher,1,1
2020-03-22,Amy Ashworth,1,2
2020-03-22,Brian Moran,1,3
2020-03-22,Daniel Carey,1,4
2020-03-22,Denise Toney,1,5
2020-03-22,Levar Stoney,1,6
2020-03-22,Lilian Peake,1,7
2020-03-22,Norman Oliver,1,8
2020-03-22,Ralph Northam,1,9
2020-03-23,Adam Russo,1,1
2020-03-23,Alison Ansher,1,2
2020-03-23,Amanda Stewart,1,3
2020-03-23,Brandon Lipps,1,4
2020-03-23,Chuck Gross,1,5
2020-03-23,Donald Trump,1,6
2020-03-23,Ian Lovejoy,1,7
2020-03-23,Jeni Gross,1,8
2020-03-23,Joe Graczyk,1,9
2020-03-23,Mark Wolfe,1,10
2020-03-23,Muriel Bowser,1,11
2020-03-23,Pam Sebesky,1,12
2020-03-23,Patrick Pate,1,13
2020-03-23,Paul Wiedefeld,1,14
2020-03-23,Ralph Northam,1,15
2020-03-23,Sonny Perdue,1,16
2020-03-23,Steve Walts,1,17
2020-03-23,Steven Walts,1,18
2020-03-24,Alexander Hamilton,1,1
2020-03-24,Bobby Dyer,1,2
2020-03-24,Daniel Carey,1,3
2020-03-24,George Washington,1,4
2020-03-24,Nikki Brown,1,5
2020-03-24,Ralph Northam,1,6
2020-03-24,Rick West,1,7
2020-03-24,Todd Mcgovern,1,8
2020-03-25,Alison Ansher,1,1
