date,person,count,rn
2020-03-30,Emma Hamilton,1,1
2020-04-16,Brannon Traxler,1,1
2020-04-16,Henry Mcmaster,1,2
2020-04-16,Jonathan Knoche,1,3
2020-04-16,Linda Bell,1,4
2020-04-16,Michael Kacka,1,5
2020-04-17,Brannon Traxler,1,1
2020-04-17,Henry Mcmaster,1,2
2020-04-17,Jonathan Knoche,1,3
2020-04-17,Linda Bell,1,4
2020-04-17,Michael Kacka,1,5
2020-04-18,Brannon Traxler,1,1
2020-04-18,Henry Mcmaster,1,2
2020-04-18,Jonathan Knoche,1,3
2020-04-18,Linda Bell,1,4
2020-04-18,Michael Kacka,1,5
2020-04-22,Nan,1,1
2020-04-27,Brannon Traxler,1,1
2020-04-27,Henry Mcmaster,1,2
2020-04-27,Jonathan Knoche,1,3
2020-04-27,Linda Bell,1,4
2020-04-27,Michael Kacka,1,5
