date,person,count,rn
2020-03-19,Dan Woynillowicz,1,1
2020-03-19,Jason Kenney,1,2
2020-03-19,Justin Trudeau,1,3
2020-03-19,Kevin Birn,1,4
2020-03-19,Mark Little,1,5
2020-03-19,Pedro Antunes,1,6
2020-04-16,Allyson Crenshaw,2,1
2020-04-16,Dawni Seymore,2,2
2020-04-16,Sandra Villarreal,2,3
2020-04-16,Tom Green,2,4
2020-05-05,Allyson Crenshaw,1,1
2020-06-11,Subodh Chandra,2,8
2020-06-11,Abraham Lincoln,4,1
2020-06-11,Don Jones,4,2
2020-06-11,John Patterson,4,3
2020-06-11,Juanita Brent,4,4
2020-06-11,Ku Klux Klan,4,5
2020-06-11,Kyle Koehler,4,6
2020-06-11,Paula Hicks-Hudson,4,7
2020-06-13,Ahmaud Arbery,1,1
2020-06-13,Al Roker,1,2
2020-06-13,Al Sharpton,1,3
2020-06-13,Ben Crump,1,4
2020-06-13,Breonna Taylor,1,5
2020-06-13,Christopher Wray,1,6
2020-06-13,Craig Melvin,1,7
2020-06-13,Derek Chauvin,1,8
2020-06-13,Donald Trump,1,9
2020-06-13,Earl Gray,1,10
2020-06-13,Eddie Garcia,1,11
2020-06-13,Eric Garcetti,1,12
2020-06-13,George Floyd,1,13
2020-06-13,Jacob Frey,1,14
2020-06-13,Jason Dwyer,1,15
2020-06-13,John Lewis,1,16
2020-06-13,Kanye West,1,17
2020-06-13,Las Vegas,1,18
2020-06-13,Los Angeles,1,19
2020-06-13,Meghan Markle,1,20
2020-06-13,Muriel Bowser,1,21
2020-06-13,Ralph Northam,1,22
2020-06-13,Robert Paule,1,23
2020-06-13,Rodney King,1,24
2020-06-13,Sam Liccardo,1,25
2020-06-13,Terrence Floyd,1,26
2020-06-13,Tom Plunkett,1,27
2020-06-13,William Barr,1,28
2020-07-02,Anna Arutunyan,1,1
2020-07-02,Boris Yeltsin,1,2
2020-07-02,Donald Trump,1,3
2020-07-02,Hugo Lopez Gatell,1,4
2020-07-02,Joseph Stalin,1,5
2020-07-02,Lindsey Graham,1,6
2020-07-02,Mitch Mcconnell,1,7
2020-07-02,Steve Daines,1,8
2020-07-02,Tom Cotton,1,9
2020-07-02,Vladimir Putin,1,10
