date,person,count,rn
2020-03-22,Elvis Presley,1,1
2020-03-22,Mary Jane,1,2
2020-03-22,Mary Jane Elizabeth Colter,1,3
2020-03-28,Anita Romero,1,1
2020-03-28,Ellen Bernstein,1,2
2020-03-28,Richard Bowman,1,3
2020-03-28,Ryan Stewart,1,4
2020-03-28,Stacy Diller,1,5
2020-05-12,Barbara Jordan,1,1
2020-05-12,Ben Lujan,1,2
2020-05-12,Jennifer Manzanares,1,3
2020-05-12,Robert Rubin,1,4
2020-05-12,Santa Feans,1,5
2020-05-14,Lee Jarvis,1,1
2020-05-14,Lonnie Ben,1,2
2020-05-14,Marisa Greeson,1,3
2020-05-14,Wendy Atcitty,1,4
