date,person,count,rn
2020-02-01,Andrew Medichini,2,43
2020-02-01,Anne Stevens,2,44
2020-02-01,Bob Parker,2,45
2020-02-01,Bob Rowley,2,46
2020-02-01,Daniel Diermeier,2,47
2020-02-01,David Shepardson,2,48
2020-02-01,Elaine Ganley,2,49
2020-02-01,Emily Landon,2,50
2020-02-01,Cameron Kaiser,3,28
2020-02-01,Daniel Lucey,3,29
2020-02-01,David Paul Morris Bloomberg,3,30
2020-02-01,Dominic Raab,3,31
2020-02-01,Erika Edwards,3,32
2020-02-01,John Torres,3,33
2020-02-01,John Torres Drjohntorres,3,34
2020-02-01,Jose Arballo Jr,3,35
2020-02-01,Marty Cetron,3,36
2020-02-01,Maximo Brito,3,37
2020-02-01,Mel Mckay,3,38
2020-02-01,Mike Pompeo,3,39
2020-02-01,Ngozi Ezike,3,40
2020-02-01,Phil Helsel,3,41
2020-02-01,Tim Seeley,3,42
2020-02-01,David Klepper,4,21
2020-02-01,Hua Chunying,4,22
2020-02-01,Jeff Mason,4,23
2020-02-01,Kang-Xing Jin,4,24
2020-02-01,Wilbur Ross,4,25
2020-02-01,Wilfredo Lee,4,26
2020-02-01,Zhang Jun,4,27
2020-02-01,Daisy Nguyen,5,17
2020-02-01,Joel Szabat,5,18
2020-02-01,Marion Koopmans,5,19
2020-02-01,Terry Tang,5,20
2020-02-01,Allison Arwady,7,11
2020-02-01,Cynthia Bao,7,12
2020-02-01,Gregg Orton,7,13
2020-02-01,Hoa Nguyen,7,14
2020-02-01,Munto Davis,7,15
2020-02-01,Richard Vu,7,16
2020-02-01,Steve Biegun,8,10
2020-02-01,Nan,9,9
2020-02-01,Ken Cuccinelli,11,8
2020-02-01,Nancy Messonnier,12,7
2020-02-01,Donald Trump,13,6
2020-02-01,Tedros Adhanom Ghebreyesus,14,5
2020-02-01,Anthony Fauci,15,4
2020-02-01,Alex Azar,18,2
2020-02-01,Robert Redfield,18,3
2020-02-01,Los Angeles,22,1
2020-02-02,Abu Dhabi,2,25
2020-02-02,Amesh Adalja,2,26
2020-02-02,Brendan Obrien,2,27
2020-02-02,Carlos Valencia,2,28
2020-02-02,Chris Whitty,2,29
2020-02-02,Frank Mcgurty,2,30
2020-02-02,Hoi Kianna Luung,2,31
2020-02-02,Jeff Sutherland,2,32
2020-02-02,John Beckman,2,33
2020-02-02,John Ruberry,2,34
2020-02-02,Kazunori Takada,2,35
2020-02-02,Kevin Frayer Getty,2,36
2020-02-02,Martin Sandoval D-Chicago,2,37
2020-02-02,Michael Madigan,2,38
2020-02-02,Michael Ryan,2,39
2020-02-02,Mike Flannery,2,40
2020-02-02,Nan,2,41
2020-02-02,Patrick Lang,2,42
2020-02-02,Retno Marsudi,2,43
2020-02-02,Robin Kaler,2,44
2020-02-02,Sarah Van Orman,2,45
2020-02-02,Stuart Hong,2,46
2020-02-02,Tom Frieden,2,47
2020-02-02,Tomohiro Ohsumi Getty,2,48
2020-02-02,Van Orman,2,49
2020-02-02,William Schaffner,2,50
2020-02-02,Anthony Fauci,3,19
2020-02-02,Austen Bundy,3,20
2020-02-02,Evan Perez,3,21
2020-02-02,Karen Winkelman,3,22
2020-02-02,Lori Lightfoot,3,23
2020-02-02,Shelly Schneider,3,24
2020-02-02,Abeer Abu Omar,4,10
2020-02-02,Alfred Liu,4,11
2020-02-02,Debby Wu,4,12
2020-02-02,Helene Fouquet,4,13
2020-02-02,Miaojung Lin,4,14
2020-02-02,Sara Marley,4,15
2020-02-02,Stephen Innes,4,16
2020-02-02,Steve Geimann,4,17
2020-02-02,Tedros Adhanom Ghebreyesus,4,18
2020-02-02,Dan Tehan,5,6
2020-02-02,Jens Spahn,5,7
2020-02-02,Nancy Messonnier,5,8
2020-02-02,Robert Redfield,5,9
2020-02-02,Mark Ralston Getty,9,5
2020-02-02,Donald Trump,11,4
2020-02-02,David Pekoske,16,3
2020-02-02,Alex Azar,17,2
2020-02-02,Los Angeles,29,1
2020-02-03,David Nguyen,3,43
2020-02-03,David Pekoske,3,44
2020-02-03,Davidson Hamer,3,45
2020-02-03,Elijah Clarke,3,46
2020-02-03,Jens Spahn,3,47
2020-02-03,Lynn Bufka,3,48
2020-02-03,Manas Mishra,3,49
2020-02-03,Newark Liberty,3,50
2020-02-03,Christina Maxouris,4,35
2020-02-03,Christina Ruffini,4,36
2020-02-03,Daniel Allman,4,37
2020-02-03,Gregory Pratt,4,38
2020-02-03,Judd Deere,4,39
2020-02-03,Nan,4,40
2020-02-03,Oxiris Barbot,4,41
2020-02-03,Steven Jiang,4,42
2020-02-03,Rachael Kagan,5,33
2020-02-03,Santa Clara,5,34
2020-02-03,Anthony Fauci,6,31
2020-02-03,David Mcnew Getty,6,32
2020-02-03,Brenda Goh,7,10
2020-02-03,Clare Jim,7,11
2020-02-03,Gabriel Crossley,7,12
2020-02-03,Jeff Mason,7,13
2020-02-03,Kevin Liffey,7,14
2020-02-03,Kevin Yao,7,15
2020-02-03,Leslie Adler,7,16
2020-02-03,Lori Lightfoot,7,17
2020-02-03,Lusha Zhang,7,18
2020-02-03,Maria Kiselyova,7,19
2020-02-03,Martin Pollard,7,20
2020-02-03,Mekhla Raina,7,21
2020-02-03,Muyu Xu,7,22
2020-02-03,Nick Macfie,7,23
2020-02-03,Pei Li,7,24
2020-02-03,Robert Birsel,7,25
2020-02-03,Roxanne Liu,7,26
2020-02-03,Sara Cody,7,27
2020-02-03,Stephanie Ulmer-Nebehay,7,28
