date,person,count,rn
2020-03-16,Frank Larose,1,1
2020-03-16,Jim Crawford,1,2
2020-03-16,Mike Dewine,1,3
2020-03-16,Opha Lawson Jr,1,4
2020-03-16,Rick Conkle,1,5
2020-03-16,Stephanie Slifko,1,6
2020-03-16,Tim Rogers,1,7
2020-03-17,Stephanie Conn,1,7
2020-03-17,Amy Acton,2,1
2020-03-17,Jim Crawford,2,2
2020-03-17,Katherine Clark,2,3
2020-03-17,Mike Dewine,2,4
2020-03-17,Stephanie Slifko,2,5
2020-03-17,Tim Rogers,2,6
2020-03-24,Katherine Clark,1,1
2020-03-25,Katherine Clark,1,1
2020-03-27,Jody Davis,1,1
2020-03-27,Lance Hall,1,2
2020-03-27,Mike Dewine,1,3
2020-03-27,Rick Jones,1,4
2020-03-27,Robert Kleesattel,1,5
2020-03-27,Ronnie Thompson,1,6
2020-03-27,Seth Clark,1,7
2020-03-30,Katie Seward,1,2
2020-03-30,Vickie Ionno,1,3
2020-03-30,Nan,2,1
2020-03-31,Jeff Corder,1,1
2020-03-31,Nan,1,2
2020-04-03,Tim Rogers,1,1
2020-04-06,Nan,1,1
2020-04-07,Denise Guthrie,1,1
2020-04-07,Patsy Cruxton,1,2
2020-04-07,Rhonda Faust,1,3
2020-04-07,Rob Mcmasters,1,4
2020-04-07,Stephanie Conn,1,5
2020-04-07,Todd Shroyer,1,6
2020-04-14,Rob Mcmasters,1,1
2020-04-14,Stephanie Conn,1,2
2020-04-14,Todd Shroyer,1,3
2020-04-20,Rick Raach,1,1
2020-04-22,Ben Brown,1,1
2020-04-22,David Marrison,1,2
2020-04-24,Valerie Shaw,1,1
2020-04-26,Adam Marles,1,1
2020-04-26,Amy Acton,1,2
2020-04-26,Corry Manor,1,3
2020-04-26,Edinboro Manor,1,4
2020-04-26,Emma Toner,1,5
2020-04-26,Kathy Dahlkemper,1,6
2020-04-26,Katie Kent,1,7
2020-04-26,Mike Dewine,1,8
2020-04-26,Nate Wardle,1,9
2020-04-26,Ridge Manor,1,10
2020-04-26,Robert Smith,1,11
2020-04-26,Tom Wolf,1,12
2020-04-26,Vicky Wittuck,1,13
2020-04-28,Gary Fischer,1,1
2020-04-29,Gregory Laubert,1,1
2020-04-29,Robert Batchelor,1,2
