date,person,count,rn
2020-02-25,Bernie Sanders,1,1
2020-02-25,Michael Bloomberg,1,2
2020-02-25,Mike Bloomberg,1,3
2020-02-25,Robby Mook,1,4
2020-02-25,Statebillionaire Tom Steyer,1,5
2020-02-25,Terry Sullivan,1,6
2020-02-25,Tuesdaybillionaire Tom Steyer,1,7
2020-02-26,Barack Obama,1,12
2020-02-26,Bernie Sander,1,13
2020-02-26,Bernie Sandersthe,1,14
2020-02-26,Donald Trump,1,15
2020-02-26,Elizabeth Warren,1,16
2020-02-26,Las Vegas,1,17
2020-02-26,Lindsey Graham,1,18
2020-02-26,Margaret Brennan,1,19
2020-02-26,Newsjoe Biden,1,20
2020-02-26,Robby Mook,1,21
2020-02-26,Scott Brown,1,22
2020-02-26,Statebillionaire Tom Steyer,1,23
2020-02-26,Terry Sullivan,1,24
2020-02-26,Tuesdaybillionaire Tom Steyer,1,25
2020-02-26,Vladimir Putin,1,26
2020-02-26,Xochitl Hinojosa,1,27
2020-02-26,Amy Klobuchar,2,4
2020-02-26,Fidel Castro,2,5
2020-02-26,Gayle King,2,6
2020-02-26,Major Garrett,2,7
2020-02-26,Mike Bloomberg,2,8
2020-02-26,Norah Odonnell,2,9
2020-02-26,Pete Buttigieg,2,10
2020-02-26,Tom Steyer,2,11
2020-02-26,Bernie Sanders,3,1
2020-02-26,Joe Biden,3,2
2020-02-26,Michael Bloomberg,3,3
2020-02-27,Dennis Prager,1,41
2020-02-27,Emma Nelson,1,42
2020-02-27,Eric Lesser,1,43
2020-02-27,Jill Lawrence,1,44
2020-02-27,Katie Martin,1,45
2020-02-27,Mary Walsh,1,46
2020-02-27,Nicholas Kristof,1,47
2020-02-27,Sasha Johnson,1,48
2020-02-27,Steven Robinson,1,49
2020-02-27,Trevor Kolego,1,50
2020-02-27,Dana Perino,2,24
2020-02-27,Greg Gutfeld,2,25
2020-02-27,Guy Benson,2,26
2020-02-27,Hillary Clinton,2,27
2020-02-27,Ilhan Omar,2,28
2020-02-27,Jesse Watters,2,29
2020-02-27,Jim Cliburn,2,30
2020-02-27,Jim Clyburn,2,31
2020-02-27,Jim Watson,2,32
2020-02-27,Juan Williams,2,33
2020-02-27,Katie Pavlich,2,34
2020-02-27,Liz Warren,2,35
2020-02-27,Louis Farrakhan,2,36
2020-02-27,Mother Teresa,2,37
2020-02-27,Rashida Tlaib,2,38
2020-02-27,Scott Brown,2,39
2020-02-27,Suu Kyi,2,40
2020-02-27,Anita Dunn,3,13
2020-02-27,Barack Obama,3,14
2020-02-27,Bernie Sander,3,15
2020-02-27,Bill Clinton,3,16
2020-02-27,Briana Stewart,3,17
2020-02-27,James Clyburn,3,18
2020-02-27,Jonathan Karl,3,19
2020-02-27,Karen Travers,3,20
2020-02-27,Kendall Karson,3,21
2020-02-27,Rick Klein,3,22
2020-02-27,Tulsi Gabbard,3,23
2020-02-27,Melania Trump,4,11
2020-02-27,Mike Pence,4,12
2020-02-27,Michael Bloomberg,5,8
2020-02-27,Mike Bloomberg,5,9
2020-02-27,Pete Buttigieg,5,10
2020-02-27,Amy Klobuchar,6,5
2020-02-27,Nancy Pelosi,6,6
2020-02-27,Tom Steyer,6,7
2020-02-27,Donald Trump,7,2
2020-02-27,Elizabeth Warren,7,3
2020-02-27,Joe Biden,7,4
2020-02-27,Bernie Sanders,8,1
2020-02-28,Aaron Feis,1,5
2020-02-28,Alison Schumer,1,6
2020-02-28,Andrew Yang,1,7
2020-02-28,Annah Aschbrenner,1,8
2020-02-28,Ashley Rowe,1,9
2020-02-28,Asia Bibi,1,10
2020-02-28,Barack Obama,1,11
2020-02-28,Ben Mitchell,1,12
2020-02-28,Betty Henderson,1,13
2020-02-28,Carlos Wolff,1,14
2020-02-28,Clay Middleton,1,15
2020-02-28,Cory Booker,1,16
2020-02-28,Eleanor Watson,1,17
2020-02-28,Elizabeth Warren,1,18
2020-02-28,Gretchen Barbatsis,1,19
2020-02-28,Harold Washington,1,20
2020-02-28,Ibrahim Mike Baycora,1,21
2020-02-28,Katie Hill,1,22
2020-02-28,Lacrai Mitchell,1,23
2020-02-28,Las Vegas,1,24
2020-02-28,Lisa Ko,1,25
2020-02-28,Mabinty Quarshie,1,26
2020-02-28,Mark Shima,1,27
2020-02-28,Matt Hadro,1,28
2020-02-28,Melissa Quinn,1,29
2020-02-28,Mike Bloomberg,1,30
2020-02-28,Mike Bloombergdealt,1,31
2020-02-28,Mitt Romney,1,32
2020-02-28,Nathaniel Rakich,1,33
2020-02-28,Nicole Sganga,1,34
2020-02-28,Ofir Akunis,1,35
2020-02-28,Pat Wright-Dawson,1,36
2020-02-28,Pope Franci,1,37
2020-02-28,Pope Francis,1,38
2020-02-28,Querida Amazonia,1,39
2020-02-28,Rebecca Whetsell,1,40
2020-02-28,Reuven Fenton,1,41
2020-02-28,Roberto Garza Palacios,1,42
2020-02-28,Sander Cohen,1,43
2020-02-28,Santa Marta,1,44
2020-02-28,Sheryl Underwood,1,45
2020-02-28,Shkur Francis,1,46
2020-02-28,Simon Kent,1,47
2020-02-28,Tekel Upharsin,1,48
2020-02-28,Tom Steyer,1,49
2020-02-28,Vera Jenkins,1,50
2020-02-28,Amy Klobuchar,2,2
2020-02-28,Joe Biden,2,3
2020-02-28,Pete Buttigieg,2,4
2020-02-28,Bernie Sanders,3,1
2020-02-29,Alex Azar,1,15
2020-02-29,Jaime Harrison,1,16
2020-02-29,Jamie Walker,1,17
2020-02-29,Lindsey Graham,1,18
2020-02-29,Mike Pence,1,19
2020-02-29,Morgan Acord,1,20
2020-02-29,Scott Gottlieb,1,21
2020-02-29,Stephen Collinson,1,22
2020-02-29,Tim Scott,1,23
2020-02-29,Matt Rourke,2,14
2020-02-29,Barack Obama,4,9
2020-02-29,Jim Clyburn,4,10
2020-02-29,Joe Biden,4,11
2020-02-29,Ronald Reagan Steyer,4,12
2020-02-29,Wolf Blitzer,4,13
2020-02-29,Amy Klobuchar,5,1
2020-02-29,Bernie Sanders,5,2
2020-02-29,Donald Trump,5,3
2020-02-29,Elizabeth Warren,5,4
2020-02-29,Hillary Clinton,5,5
2020-02-29,Michael Bloomberg,5,6
2020-02-29,Pete Buttigieg,5,7
2020-02-29,Tom Steyer,5,8
