date,person,count,rn
2020-02-05,Alex Billioux,2,1
2020-02-05,Alfred Mouton,2,2
2020-02-05,Jefferson Davis,2,3
2020-02-05,Mitch Landrieu,2,4
2020-02-05,Nora Colburn,2,5
2020-03-26,Beth Scioneaux,1,1
2020-03-26,Clay Corley,1,2
2020-03-26,John Bel Edwards,1,3
2020-03-26,Serena White,1,4
2020-03-31,Gerald Herbert,1,8
2020-03-31,Mardi Gras,1,9
2020-03-31,Paula Davis,1,10
2020-03-31,Clay Schexnayder,3,6
2020-03-31,Rodney Lyons,3,7
2020-03-31,Melinda Deslatte,4,5
2020-03-31,Donald Trump,9,1
2020-03-31,Jayson Richardson,9,2
2020-03-31,John Bel Edwards,9,3
2020-03-31,Ted James,9,4
2020-04-06,Andrea Buchanan Mcfarlain,1,1
2020-04-06,Carletta Anthony Jones,1,2
2020-04-06,Cathlean Gilmer Snyder,1,3
2020-04-06,Christa Cunningham,1,4
2020-04-06,Jennifer Babineaux,1,5
2020-04-06,John Bel Edwards,1,6
2020-04-06,Lucie Mesuch,1,7
2020-04-06,Mark Burt,1,8
2020-04-06,Raegan Abshire,1,9
2020-04-06,Taylor Gast,1,10
2020-04-06,Taylor Wallace,1,11
2020-04-06,Woodlawn Elmentary,1,12
2020-04-09,Blake Facebook,1,1
2020-04-09,Harry Blake,1,2
2020-04-09,Harry Blake Facebook,1,3
2020-04-12,Andrea Buchanan Mcfarlain,1,7
2020-04-12,Carletta Anthony Jones,1,8
2020-04-12,Cathlean Gilmer Snyder,1,9
2020-04-12,Cathlean Snyder,1,10
2020-04-12,Christa Cunningham,1,11
2020-04-12,Henrietta Wildsmith,1,12
2020-04-12,Jennifer Babineaux,1,13
2020-04-12,Lucie Mesuch,1,14
2020-04-12,Mark Burt,1,15
2020-04-12,Raegan Abshire,1,16
2020-04-12,Taylor Wallace,1,17
2020-04-12,Adrian Perkins,2,3
2020-04-12,Martin Luther King Jr,2,4
2020-04-12,Moncia Blake Mickle,2,5
2020-04-12,Monica Blake Mickle,2,6
2020-04-12,Harry Blake,4,2
2020-04-12,John Bel Edwards,5,1
2020-04-13,Amy Maxwell,1,9
2020-04-13,Andrea Buchanan Mcfarlain,1,10
2020-04-13,Andrew Phillips,1,11
2020-04-13,Brynn Anderson,1,12
2020-04-13,Candice Pitts,1,13
2020-04-13,Carletta Anthony Jones,1,14
2020-04-13,Cathlean Gilmer Snyder,1,15
2020-04-13,Cathlean Snyder,1,16
2020-04-13,Christa Cunningham,1,17
2020-04-13,Dave Malkoff,1,18
2020-04-13,Deputy Robert Ainsworth,1,19
2020-04-13,Dewayne Bain,1,20
2020-04-13,Dwayne Bain,1,21
2020-04-13,Emma Pritchett,1,22
2020-04-13,Henrietta Wildsmith,1,23
2020-04-13,Jayson Richardson,1,24
2020-04-13,Jennifer Babineaux,1,25
2020-04-13,Karen Blevins,1,26
2020-04-13,Kay Ivey,1,27
2020-04-13,Lucie Mesuch,1,28
2020-04-13,Mark Burt,1,29
2020-04-13,Paula Reid Ainsworth,1,30
2020-04-13,Phil Hyman,1,31
2020-04-13,Raegan Abshire,1,32
2020-04-13,Robert Ainsworth,1,33
2020-04-13,Roderick Sykes,1,34
2020-04-13,Scott Krein,1,35
2020-04-13,Shakira Hall,1,36
2020-04-13,Taylor Wallace,1,37
2020-04-13,Troy Spence,1,38
2020-04-13,Jack Willingham,2,7
2020-04-13,Paul Sheffield,2,8
2020-04-13,Chuck Johnson,3,5
2020-04-13,Staci Albritton Mitchell,3,6
2020-04-13,Jamie Mayo,4,1
2020-04-13,John Bel Edwards,4,2
2020-04-13,Ron Phillips,4,3
2020-04-13,Tate Reeves,4,4
2020-04-21,Ben Raymond,1,1
2020-04-21,John Bel Edward,1,2
2020-04-21,Steve Prator,1,3
2020-04-23,Janice Dean,1,2
2020-04-23,Jayson Richardson,1,3
2020-04-23,Arthur Ray Teague,2,1
2020-04-24,Brian Kemp,1,10
2020-04-24,Maria Hardman,1,11
2020-04-24,Augusta Waterville,2,9
2020-04-24,Becky Carter Roberts,5,8
2020-04-24,Wright Dobbs,7,7
2020-04-24,Alex Zwink,10,2
2020-04-24,Charles Stephens,10,3
2020-04-24,Donny Raley,10,4
2020-04-24,Robert Chaney,10,5
2020-04-24,Tom Galligan,10,6
2020-04-24,Jayson Richardson,11,1
2020-04-25,Becky Carter Roberts,1,7
2020-04-25,Eric Chappell,1,8
2020-04-25,Alex Zwink,2,1
2020-04-25,Charles Stephens,2,2
2020-04-25,Donny Raley,2,3
2020-04-25,Jayson Richardson,2,4
2020-04-25,Robert Chaney,2,5
2020-04-25,Tom Galligan,2,6
2020-04-28,Nan,1,1
2020-05-01,Alex Zwink,1,1
2020-05-01,Becky Carter Roberts,1,2
2020-05-01,Charles Stephens,1,3
2020-05-01,Donny Raley,1,4
2020-05-01,Jayson Richardson,1,5
2020-05-01,Robert Chaney,1,6
2020-05-01,Tom Galligan,1,7
2020-05-05,Bergen R-Morris,1,1
2020-05-05,Brian Bergen,1,2
2020-05-05,Hanover Florham,1,3
2020-05-05,Phil Murphy,1,4
2020-05-11,Bill Cassidy,1,1
2020-05-11,Bob Menendez,1,2
2020-05-11,Donald Trump,1,3
2020-05-11,Doug Steinhardt,1,4
2020-05-11,Phil Murphy,1,5
2020-05-12,Bill Cassidy,1,1
2020-05-12,Bob Menendez,1,2
2020-05-12,Donald Trump,1,3
2020-05-12,Doug Steinhardt,1,4
2020-05-12,Phil Murphy,1,5
