date,person,count,rn
2020-02-04,Alexis Crawford,1,1
2020-02-04,Brian Kemp,1,2
2020-02-04,Clark Atlanta,1,3
2020-02-04,Kathryn Chenault,1,4
2020-02-04,Ken Chenault,1,5
2020-02-04,Martin Luther King Jr,1,6
2020-02-10,Christine Herman,1,1
2020-02-10,Robert Ray,1,2
2020-02-10,Sean Crawford,1,3
2020-02-10,Susan Koch,1,4
2020-02-11,Aaron Diamant,1,1
2020-02-11,Lance Wallace,1,2
2020-02-12,Clyde Smith,2,1
2020-02-12,David Smith,2,2
2020-02-12,Jasmine Aguilera,2,3
2020-02-12,Marybeth Sexton,2,4
2020-02-12,Renee Smith,2,5
2020-02-27,Bernard Watson,1,1
2020-02-27,Brian Kemp,1,2
2020-02-27,Ian Smith,1,3
2020-03-02,Amy Klobuchar,1,10
2020-03-02,Andrea Boone,1,11
2020-03-02,Barack Obama,1,12
2020-03-02,Brian Slowinski,1,13
2020-03-02,Chris Riley,1,14
2020-03-02,Daniel Ortega,1,15
2020-03-02,Doug Collins,1,16
2020-03-02,Elizabeth Warren,1,17
2020-03-02,Emanuel Jones,1,18
2020-03-02,Hakeem Jeffries,1,19
2020-03-02,Jimmy Carter,1,20
2020-03-02,Joe Biden,1,21
2020-03-02,Jon Ossoff,1,22
2020-03-02,Keith Lovell,1,23
2020-03-02,Kelly Loeffler,1,24
2020-03-02,Kevin Tanner,1,25
2020-03-02,Lisa Gonzalez,1,26
2020-03-02,Miranda Murphey,1,27
2020-03-02,Nathan Deal,1,28
2020-03-02,Pete Buttigieg,1,29
2020-03-02,Phil Wilheit,1,30
2020-03-02,Rosalyn Carter,1,31
2020-03-02,Sanjay Gupta,1,32
2020-03-02,Sarah Kallis,1,33
2020-03-02,Shelly Hutchinson,1,34
2020-03-02,Sonny Perdue,1,35
2020-03-02,Stacey Abrams,1,36
2020-03-02,Andrea Arnold,2,1
2020-03-02,Brian Kemp,2,2
2020-03-02,Courtney Burnett,2,3
2020-03-02,David Junger,2,4
