date,person,count,rn
2020-02-07,Eric Holcomb,1,1
2020-02-28,Sean Durbin,1,1
2020-03-11,Alan Levin,1,1
2020-03-11,Alex Jones,1,2
2020-03-11,Antonio Socci,1,3
2020-03-11,Bernie Sanders,1,4
2020-03-11,Bill Randles,1,5
2020-03-11,Cardinal George Pell,1,6
2020-03-11,Cheryl Sullenger,1,7
2020-03-11,Cory Booker,1,8
2020-03-11,Cynthiana Walmart,1,9
2020-03-11,Don Abbondios,1,10
2020-03-11,Donald Trump,1,11
2020-03-11,Ebony Bowden,1,12
2020-03-11,Hannah Fingerhut,1,13
2020-03-11,Hillary Clinton,1,14
2020-03-11,Jeffery Epstein,1,15
2020-03-11,Joe Biden,1,16
2020-03-11,Josh Boak,1,17
2020-03-11,Kevin Mccarthy,1,18
2020-03-11,Madison Dibble,1,19
2020-03-11,Mike Lillis Mike Lillis,1,20
2020-03-11,Rosario Dawson,1,21
2020-03-11,Sarah Jackson,1,22
2020-03-15,Amanda Arnold Rodriguez,1,1
2020-03-15,Dale Walter,1,2
2020-03-15,Mark Taylor,1,3
2020-03-15,Tim Ohearn,1,4
2020-03-15,Watkins Glen,1,5
2020-03-16,Casey Meinhart,1,1
2020-03-16,Julie Pyland,1,2
2020-03-16,Leanne Alsup,1,3
2020-03-16,Ryan Martin,1,4
2020-03-16,Tammie Mulroney,1,5
2020-03-18,Bill Lee,1,1
2020-03-18,Cameron Sexton,1,2
2020-03-18,Dan Howell Dan Howell,1,3
2020-03-18,Dan Howell R-Cleveland,1,4
2020-03-18,Holly Bobo,1,5
2020-03-18,Jennifer Bailer,1,6
2020-03-18,Mark Clement,1,7
2020-03-18,Mark Hall,1,8
2020-03-18,Mike Bell R-Riceville,1,9
2020-03-18,Nan,1,10
2020-03-18,Randy Mcnally,1,11
2020-03-19,Barry Parkhurst,1,1
2020-03-19,Craig Koven,1,2
2020-03-19,Jon Mills,1,3
2020-03-19,Mike Wolanin,1,4
2020-03-20,Betsy Devos,1,1
2020-03-20,Eli Lilly,1,2
2020-03-20,Jennifer Mccormick,1,3
2020-03-20,Mercyhealth Javon Bea,1,4
2020-03-20,Nan,1,5
2020-03-24,Bailey Loosemore,1,1
2020-03-24,Bethany Hodge,1,2
2020-03-24,Dyllan Allen,1,3
2020-03-24,Erin Hinson,1,4
2020-03-24,Jessica Elkin,1,5
2020-03-24,Jo Ann Kolb,1,6
2020-03-24,Minnie Sullivan,1,7
2020-03-27,Eric Holcomb,1,1
2020-03-27,Sean Durbin,1,2
2020-03-31,Sean Durbin,1,1
2020-04-05,Alfred Linder,1,1
2020-04-05,Dominic Grilli,1,2
2020-04-05,Donald Trump,1,3
2020-04-05,Harry Mccoy,1,4
2020-04-05,Herman Rosenberg,1,5
2020-04-05,Jesse Browne,1,6
2020-04-05,Joe Oconner,1,7
2020-04-05,Margaret Southworth,1,8
2020-04-05,Melville Peter Steil,1,9
2020-04-05,Michael Cooney,1,10
2020-04-05,Oscar Rothenberg,1,11
2020-04-05,Pauline Frederick,1,12
2020-04-05,Peter Steil,1,13
2020-04-05,Robert Diven,1,14
2020-04-05,Robert Joseph Diven,1,15
2020-04-05,Sanova Cooney,1,16
2020-04-05,Sanova Efelena Cooney,1,17
2020-04-05,Sanova Efelena Simpson,1,18
2020-04-05,Thelma Oconnor,1,19
2020-04-05,Uncle Sam,1,20
2020-04-05,Vivian Edwards,1,21
2020-04-05,William Linehan,1,22
2020-04-07,Nan,1,1
2020-04-09,Abdel-Malek Al-Mekhlafi,1,5
2020-04-09,Andrew Cuomo,1,6
2020-04-09,Antonio Guterres,1,7
2020-04-09,Bernie Sander,1,8
2020-04-09,Bill Clinton,1,9
2020-04-09,Derrick Johnson,1,10
2020-04-09,Donald Trump,1,11
2020-04-09,Eric England,1,12
2020-04-09,Eric Wooldridge,1,13
2020-04-09,Jesse Edgerton,1,14
2020-04-09,Joe Biden,1,15
2020-04-09,Joseph Murtha,1,16
2020-04-09,Julie Vaughn,1,17
2020-04-09,Katie Mckeogh,1,18
2020-04-09,Linda Tripp,1,19
2020-04-09,Monica Lewinsky,1,20
2020-04-09,Philip Krajeck,1,21
2020-04-09,Tasha Kennard,1,22
2020-04-09,Tedros Adhanom Ghebreyesu,1,23
2020-04-09,Tom Perez,1,24
2020-04-09,Tony Galzin,1,25
2020-04-09,Turki Al-Malki,1,26
2020-04-09,Noreen Nasir,2,4
2020-04-09,Sean Durbin,5,3
2020-04-09,David Welsh,7,1
2020-04-09,Wayne Perry,7,2
2020-04-10,David Welsh,1,1
2020-04-10,Sean Durbin,1,2
2020-04-10,Wayne Perry,1,3
2020-04-11,Brian Kemp,1,4
2020-04-11,Scott James Matheson,1,5
2020-04-11,Scott Smith,1,6
2020-04-11,Tyler Carter,1,7
2020-04-11,Wayne Robertson,1,8
2020-04-11,Bob Oakes,2,1
2020-04-11,Linda Keck,2,2
2020-04-11,Terry Keck,2,3
2020-04-16,Nan,1,1
2020-04-17,Chelsea Hendricks,1,1
2020-04-17,Christine Fisher,1,2
2020-04-17,Corey Pandullo,1,3
2020-04-17,Michael Mahady,1,4
2020-04-17,Michael Yarnick,1,5
2020-04-17,Robert Williams,1,6
2020-04-17,Steven Stempf,1,7
2020-04-20,Kayla Hopson,1,1
2020-04-20,Ron Iverson,1,2
2020-04-21,Barack Obama,1,4
2020-04-21,David Welsh,1,5
2020-04-21,Jonathan Weinzapfel,1,6
2020-04-21,Karen Tallian,1,7
2020-04-21,Mitch Daniels,1,8
2020-04-21,Nate Harter,1,9
2020-04-21,Nathan Harter,1,10
2020-04-21,Todd Rokita,1,11
2020-04-21,Wayne Perry,1,12
2020-04-21,Adam Krupp,2,1
2020-04-21,Curtis Hill,2,2
2020-04-21,John Westercamp,2,3
2020-04-22,Angela Witwer,1,6
2020-04-22,Bose Mckinney Evans,1,7
2020-04-22,Christine Barnes,1,8
2020-04-22,Clyde Thomas,1,9
2020-04-22,Eric Holcomb,1,10
2020-04-22,Gina Johnsen,1,11
2020-04-22,John Westercamp,1,12
2020-04-22,Julie Brixie,1,13
2020-04-22,Karen Tallian,1,14
2020-04-22,Karen Tallianfrom,1,15
2020-04-22,Mara Candelaria Reardon,1,16
2020-04-22,Mike Sodrel,1,17
2020-04-22,Mitch Daniels,1,18
2020-04-22,Nate Ross,1,19
2020-04-22,Sarah Anthony,1,20
2020-04-22,Terrence Berg,1,21
2020-04-22,Thomas Clyde,1,22
2020-04-22,Adam Krupp,2,1
2020-04-22,Barack Obama,2,2
2020-04-22,Curtis Hill,2,3
2020-04-22,Jonathan Weinzapfel,2,4
2020-04-22,Nate Harter,2,5
2020-04-30,Bill Haslam,1,1
2020-04-30,Bill Lee,1,2
2020-04-30,Gillum Ferguson,1,3
2020-05-07,Tim Cochran,1,1
2020-05-08,Dane Davenport,1,1
2020-05-08,Eli Lilly,1,2
2020-05-08,Judy King,1,3
2020-05-08,Robert Palmer,1,4
2020-05-08,Valerie Morris,1,5
2020-05-08,Zithromax Z-Pak,1,6
2020-05-13,Alice Dubow,1,6
2020-05-13,Angelia Johnson,1,7
2020-05-13,Bill Deweese,1,8
2020-05-13,Carolyn Nichols,1,9
2020-05-13,Curtis Hill Jr,1,10
2020-05-13,Debra Bogen,1,11
2020-05-13,Deputy Aaron Negangard,1,12
2020-05-13,Derek Forman,1,13
2020-05-13,Doug Mastriano,1,14
2020-05-13,Gabrielle Mclemore,1,15
2020-05-13,James Colins,1,16
2020-05-13,Jonathan Weinzapfel,1,17
2020-05-13,Josh Shapiro,1,18
2020-05-13,Justin Davis,1,19
2020-05-13,Karen Tallian,1,20
2020-05-13,Lacey Watt,1,21
2020-05-13,Mara Candelaria Reardon,1,22
2020-05-13,Mike Braun,1,23
2020-05-13,Niki Dasilva,1,24
2020-05-13,Rachel Levine,1,25
2020-05-13,Randy Padfield,1,26
2020-05-13,Roger Wulf,1,27
2020-05-13,Samantha Lozano,1,28
2020-05-13,Scott Brosman,1,29
2020-05-13,Stefani Pashman,1,30
2020-05-13,Suzanne Crouch,1,31
2020-05-13,Tim Lanane,1,32
2020-05-13,Todd Rokita,1,33
2020-05-13,Tom Corbett,1,34
2020-05-13,Toni Ferencak,1,35
2020-05-13,Curtis Hill,2,1
2020-05-13,Eric Holcomb,2,2
2020-05-13,John Westercamp,2,3
