date,person,count,rn
2020-03-13,Asa Hutchinson,1,1
2020-03-13,Nathaniel Smith,1,2
2020-03-14,Asa Hutchinson,1,1
2020-03-14,Nathaniel Smith,1,2
2020-03-15,Asa Hutchinson,1,1
2020-03-15,Nathaniel Smith,1,2
2020-03-16,Asa Hutchinson,4,3
2020-03-16,Frank Scott,5,2
2020-03-16,Nathaniel Smith,7,1
2020-03-18,Frank Scott,1,1
2020-03-18,Jim Hendren,1,2
2020-03-18,Nathaniel Smith,1,3
2020-04-05,Tate Reeves,1,1
2020-04-07,Bob Baffert,1,1
2020-04-07,Joe Talamo,1,2
2020-04-09,Chuck Espy,1,1
2020-04-09,Diane Makamson,1,2
2020-04-09,Lee Walls,1,3
2020-04-10,David Cohen,1,1
2020-04-10,Edgar Morales,1,2
2020-04-10,Joe Talamo,1,3
2020-04-10,Martin Garcia,1,4
2020-04-10,Ricardo Santana Jr,1,5
2020-04-10,Steve Asmussen,1,6
2020-04-10,Wayne Catalano,1,7
2020-04-16,Javier Castellano,1,1
2020-04-16,Todd Pletcher,1,2
2020-04-18,Aaron Greer,1,1
2020-04-18,Derisa Ainsworth,1,2
2020-04-18,Jack Willingham,1,3
2020-04-18,Jefferson Davis,1,4
2020-04-18,Jocelyn Ragsdale,1,5
2020-04-18,Kim Mason,1,6
2020-04-18,Michael Guest,1,7
2020-04-18,Michael Lamb,1,8
2020-04-18,Paul Sheffield,1,9
2020-04-18,Royce Mckee,1,10
2020-04-18,Tate Reeves,1,11
2020-04-19,Channing Hill,1,1
2020-04-22,Bob Baffert,1,1
2020-04-22,Jerry Hollendorfer,1,2
2020-04-22,Joe Talamo,1,3
2020-04-22,Joel Rosario,1,4
2020-04-22,John Sadler,1,5
2020-04-22,Martin Garcia,1,6
2020-04-22,Michael Mccarthy,1,7
2020-04-22,Tyler Baze,1,8
2020-04-22,Victor Espinoza,1,9
2020-04-22,William Vanmeter,1,10
2020-04-24,Asa Hutchinson,1,1
2020-04-24,Nate Smith,1,2
2020-04-25,Asa Hutchinson,1,1
2020-04-25,Nate Smith,1,2
2020-04-29,Jefferson Davis,1,1
2020-04-29,Thomas Dobbs,1,2
2020-05-02,Brian Hernandez Jr,1,1
2020-05-02,David Cohen,1,2
2020-05-02,Flavien Prat,1,3
2020-05-02,Kenny Mcpeek,1,4
2020-05-02,Peter Callahan,1,5
2020-05-02,Rachel Alexandra,1,6
2020-05-02,Ricardo Santana Jr,1,7
2020-05-02,Richard Baltas,1,8
2020-05-02,Santa Anita,1,9
2020-05-02,Tyler Baze,1,10
2020-05-06,Bret Calhoun,1,1
2020-05-06,Gabriel Saez,1,2
2020-05-06,Louis Cella,1,3
2020-05-27,Beth Harris,1,3
2020-05-27,Pharoah Hall,1,4
2020-05-27,Martin Garcia,3,2
2020-05-27,Bob Baffert,7,1
2020-05-31,Bob Baffert,1,1
2020-06-02,Bob Baffert,1,1
2020-06-03,Bob Baffert,1,1
2020-07-13,Nick Oxford,2,4
2020-07-13,Donald Trump,3,2
2020-07-13,Kary Stackelbeck,3,3
2020-07-13,Bruce Dart,4,1
