date,person,count,rn
2020-03-29,Bryan D Cox,1,1
2020-03-29,Hilda Jorge Perez,1,2
2020-03-29,Jaclyn Cole,1,3
2020-03-29,Phoebe Lytle,1,4
2020-04-06,Brian Kemp,1,4
2020-04-06,Doug Collins,1,5
2020-04-06,Douglas Doug Allen Collinssunday,1,6
2020-04-06,Johnny Isakson,1,7
2020-04-06,Johnny Isaksonloeffler,1,8
2020-04-06,Kelly Loeffler,1,9
2020-04-06,Joe Lieberman I-Conn,2,1
2020-04-06,Matt Lieberman,2,2
2020-04-06,Raphael Warnock,2,3
2020-04-13,Brian Kemp,1,1
2020-04-13,Cody Hall,1,2
2020-04-13,Eli Porter,1,3
2020-04-13,Kasim Reed,1,4
2020-04-13,Mitzi Bickers,1,5
2020-04-13,Raphael Warnock,1,6
2020-04-13,Victor Morgan,1,7
2020-04-24,Al Bartell,1,1
2020-04-24,Allen Buckley,1,2
2020-04-24,Annette Davis Jackson,1,3
2020-04-24,Brian Kemp,1,4
2020-04-24,Deborah Jackson,1,5
2020-04-24,Donald Trump,1,6
2020-04-24,John Fortuin,1,7
2020-04-24,Kelly Loeffler,1,8
2020-04-24,Michael Todd Greene,1,9
2020-04-24,Raphael Warnock,1,10
2020-04-24,Richard Dien Winfield,1,11
2020-05-21,Adam Brewster,1,1
2020-05-21,Alex Padilla,1,2
2020-05-21,Alexis Mcgill Johnson,1,3
2020-05-21,Barbara Cegavske,1,4
2020-05-21,Bernie Sanders,1,5
2020-05-21,Bo Erickson,1,6
2020-05-21,Carolyn Dewitt,1,7
2020-05-21,Chuck Grassley,1,8
2020-05-21,Debbie Dingell,1,9
2020-05-21,Donald Trump,1,10
2020-05-21,Eleanor Watson,1,11
2020-05-21,Erin Hill,1,12
2020-05-21,Gilda Daniels,1,13
2020-05-21,Gretchen Whitmer,1,14
2020-05-21,Hunter Biden,1,15
2020-05-21,Jocelyn Benson,1,16
2020-05-21,Joe Biden,1,17
2020-05-21,Kamala Harris,1,18
2020-05-21,Kate Bedingfield,1,19
2020-05-21,Kelly Loeffler,1,20
2020-05-21,Lacrai Mitchell,1,21
2020-05-21,Laura Cox,1,22
2020-05-21,Mcgill Johnson,1,23
2020-05-21,Mercedes Schlapp,1,24
2020-05-21,Mike Pence,1,25
2020-05-21,Musadiq Bidar,1,26
2020-05-21,Nicole Sganga,1,27
2020-05-21,Raphael Warnock,1,28
2020-05-21,Ron Desantis,1,29
2020-05-21,Ron Johnson,1,30
2020-05-21,Ronald Reagan,1,31
2020-05-21,Ronna Mcdaniel,1,32
2020-05-21,Sarah Ewall,1,33
2020-05-21,Scott Walker,1,34
2020-05-21,Shirley Schultz,1,35
2020-05-21,Steve Bullock,1,36
2020-05-21,Steve Sisolak,1,37
2020-05-21,Tammy Baldwin,1,38
2020-05-21,Tim Murtaugh,1,39
2020-05-21,Tim Perry,1,40
2020-05-21,Val Demings,1,41
2020-05-21,Zak Hudak,1,42
2020-05-27,Brian Kemp,1,1
2020-05-27,Kyle Waide,1,2
2020-05-27,Pamela Stauffer,1,3
2020-05-27,Richard Henry,1,4
2020-05-27,Tom Carden,1,5
2020-06-11,Brooke Baldwin,1,21
2020-06-11,Nancy Pelosi,1,22
2020-06-11,Alex Rogers,2,20
2020-06-11,Andrea Young,3,1
2020-06-11,Brad Raffensperger,3,2
2020-06-11,Brian Kemp,3,3
2020-06-11,David Perdue,3,4
2020-06-11,Donald Trump,3,5
2020-06-11,Doug Collins,3,6
2020-06-11,Joe Biden,3,7
2020-06-11,Joe Lieberman,3,8
2020-06-11,John Lewis,3,9
2020-06-11,Johnny Isakson,3,10
2020-06-11,Jon Ossoff,3,11
2020-06-11,Kelly Loeffler,3,12
2020-06-11,Lauren Groh-Wargo,3,13
2020-06-11,Matt Lieberman,3,14
2020-06-11,Michael Thurmond,3,15
2020-06-11,Raphael Warnock,3,16
2020-06-11,Sarah Riggs Amico,3,17
2020-06-11,Stacey Abrams,3,18
2020-06-11,Teresa Tomlinson,3,19
2020-06-19,Aaron Morrison,1,10
2020-06-19,Augusta Waterville,1,11
2020-06-19,Andrew Harnik George Floyd,2,9
2020-06-19,Andrew Harnik,3,7
2020-06-19,John Coy,3,8
2020-06-19,Hannah Fingerhut,5,6
2020-06-19,George Floyd,10,5
2020-06-19,Anne Oredeko,13,1
2020-06-19,Donald Trump,13,2
2020-06-19,Kipp Gilmore-Clough,13,3
