date,person,count,rn
2020-02-03,Amy Klobuchar,1,1
2020-02-03,Antonio Perez,1,2
2020-02-03,Barack Obama,1,3
2020-02-03,Barry Norden,1,4
2020-02-03,Bernie Sanders,1,5
2020-02-03,Bill Conway,1,6
2020-02-03,Bob Fioretti,1,7
2020-02-03,Brad Schneider,1,8
2020-02-03,Constance Mixon,1,9
2020-02-03,Danny Davis,1,10
2020-02-03,David Axelrod,1,11
2020-02-03,Donald Trump,1,12
2020-02-03,Elizabeth Warren,1,13
2020-02-03,Gregory Pratt,1,14
2020-02-03,Jack Franks,1,15
2020-02-03,Javonte Anderson,1,16
2020-02-03,Joe Biden,1,17
2020-02-03,Joe Walsh,1,18
2020-02-03,Jussie Smollett,1,19
2020-02-03,Kim Foxx,1,20
2020-02-03,Lori Lightfoot,1,21
2020-02-03,Michael Bennet,1,22
2020-02-03,Michael Bloomberg,1,23
2020-02-03,Michael Madigan,1,24
2020-02-03,Paul Simon,1,25
2020-02-03,Pete Buttigieg,1,26
2020-02-03,Rick Pearson,1,27
2020-02-03,Robin Kelly,1,28
2020-02-07,Don Bolger,2,1
2020-02-07,Mary Anderson,2,2
2020-02-07,Sinikka Mondini,2,3
2020-02-08,Allison Arwady,1,1
2020-02-08,Don Bolger,1,2
2020-02-08,Jennifer Layden,1,3
2020-02-08,Jessica Villagomez,1,4
2020-02-08,Ngozi Ezike,1,5
2020-02-12,Ben Touhey,1,1
2020-02-12,Mabel Moy,1,2
2020-02-12,Pat Jan,1,3
2020-02-12,Sze Chuan,1,4
2020-02-12,Tommy Wong,1,5
2020-02-12,Vincent Li,1,6
2020-02-13,Ben Touhey,1,1
2020-02-13,Mabel Moy,1,2
2020-02-13,Pat Jan,1,3
2020-02-13,Sze Chuan,1,4
2020-02-13,Tommy Wong,1,5
2020-02-13,Vincent Li,1,6
2020-02-15,Annie Sweeney,1,1
2020-02-15,Antonia Ayres-Brown,1,2
2020-02-15,Bernie Sanders,1,3
2020-02-15,Cecilia Reyes,1,4
2020-02-15,Charles Hughes,1,5
2020-02-15,Chuy Garc,1,6
2020-02-15,Dan Lipinski,1,7
2020-02-15,Dan Petrella,1,8
2020-02-15,Dick Durbin,1,9
