date,person,count,rn
2020-02-07,Thomas Kemp,1,1
2020-02-27,Kate Maguire,2,1
2020-02-27,Leeshia Crayton,2,2
2020-02-27,Nancy Messonnier,2,3
2020-02-27,Patricia Kress,2,4
2020-02-27,Sacred Heart,2,5
2020-02-29,Alaina Cheslak,1,1
2020-03-06,Allison Gosbin,1,1
2020-03-06,John Carlin,1,2
2020-03-06,Lieske Giese,1,3
2020-03-07,Lieske Giese,2,1
2020-03-07,Mary Ann Hardebeck,2,2
2020-03-07,Meghan Kulig,2,3
2020-03-07,Ron Walsh,2,4
2020-03-08,Ron Johnson,1,1
2020-03-08,Tammy Baldwin,1,2
2020-03-11,Nan,1,11
2020-03-11,Colleen Schian,3,1
2020-03-11,Jeanne Ayers,3,2
2020-03-11,Joe Zydowsky,3,3
2020-03-11,Katherine Frank,3,4
2020-03-11,Marisa Stanley,3,5
2020-03-11,Mark Luebker,3,6
2020-03-11,Mary Ann Hardebeck,3,7
2020-03-11,Ryan Westergaard,3,8
2020-03-11,Timothy Boehnen,3,9
2020-03-11,Traci Desalvo,3,10
2020-03-12,Bernie Patterson,1,11
2020-03-12,Christopher Hillard,1,12
2020-03-12,Eddy Conroy,1,13
2020-03-12,Hannah Borchert,1,14
2020-03-12,James Schmidt,1,15
2020-03-12,Jerry Gallagher,1,16
2020-03-12,Mary Ellen Gevelinger,1,17
2020-03-12,Nan,1,18
2020-03-12,Rebecca Blank,1,19
2020-03-12,Sheryl Van Gruensven,1,20
2020-03-12,Tanasia Shaw,1,21
2020-03-12,Tanner Duffney,1,22
2020-03-12,Colleen Schian,3,1
2020-03-12,Jeanne Ayers,3,2
2020-03-12,Joe Zydowsky,3,3
2020-03-12,Katherine Frank,3,4
2020-03-12,Marisa Stanley,3,5
2020-03-12,Mark Luebker,3,6
2020-03-12,Mary Ann Hardebeck,3,7
2020-03-12,Ryan Westergaard,3,8
2020-03-12,Timothy Boehnen,3,9
2020-03-12,Traci Desalvo,3,10
2020-03-13,Carl Goldman,1,5
2020-03-13,Charlie Campbell,1,6
2020-03-13,Daniel Peggs,1,7
2020-03-13,Eugene Campbell,1,8
2020-03-13,Greg Yerex,1,9
2020-03-13,Jim Schmitt,1,10
2020-03-13,Joe Zydowsky,1,11
2020-03-13,Joseph Bugni,1,12
2020-03-13,Julie Pfluger,1,13
2020-03-13,Peter Moyers,1,14
2020-03-13,Rebecca Frasure,1,15
2020-03-13,Ron Walsh,1,16
2020-03-13,Rose Yerex,1,17
2020-03-13,Stephen Crocker,1,18
2020-03-13,Tony Evers,1,19
2020-03-13,James Schmidt,2,1
2020-03-13,Jeanne Ayers,2,2
2020-03-13,Katherine Frank,2,3
2020-03-13,Marisa Stanley,2,4
2020-03-14,Abby Johnson,2,1
