date,person,count,rn
2020-03-14,William B Ogletree,1,1
2020-03-15,Donald Trump,1,1
2020-03-15,Jeff Shaver,1,2
2020-03-15,Jonathon Horton,1,3
2020-03-15,Mark Bullock,1,4
2020-03-15,Wally Olson,1,5
2020-03-16,Emily Sims,1,1
2020-03-18,Nan,1,1
2020-03-19,Doris Jackson,1,1
2020-03-19,Paul Evans,1,2
2020-03-25,Bryan Cox,1,1
2020-03-25,David Patton,1,2
2020-03-25,Deborah Gaither,1,3
2020-03-25,Jonathon Horton,1,4
2020-03-25,Kay Ivey,1,5
2020-03-25,Lamar Jaggears,1,6
2020-03-25,Sherman Guyton,1,7
2020-03-25,Steve Carroll,1,8
2020-03-27,Amy Burgess,1,1
2020-03-29,Bill Harris,1,4
2020-03-29,Colleen Smith,1,5
2020-03-29,Doug Williams,1,6
2020-03-29,Jonathon Horton,1,7
2020-03-29,Justin Gasque,1,8
2020-03-29,Kay Ivey,1,9
2020-03-29,Melissa Sizemore,1,10
2020-03-29,Scott Norwood,1,11
2020-03-29,David Gregerson,2,1
2020-03-29,Ila Burton,2,2
2020-03-29,Mack Johnson,2,3
2020-04-02,Craig Ford,1,1
2020-04-02,Robert Aderholt,1,2
2020-04-03,Alan Cosby,1,1
2020-04-03,Eric Mackey,1,2
2020-04-03,Jeff Colegrove,1,3
2020-04-03,Kay Ivey,1,4
2020-04-03,Tony Reddick,1,5
2020-04-08,Deborah Gaither,1,1
2020-04-11,Angela Steadman,1,1
2020-04-11,Ben May,1,2
2020-04-11,Chris Sanders,1,3
2020-04-11,Christina Braithwaite,1,4
2020-04-11,Christina Braithwaite Christina,1,5
2020-04-11,Frank Craven,1,6
2020-04-11,Frederick Middlestorb,1,7
2020-04-11,Nan,1,8
2020-04-12,Dario Gutierrez,1,1
2020-04-12,Donald Trump,1,2
2020-04-12,Faruk Ibrahim,1,3
2020-04-12,Jessica Vosburgh,1,4
2020-04-12,Jonathon Horton,1,5
2020-04-12,Karim Golding,1,6
