date,person,count,rn
2020-02-02,Matthew Cartter,1,1
2020-02-02,Monica Bharel,1,2
2020-02-02,Rita Nieves,1,3
2020-02-02,Scott Appleby,1,4
2020-02-07,Elle Desmarteau,1,1
2020-02-07,Giselle Oldani,1,2
2020-02-07,Kris Mcgrath,1,3
2020-02-23,Bernie Sanders,1,1
2020-02-23,Bernie Sandersrussian,1,2
2020-02-23,Chris Murphy,1,3
2020-02-23,Christopher Chris Scott Murphykerry,1,4
2020-02-23,Donald John Trumpwhere,1,5
2020-02-23,George Conway,1,6
2020-02-23,Jacob Jake Paul Tapperdemocrats,1,7
2020-02-23,Jake Tapper,1,8
2020-02-23,Ron Desantis,1,9
2020-02-26,Alex Azar,1,9
2020-02-26,Francisco Guzman,1,10
2020-02-26,Gonzaga Florence,1,11
2020-02-26,Joe Sutton,1,12
2020-02-26,Lisa Morrissey,1,13
2020-02-26,Mark Boughton,1,14
2020-02-26,Nan,1,15
2020-02-26,Richard Martinello,1,16
2020-02-26,Josh Kurzer,2,5
2020-02-26,Michael Spera,2,6
2020-02-26,Nancy Messonnier,2,7
2020-02-26,Selectwoman Beth Heller,2,8
2020-02-26,Cathy Zuraw Hearst,3,3
2020-02-26,Ignatius Loyola,3,4
2020-02-26,John Beckman,6,1
2020-02-26,Steven Bennett,6,2
2020-02-27,April Alfano,1,7
2020-02-27,David Abbey,1,8
2020-02-27,Doug Whiting,1,9
2020-02-27,Gianna Bryant,1,10
2020-02-27,Harvey Weinstein,1,11
2020-02-27,Jennifer Jackson,1,12
2020-02-27,John Alston,1,13
2020-02-27,Josh Kurzer,1,14
2020-02-27,Justin Elicker,1,15
2020-02-27,Kobe Bryant,1,16
2020-02-27,Larry Einstein,1,17
2020-02-27,Leslie Pollito,1,18
2020-02-27,Maria Rodriguez,1,19
2020-02-27,Mark Oneill,1,20
2020-02-27,Mark Vendetto,1,21
2020-02-27,Matthew Cartter,1,22
2020-02-27,Michael Spera,1,23
2020-02-27,Nancy Messonnier,1,24
2020-02-27,Richard Martinello,1,25
2020-02-27,Rick Fontana,1,26
2020-02-27,Ron Desantis,1,27
2020-02-27,Ryan Tenny,1,28
2020-02-27,Timothy Coon,1,29
2020-02-27,Vanessa Bryant,1,30
2020-02-27,William Mckersie,1,31
2020-02-27,Cathy Zuraw Hearst,2,3
2020-02-27,Ignatius Loyola,2,4
2020-02-27,Joe Ganim,2,5
2020-02-27,Ned Lamont,2,6
2020-02-27,John Beckman,3,1
2020-02-27,Steven Bennett,3,2
2020-02-28,Adrianna Collins,1,1
2020-02-28,Chris Clouet,1,2
2020-02-28,Daniel Divito,1,3
2020-02-28,David Abbey,1,4
2020-02-28,Josh Kurzer,1,5
2020-02-28,Mike Maglione,1,6
2020-02-28,William Mckersie,1,7
2020-02-29,Adrianna Collins,1,1
2020-02-29,Ben Trapka,1,2
2020-02-29,Chris Clouet,1,3
2020-02-29,Daniel Divito,1,4
2020-02-29,John Calhoun,1,5
2020-02-29,Kattey Ortiz,1,6
2020-02-29,Los Angeles,1,7
2020-02-29,Mike Maglione,1,8
2020-02-29,Nan,1,9
2020-03-01,Josh Kurzer,1,4
2020-03-01,Emily Brindley,2,3
