date,person,count,rn
2020-03-12,Alfred Rankins Jr,1,9
2020-03-12,Anthony Newman,1,10
2020-03-12,Carlos Gimenez,1,11
2020-03-12,Christina White,1,12
2020-03-12,Daniel Rivero,1,13
2020-03-12,Edward Abraham,1,14
2020-03-12,Jessica Bakeman,1,15
2020-03-12,Miami Herald,1,16
2020-03-12,Mike Pence,1,17
2020-03-12,Robert Redfield,1,18
2020-03-12,Ron Desantis,1,19
2020-03-12,Ron Hurtibise,1,20
2020-03-12,Tedros Adhanom Ghebreyesus,1,21
2020-03-12,David Hogan,2,4
2020-03-12,Delbert Hosemann,2,5
2020-03-12,Rambod Rouhbakhsh,2,6
2020-03-12,Steve Farrell,2,7
2020-03-12,Toby Barker,2,8
2020-03-12,Nan,4,3
2020-03-12,Tate Reeves,6,2
2020-03-12,Thomas Dobbs,10,1
2020-03-13,Nicholas Conger,1,6
2020-03-13,Steve Farrell,1,7
2020-03-13,Paul Byers,2,5
2020-03-13,Delbert Hosemann,3,2
2020-03-13,Nan,3,3
2020-03-13,Paul Gallo,3,4
2020-03-13,Thomas Dobbs,9,1
2020-03-14,Paul Byers,2,6
2020-03-14,Donald Trump,3,5
2020-03-14,Thomas Dobbs,4,4
2020-03-14,David Hogan,6,1
2020-03-14,Glen Moore,6,2
2020-03-14,Toby Barker,6,3
2020-03-15,Nan,1,1
2020-03-16,Nan,1,1
2020-03-17,Geralyn Datz,1,2
2020-03-17,Ken Cleveland,1,3
2020-03-17,Nan,1,4
2020-03-17,Tate Reeves,1,5
2020-03-17,Thomas Dobbs,1,6
2020-03-17,David Hogan,2,1
2020-03-18,John Mcfarland,1,3
2020-03-18,Delbert Hosemann,2,1
2020-03-18,Nan,2,2
2020-03-19,Jason White,1,1
2020-03-19,Marc Rolph,1,2
2020-03-19,Nan,1,3
2020-03-19,Philip Gunn,1,4
2020-03-19,Sam Mims,1,5
2020-03-19,Steve Holland,1,6
2020-03-19,Thomas Dobbs,1,7
2020-03-20,David Hogan,1,4
2020-03-20,Nan,1,5
2020-03-20,Toby Barker,1,6
2020-03-20,Gurmit Singh Bhatia,2,1
2020-03-20,Lewis Kaplan,2,2
2020-03-20,Thomas Dobbs,2,3
2020-03-21,Nan,1,1
2020-03-22,Chris Johnson,1,1
2020-03-22,Holly Johnson,1,2
2020-03-22,Sarah Compton,1,3
2020-03-22,Savannah Hahn,1,4
2020-03-22,Tate Reeves,1,5
2020-03-22,Trey Lamar,1,6
2020-03-24,Lynn Fitch,1,1
2020-03-24,Ryan Moore,1,2
2020-03-25,Toby Barker,1,1
2020-03-26,Chris Johnson,1,1
2020-03-26,Trey Lamar,1,2
2020-03-27,Nan,1,1
2020-03-28,Donald Trump,1,13
2020-03-28,Molly Hennessy-Fiske Los Angeles,1,14
2020-03-28,Nan,1,15
2020-03-28,Amanda Jenkins Ausborn,2,2
2020-03-28,Chokwe Antar Lumumba,2,3
2020-03-28,Ethan Williams,2,4
2020-03-28,Jackson Wood,2,5
2020-03-28,John Thomas,2,6
2020-03-28,Marc Scott,2,7
2020-03-28,Marienka Hegedus Solis,2,8
2020-03-28,Michael Jackson,2,9
2020-03-28,Mike Pence,2,10
2020-03-28,Monica Cosby,2,11
2020-03-28,Pam Scott,2,12
2020-03-28,Tate Reeves,3,1
2020-03-29,Tate Reeves,1,1
2020-03-30,Billy Andrews,1,8
2020-03-30,Billy Mcgee,1,9
2020-03-30,Jim Hood,1,10
2020-03-30,Philip Gunn,1,11
2020-03-30,Ramona Blackledge,1,12
2020-03-30,Chokwe Lumumba,2,1
2020-03-30,Darren Musselwhite,2,2
2020-03-30,Jason Shelton,2,3
2020-03-30,Mario King,2,4
2020-03-30,Robert Smith,2,5
2020-03-30,Tate Reeve,2,6
2020-03-30,Tate Reeves,2,7
2020-03-31,Billy Andrews,1,2
2020-03-31,Billy Mcgee,1,3
2020-03-31,Chris Johnson,1,4
2020-03-31,Jim Hood,1,5
2020-03-31,Philip Gunn,1,6
2020-03-31,Ramona Blackledge,1,7
2020-03-31,Trey Lamar,1,8
2020-03-31,Nan,2,1
2020-04-01,Albert Diaz,1,1
2020-04-01,Brantley Nichol,1,2
2020-04-01,Gerald Jay Schaar,1,3
2020-04-01,Gregory Parker,1,4
2020-04-01,Marco Moran,1,5
2020-04-01,Nan,1,6
2020-04-01,Randy Thomley,1,7
2020-04-01,Shahjahan Sultan,1,8
2020-04-01,Silas Richmond,1,9
2020-04-01,Susan Perry,1,10
2020-04-01,Tate Reeves,1,11
