date,person,count,rn
2020-02-13,Candace Culcleasure,1,1
2020-02-18,Alec Baldwin,1,2
2020-02-18,Amy Klobuchar,1,3
2020-02-18,Bernie Sanders,1,4
2020-02-18,John Bolton,1,5
2020-02-18,John Gray,1,6
2020-02-18,John Palermo,1,7
2020-02-18,Kevin Sheekey,1,8
2020-02-18,Matt Newton,1,9
2020-02-18,Mike Bloomberg,1,10
2020-02-18,Mike Causey,1,11
2020-02-18,Pete Buttigieg,1,12
2020-02-18,Donald Trump,2,1
2020-02-19,Amy Klobuchar,1,1
2020-02-19,Bernie Sanders,1,2
2020-02-19,Donald Trump,1,3
2020-02-19,John Bolton,1,4
2020-02-19,John Gray,1,5
2020-02-19,John Palermo,1,6
2020-02-19,Kevin Sheekey,1,7
2020-02-19,Matt Newton,1,8
2020-02-19,Mike Bloomberg,1,9
2020-02-19,Mike Causey,1,10
2020-02-19,Pete Buttigieg,1,11
2020-02-27,Amy Klobuchar,1,1
2020-02-27,Ben Briscoe,1,2
2020-02-27,Bernie Sanders,1,3
2020-02-27,Donald Trump,1,4
2020-02-28,Barack Obama,1,7
2020-02-28,Donald Trump,1,8
2020-02-28,James Clyburn,1,9
2020-02-28,Jason Lange,1,10
2020-02-28,Joe Biden,1,11
2020-02-28,Jonathan Ernst,1,12
2020-02-28,Jonathan Oatis,1,13
2020-02-28,Kayla Hodges,1,14
2020-02-28,Larry Kudlow,1,15
2020-02-28,Michael Bloomberg,1,16
2020-02-28,Mike Bloomberg,1,17
2020-02-28,Nan,1,18
2020-02-28,Richard Chang,1,19
2020-02-28,Sharon Bernstein,1,20
2020-02-28,Simon Lewis,1,21
2020-02-28,Soyoung Kim,1,22
2020-02-28,Steven Mnuchin,1,23
2020-02-28,Tim Reid,1,24
2020-02-28,Trevor Hunnicutt,1,25
2020-02-28,Amy Klobuchar,2,1
2020-02-28,Bernie Sanders,2,2
2020-02-28,Elizabeth Warren,2,3
2020-02-28,Mike Pence,2,4
2020-02-28,Pete Buttigieg,2,5
2020-02-28,Tom Steyer,2,6
2020-03-04,Alex Padilla,1,3
2020-03-04,Amy Klobuchar,1,4
2020-03-04,August Vernon,1,5
2020-03-04,Bernie Sanders,1,6
2020-03-04,Donald Trump,1,7
2020-03-04,Elizabeth Warren,1,8
2020-03-04,Joe Biden,1,9
2020-03-04,John Gardner,1,10
2020-03-04,Karen Griffin,1,11
2020-03-04,Los Angeles,1,12
2020-03-04,Manny Diaz,1,13
2020-03-04,Mike Bloomberg,1,14
2020-03-04,Sam Mahood,1,15
2020-03-04,Tulsi Gabbard,1,16
2020-03-04,Allen Joines,2,1
2020-03-04,Lee Garrity,2,2
2020-03-05,Carey Rudell,1,4
2020-03-05,Chris Kippes,1,5
2020-03-05,Graham Wilson,1,6
2020-03-05,Mandy Cohen,1,7
2020-03-05,Rob Davis,1,8
2020-03-05,Sarah Ovaska,1,9
2020-03-05,Tina Sherman,1,10
2020-03-05,Allen Joines,2,1
2020-03-05,Brent Campbell,2,2
2020-03-05,Lee Garrity,2,3
2020-03-06,Brian Kemp,1,1
2020-03-06,Christopher Ohl,1,2
2020-03-06,Laura Kelley,1,3
2020-03-06,Roy Cooper,1,4
2020-03-06,Sara Donovan,1,5
2020-03-09,Berndt Petersen,1,1
2020-03-09,Brian Barnes,1,2
2020-03-09,Brian Kemp,1,3
2020-03-09,Eloise Cunningham,1,4
2020-03-09,Jamela Byrom,1,5
2020-03-09,Mike Pence,1,6
