date,person,count,rn
2020-03-06,Bob Cusack,1,1
2020-03-06,Naomi Tacuyan Underwood,1,2
2020-03-09,Linda Bell,1,1
2020-03-10,Carol Quillen,1,4
2020-03-10,Charlotte Buffie Stephens,1,5
2020-03-10,Jay Pfeifer,1,6
2020-03-10,Joan Lorden,1,7
2020-03-10,Alexis Zarycki,2,2
2020-03-10,Mandy Cohen,2,3
2020-03-10,Roy Cooper,5,1
2020-03-11,Chris Dobbins,1,1
2020-03-11,Roy Cooper,1,2
2020-03-12,Alex Azar,1,1
2020-03-12,David Hodges,1,2
2020-03-12,Donald Trump,1,3
2020-03-12,Elizabeth Tilson,1,4
2020-03-12,Kristi Oconnor,1,5
2020-03-12,Roy Cooper,1,6
2020-03-13,Cheri Beasley,1,1
2020-03-13,Jesse Caldwell,1,2
2020-03-13,John Greenlee,1,3
2020-03-13,Larry Brown,1,4
2020-03-13,Michael Banks,1,5
2020-03-14,Carol Quillen,1,1
2020-03-16,Carolyn Bratton,1,2
2020-03-16,Dickie Spargo,1,3
2020-03-16,Joe Valone,1,4
2020-03-16,Michael Barrett,1,5
2020-03-16,Michael Catholic,1,6
2020-03-16,Parkwood Baptist,1,7
2020-03-16,Pierre Crawford,1,8
2020-03-16,Steve Malone,1,9
2020-03-16,Willie Brown,1,10
2020-03-16,Roy Cooper,2,1
2020-03-17,Adam Orr,1,2
2020-03-17,Austin Rammell,1,3
2020-03-17,Lucia Macchi,1,4
2020-03-17,Tracy Philbeck,1,5
2020-03-17,Roy Cooper,2,1
2020-03-18,Lucia Macchi,1,1
2020-03-20,Adam Orr,1,1
2020-03-20,Dempsey Butch Carter,1,2
2020-03-20,Gary Sarvis,1,3
2020-03-20,Richard Strange,1,4
2020-03-20,Roy Cooper,1,5
2020-03-21,Adam Orr,1,1
2020-03-21,Frank Milton,1,2
2020-03-21,Pearl Burris-Floyd,1,3
2020-03-21,Roy Cooper,1,4
2020-03-23,George Dunlap,1,1
2020-03-23,Kevin Watson,1,2
2020-03-23,Richard Burr,1,3
2020-03-23,Roy Cooper,1,4
2020-03-23,Tamara Brown,1,5
2020-03-24,Andrew Murray,1,4
2020-03-24,Donna Lahser,1,5
2020-03-24,Katherine Hutt,1,6
2020-03-24,Kevin Davis,1,7
2020-03-24,Lisa Forrest,1,8
2020-03-24,Mike Radford,1,9
2020-03-24,Sundi Richard,1,10
2020-03-24,Susan Grajek,1,11
2020-03-24,Lisa Nguyen,2,2
2020-03-24,Roy Cooper,2,3
2020-03-24,Michael Banks,3,1
2020-03-26,Alan Pawlowski,1,4
2020-03-26,Ann Caulkins,1,5
2020-03-26,Anne Blythe,1,6
2020-03-26,Donna White,1,7
2020-03-26,Elizabeth Cuervo Tilson,1,8
2020-03-26,Gavin Stewart,1,9
2020-03-26,Greg Barnes,1,10
2020-03-26,Laurel Morris,1,11
2020-03-26,Matthew Stiegel,1,12
2020-03-26,Melba Newsome,1,13
2020-03-26,Mike Sprayberry,1,14
2020-03-26,Rose Hoban,1,15
2020-03-26,Sarah Ovaska,1,16
2020-03-26,Taylor Knopf,1,17
2020-03-26,Todd Hagans,1,18
2020-03-26,Roy Cooper,2,2
2020-03-26,Todd Davis,2,3
2020-03-26,Kevin Ellis,3,1
2020-03-27,Michael Sprayberry,1,4
2020-03-27,Todd Davis,2,3
2020-03-27,Roy Cooper,3,2
2020-03-27,Kevin Ellis,4,1
2020-03-29,Gavin Stewart,1,1
2020-03-29,Roy Cooper,1,2
2020-03-30,Adam Orr,1,1
2020-03-30,Dickie Spargo,1,2
2020-03-30,Robert Eugene Heffner,1,3
2020-03-30,Roy Cooper,1,4
2020-03-30,Walker Reid,1,5
2020-04-01,Adam Orr,1,1
2020-04-02,Angela Sebby,1,1
2020-04-02,Brad Medlin,1,2
2020-04-02,Patrick Jolly,1,3
2020-04-04,Gavin Stewart,1,1
2020-04-04,Jeff Booker,1,2
2020-04-04,Robbie Delaney,1,3
2020-04-05,Adam Orr,1,1
2020-04-05,Roy Cooper,1,2
2020-04-07,Jeanne Tedrow,1,1
2020-04-07,Michael Banks,1,2
2020-04-08,Kevin Ellis,1,1
2020-04-08,Roy Cooper,1,2
2020-04-10,Conitex Sonoco,1,2
2020-04-10,Jim Perry,1,3
2020-04-10,Lockhart Taylor,1,4
2020-04-10,Michael Banks,1,5
2020-04-10,Michael Thompson,1,6
2020-04-10,Pam White,1,7
2020-04-10,Tracy Philbeck,1,8
2020-04-10,Roy Cooper,2,1
2020-04-11,Chris Dobbins,1,1
2020-04-11,Donald Trump,1,2
2020-04-11,Kevin Ellis,1,3
2020-04-11,Roy Cooper,1,4
2020-04-11,Tom Keigher,1,5
2020-04-11,Tracy Philbeck,1,6
2020-04-16,Alan Wolf,1,1
2020-04-16,Ashley Smith,1,2
2020-04-16,Roy Cooper,1,3
2020-04-16,Thomas Jefferson,1,4
2020-04-17,Scott Cavendish,1,1
2020-04-17,Sean Kennedy,1,2
2020-04-20,Laura Soria-Martinez,1,4
2020-04-20,Sulfated Glycomimetic Oligomers,1,5
2020-04-20,Laura Hartmann,2,1
2020-04-20,Mario Schelhaas,2,2
2020-04-20,Nicole Snyder,2,3
2020-04-22,Jen Johnson,1,6
2020-04-22,Taylor Robinson,1,7
2020-04-22,Jennifer Hart,2,1
2020-04-22,John Bailey,2,2
2020-04-22,Kim Sloan,2,3
2020-04-22,Roy Cooper,2,4
2020-04-22,Tracy Philbeck,2,5
2020-04-23,Ananya Cleetus,1,1
2020-04-23,Brown Nishar,1,2
2020-04-23,David Graham,1,3
2020-04-23,Delawareandnew Jerseyare,1,4
2020-04-23,Diana Cusumano,1,5
2020-04-23,Jared Polis,1,6
2020-04-23,Johns Hopkins,1,7
2020-04-23,Maggie Labocki,1,8
2020-04-23,Mark Hirschhorn,1,9
2020-04-23,Michael Parson,1,10
2020-04-23,Mike Bloomberg,1,11
2020-04-23,Mun Choi,1,12
2020-04-23,Sherry Benton,1,13
2020-04-23,Shivani Nishar,1,14
2020-04-23,Tiffany Howard,1,15
2020-04-24,Dena Diorio,1,1
2020-04-24,Jacob Hoyle,1,2
2020-04-24,Roy Cooper,1,3
2020-04-24,Thom Tillis,1,4
2020-04-24,Tracy Philbeck,1,5
2020-04-27,Eric Davis,1,1
2020-04-27,Gavin Stewart,1,2
2020-04-27,Todd Hagans,1,3
2020-04-29,Gerry Broome,1,7
2020-04-29,Adam Gaub,2,3
2020-04-29,Bill Roper,2,4
2020-04-29,Ford Porter,2,5
2020-04-29,Roy Cooper,2,6
2020-04-29,Tracy Philbeck,6,2
2020-04-29,Mandy Cohen,7,1
2020-04-30,Adam Gaub,1,4
2020-04-30,Austin Rammell,1,5
2020-04-30,Bill Roper,1,6
2020-04-30,Chad Brown,1,7
2020-04-30,Ford Porter,1,8
2020-04-30,John Mccullough,1,9
2020-04-30,Virgil Sutton,1,10
2020-04-30,Mandy Cohen,2,2
2020-04-30,Roy Cooper,2,3
2020-04-30,Tracy Philbeck,4,1
2020-05-01,Chris Marsicano,1,10
2020-05-01,Craig Goebel,1,11
2020-05-01,David Boraks,1,12
2020-05-01,George Washington,1,13
2020-05-01,Jordynn Collie,1,14
2020-05-01,Nan,1,15
2020-05-01,Newshour Marist,1,16
2020-05-01,Catherine Welch,2,7
2020-05-01,Dashiell Coleman,2,8
2020-05-01,Steve Harrison,2,9
2020-05-01,Alan Cloninger,3,1
2020-05-01,Floyd Blackies,3,2
2020-05-01,Kathy Floyd,3,3
2020-05-01,Ronnie Worley,3,4
2020-05-01,Roy Cooper,3,5
2020-05-01,Tracy Philbeck,3,6
2020-05-02,Christine Nanna,1,1
2020-05-02,Francine Miller,1,2
2020-05-02,Jeannine Yannutz,1,3
2020-05-02,Maurine Krentz,1,4
2020-05-02,Roberta Clark,1,5
2020-05-02,Timothy Clark,1,6
2020-05-03,Baylor Universityand George,1,6
2020-05-03,Brian Kemp,1,7
2020-05-03,Gavin Newsom,1,8
2020-05-03,Jared Polis,1,9
2020-05-03,Jodie Larranga,1,10
2020-05-03,Martin Modey Hicks,1,11
2020-05-03,Mike Freeman,1,12
2020-05-03,Phuong Luu,1,13
2020-05-03,Roy Cooper,1,14
2020-05-03,Chris Marsicano,2,1
2020-05-03,Craig Goebel,2,2
2020-05-03,George Washington,2,3
2020-05-03,Jordynn Collie,2,4
2020-05-03,Newshour Marist,2,5
2020-05-04,Roy Cooper,1,1
2020-05-05,April Loftis,1,6
2020-05-05,David Payseur,1,7
2020-05-05,Donnie Loftis,1,8
2020-05-05,Bill Roper,2,3
2020-05-05,Ford Porter,2,4
2020-05-05,Mandy Cohen,2,5
2020-05-05,Roy Cooper,4,1
2020-05-05,Tracy Philbeck,4,2
2020-05-06,April Loftis,1,1
2020-05-06,Charlie Kirk,1,2
2020-05-06,Debra Katz,1,3
2020-05-06,Donnie Loftis,1,4
2020-05-06,Laura Ingraham,1,5
2020-05-06,Nan,1,6
2020-05-06,Robert Kadlec,1,7
2020-05-06,Yaron Oren-Pines,1,8
2020-05-07,Ely Portillo,1,2
2020-05-07,Jennifer Roberts,1,3
2020-05-07,Jude Law,1,4
2020-05-07,Nan,2,1
2020-05-08,Amy Hattem,1,6
2020-05-08,Brandon Yates,1,7
2020-05-08,Chirag Patel,1,8
2020-05-08,Dee Dinsdale,1,9
2020-05-08,Ethan Lenker,1,10
2020-05-08,Jeannine Hutson,1,11
2020-05-08,John Silvernail,1,12
2020-05-08,Kathy Harrington,1,13
2020-05-08,Mandy Cohen,1,14
2020-05-08,Margaret Spellings,1,15
2020-05-08,Mark Stacy,1,16
2020-05-08,Mike Emory,1,17
2020-05-08,Ron Mitchelson,1,18
2020-05-08,Steve Lassiter,1,19
2020-05-08,Chris Hardin,2,2
2020-05-08,Christina Rodite,2,3
2020-05-08,Jim Morasso,2,4
2020-05-08,Michael Banks,2,5
2020-05-08,Roy Cooper,3,1
2020-05-13,Florence Eury,1,1
2020-05-13,Michael Banks,1,2
2020-05-13,Phyllis Lowery,1,3
2020-05-13,Thomasina Williams,1,4
2020-05-14,Eric Davis,1,1
2020-05-14,Gavin Stewart,1,2
2020-05-14,Roy Cooper,1,3
2020-05-14,Todd Hagans,1,4
2020-05-14,Wes King,1,5
2020-05-16,Amanda Jim Sherrill,1,1
2020-05-16,Amelia Anne Brandon Dameron,1,2
2020-05-16,Amelia Anne Dameron Brandon,1,3
2020-05-16,Amelia Dameron,1,4
2020-05-16,Bonnie Durham,1,5
2020-05-16,Carmen Crowell,1,6
2020-05-16,Chloe Sherrill,1,7
2020-05-16,Colin Dameron,1,8
2020-05-16,Eddie Young,1,9
2020-05-16,Elexia Sherrill Macy Ellis,1,10
2020-05-16,Elizabeth Anne,1,11
2020-05-16,Elizabeth Young,1,12
2020-05-16,Ethan Sara Young,1,13
2020-05-16,Faye Brandon,1,14
2020-05-16,George Dameron,1,15
2020-05-16,Jackson Sherrill,1,16
2020-05-16,Jamie Sherrill,1,17
2020-05-16,Jayden Glover,1,18
2020-05-16,Jaylen Glover,1,19
2020-05-16,Jim Barbara Brandon,1,20
2020-05-16,Joey Kristy Sherrill,1,21
2020-05-16,Jonas Sherrill,1,22
2020-05-16,Karen Dameron,1,23
2020-05-16,Karen Suzanne,1,24
2020-05-16,Lee Sherrill,1,25
2020-05-16,Leigh Owens,1,26
2020-05-16,Phoebe Smith,1,27
2020-05-16,Presley Sherrill,1,28
2020-05-16,Riley Dameron,1,29
2020-05-16,Sherrill Thomas,1,30
2020-05-16,Vanessa Dameron,1,31
2020-05-16,Vanessa Lee,1,32
2020-05-19,Cindy Isenhour,1,1
2020-05-19,Laura Biggerstaff,1,2
2020-05-19,Michael Banks,1,3
2020-05-19,Nancy Brogdon,1,4
2020-05-19,Robert Helton,1,5
2020-05-21,Andrea Harris,1,1
2020-05-21,Beth Wood,1,2
2020-05-21,Bill Roper,1,3
2020-05-21,Charles Gainor,1,4
2020-05-21,Charlie Collicutt,1,5
2020-05-21,David Lee,1,6
2020-05-21,Donald Trump,1,7
2020-05-21,Elizabeth Robin Williams,1,8
2020-05-21,Gerald Maxwell Harrison,1,9
2020-05-21,Gibson Les Paul,1,10
2020-05-21,John Quinterno,1,11
2020-05-21,Mandy Cohen,1,12
2020-05-21,Mark Boyle,1,13
2020-05-21,Mary-Ann Baldwin,1,14
2020-05-21,Norfolk Virginian,1,15
2020-05-21,Phil Berger,1,16
2020-05-21,Roy Cooper,1,17
2020-05-21,Tim Moore,1,18
2020-05-21,Tom Fetzer,1,19
2020-05-21,Vivian Howard,1,20
2020-05-22,Katie Hall,1,1
