date,person,count,rn
2020-04-16,Anneliese Caserta,1,1
2020-04-16,Liam Mclaughlin,1,2
2020-04-16,Preston Czigans,1,3
2020-04-16,Ron Desantis,1,4
2020-04-16,Sean Rakidzich,1,5
2020-04-16,Tom Wolf,1,6
2020-04-27,David Mckinley,1,1
2020-04-27,Jim Justice,1,2
2020-04-27,Joe Manchin,1,3
2020-04-27,Shelly Moore Capito,1,4
2020-04-30,Jim Justice,2,1
2020-04-30,Michael Carvajal,2,2
2020-04-30,Nan,2,3
2020-05-01,Jim Justice,2,1
2020-05-01,Michael Carvajal,2,2
2020-05-01,Nan,2,3
2020-05-04,Andrew Harnik,3,3
2020-05-04,Eddie Trizzino,3,4
2020-05-04,Joe Manchin,3,5
2020-05-04,Justin Tarovisky,3,6
2020-05-04,Scott Taylor,3,7
2020-05-04,Jim Justice,9,1
2020-05-04,Michael Carvajal,9,2
2020-05-05,Nan,3,7
2020-05-05,Eddie Trizzino,4,6
2020-05-05,Joe Manchin,8,3
2020-05-05,Justin Tarovisky,8,4
2020-05-05,Scott Taylor,8,5
2020-05-05,Jim Justice,11,1
2020-05-05,Michael Carvajal,11,2
2020-05-06,Jim Justice,1,1
2020-05-06,Joe Manchin,1,2
2020-05-06,Justin Tarovisky,1,3
2020-05-06,Michael Carvajal,1,4
2020-05-07,Joe Manchin,1,1
2020-05-07,Roger Hanshaw,1,2
2020-05-08,Joe Manchin,2,4
2020-05-08,Patrick Semansky,2,5
2020-05-08,Michael Carvajal,4,1
2020-05-08,Scott Taylor,4,2
2020-05-08,William Barr,4,3
2020-05-09,Derek Crihfield,1,6
2020-05-09,Patrick Semansky,2,5
2020-05-09,Joe Manchin,3,4
2020-05-09,Michael Carvajal,4,2
2020-05-09,Scott Taylor,4,3
2020-05-09,William Barr,5,1
2020-05-12,Joe Manchin,1,1
2020-05-12,Michael Carvajal,1,2
2020-05-12,Scott Taylor,1,3
2020-05-12,William Barr,1,4
2020-05-13,Joe Manchin,1,1
2020-05-13,Michael Carvajal,1,2
2020-05-13,Scott Taylor,1,3
2020-05-13,William Barr,1,4
2020-05-18,Jack Mcmahon,1,1
2020-05-18,Scott Taylor,1,2
2020-05-18,Tyson Baker,1,3
2020-05-18,William Barr,1,4
2020-05-27,Kenny Kemp,1,4
2020-05-27,Kenny Kemp Charleston,1,5
2020-05-27,Jim Justice,2,1
2020-05-27,Joe Manchin,2,2
2020-05-27,William Barr,2,3
2020-05-28,Jim Justice,1,1
2020-05-28,Joe Manchin,1,2
2020-05-28,William Barr,1,3
2020-06-04,Barack Obama,1,1
2020-06-04,David Perdue,1,2
2020-06-04,Donald Trump,1,3
2020-06-04,Donna Miller,1,4
2020-06-04,Doug Collins,1,5
2020-06-04,George Floyd,1,6
2020-06-04,Jimmy Carter,1,7
2020-06-04,Joe Allen,1,8
2020-06-04,Joe Biden,1,9
2020-06-04,Jon Ossoff,1,10
2020-06-04,Leger Fernandez,1,11
2020-06-04,Martin Luther King,1,12
2020-06-04,Oscar Poole,1,13
2020-06-04,Paul Pate,1,14
2020-06-04,Preet Bharara,1,15
2020-06-04,Raphael Warnock,1,16
2020-06-04,Sarah Riggs Amico,1,17
2020-06-04,Scott Johnson,1,18
2020-06-04,Teresa Leger Fernandez,1,19
2020-06-04,Teresa Tomlinson,1,20
2020-06-04,Uncle Sam,1,21
2020-06-04,Valerie Plame,1,22
2020-06-04,Vernon Jones,1,23
2020-06-08,Barack Obama,1,1
2020-06-08,David Perdue,1,2
2020-06-08,Donald Trump,1,3
2020-06-08,Donna Miller,1,4
2020-06-08,Doug Collins,1,5
2020-06-08,George Floyd,1,6
2020-06-08,Jimmy Carter,1,7
2020-06-08,Joe Allen,1,8
2020-06-08,Joe Biden,1,9
2020-06-08,Jon Ossoff,1,10
2020-06-08,Leger Fernandez,1,11
2020-06-08,Martin Luther King,1,12
2020-06-08,Oscar Poole,1,13
2020-06-08,Paul Pate,1,14
2020-06-08,Preet Bharara,1,15
2020-06-08,Raphael Warnock,1,16
2020-06-08,Sarah Riggs Amico,1,17
2020-06-08,Scott Johnson,1,18
2020-06-08,Teresa Leger Fernandez,1,19
2020-06-08,Teresa Tomlinson,1,20
2020-06-08,Uncle Sam,1,21
2020-06-08,Valerie Plame,1,22
2020-06-08,Vernon Jones,1,23
