date,person,count,rn
2020-03-17,Dale Thompson,2,1
2020-03-17,Jackie Kanak,2,2
2020-03-17,Jim Gerlach,2,3
2020-03-17,Kean Spellman,2,4
2020-03-17,Mike Potter,2,5
2020-03-17,Ralph Beard,2,6
2020-03-24,Brian Kemp,1,1
2020-03-24,Chris Addleton,1,2
2020-03-24,Jerry Cox,1,3
2020-03-24,John White,1,4
2020-03-24,Keith Moye,1,5
2020-03-24,Richard Phillips,1,6
2020-03-27,Alex Himaya,1,1
2020-03-27,Charlie Hannema,1,2
2020-03-27,Doug Melton,1,3
2020-03-27,George Schroeder,1,4
2020-03-27,Jesus Christ,1,5
2020-03-27,Kevin Stitt,1,6
2020-03-27,Tess Schoonhoven,1,7
2020-03-29,Alex Himaya,1,1
2020-03-29,Charlie Hannema,1,2
2020-03-29,Doug Melton,1,3
2020-03-29,George Schroeder,1,4
2020-03-29,Jesus Christ,1,5
2020-03-29,Kevin Stitt,1,6
2020-03-29,Tess Schoonhoven,1,7
2020-04-03,Brian Kemp,1,6
2020-04-03,Jeff Lowe,1,7
2020-04-03,Joseph Maldonado,1,8
2020-04-03,Nancy Pelosi,1,9
2020-04-03,Ron Desantis,1,10
2020-04-03,Thomas Lennon,1,11
2020-04-03,Tiger Kingstar,1,12
2020-04-03,Stephen Colbert,2,4
2020-04-03,Tiger King Joe,2,5
2020-04-03,Andy Cohen,4,3
2020-04-03,Carole Baskin,5,1
2020-04-03,Tiger King,5,2
2020-04-06,Carole Baskin,1,1
2020-04-06,Dale Thompson,1,2
2020-04-06,Kean Spellman,1,3
2020-04-06,Tiger King,1,4
2020-04-11,Craig Harper,1,1
2020-04-11,Kenneth Dyer,1,2
2020-04-11,Kermit Gilliard,1,3
2020-04-11,Matt Jones,1,4
2020-04-11,Meria Carstarphen,1,5
2020-04-11,Neben El,1,6
2020-04-11,Nicholas Yeager,1,7
2020-04-20,Nan,1,1
2020-04-22,Nan,1,1
2020-04-28,Erin Beu,1,1
2020-04-28,John Noblitt,1,2
2020-04-28,Ricky Burns,1,3
2020-05-01,Chris Addleton,1,1
2020-05-01,John Allen,1,2
2020-05-01,Matthew Komalty,1,3
2020-05-01,Neely Tsoodle,1,4
2020-05-01,Rhonda Ahhaitty,1,5
2020-05-04,David Perryman,1,1
2020-05-04,Donald Trump,1,2
2020-05-04,Kevin Stitt,1,3
2020-05-04,Terry Odonnell,1,4
2020-05-05,David Perryman,1,1
2020-05-05,Donald Trump,1,2
2020-05-05,Kevin Stitt,1,3
2020-05-05,Randy Krehbiel,1,4
2020-05-05,Terry Odonnell,1,5
2020-05-06,Barbara Darus,1,1
2020-05-06,Booker Gainor,1,2
2020-05-06,Demario Byrden,1,3
2020-05-06,Donald Dickie Thomas,1,4
2020-05-06,Richard Jordan,1,5
2020-05-06,Steve Clark,1,6
2020-05-07,Erik Yabor,1,1
2020-05-07,Izzie Sadler,1,2
2020-05-07,Mike Stephenson,1,3
2020-05-07,Patti Dozier,1,4
2020-05-08,Erik Yabor,1,1
2020-05-08,Izzie Sadler,1,2
2020-05-08,Mike Stephenson,1,3
2020-05-08,Patti Dozier,1,4
2020-05-18,Michelle Thornton,1,1
2020-05-25,Bill King,1,1
2020-05-25,David Collins,1,2
2020-05-25,Howard Cothran,1,3
2020-05-25,Jan Johnson,1,4
2020-05-25,John Fortune,1,5
2020-05-25,Justin Johnson,1,6
2020-05-25,Lynn Napoli,1,7
2020-06-02,Alison Toney,1,1
