date,person,count,rn
2020-02-19,Arnold Hopland,1,1
2020-03-16,Bill Brittain,1,1
2020-03-16,Bill Lee,1,2
2020-03-16,James Atkins,1,3
2020-03-16,Jeff Perry,1,4
2020-03-23,Jacksboro Pike,3,1
2020-03-23,Karen Helton,3,2
2020-03-23,Martin Luther King Jr,3,3
2020-03-23,Rutledge Pike,3,4
2020-03-23,Tazewell Pike,3,5
2020-03-24,Jacksboro Pike,3,1
2020-03-24,Karen Helton,3,2
2020-03-24,Martin Luther King Jr,3,3
2020-03-24,Rutledge Pike,3,4
2020-03-24,Tazewell Pike,3,5
2020-04-16,Bill Lee,1,1
2020-04-16,James Atkins,1,2
2020-04-16,Jeff Perry,1,3
2020-04-16,Kellie Smith,1,4
2020-04-16,Matt Hixson,1,5
2020-04-16,Shane Johnston,1,6
2020-04-18,Garnet Southerland,1,1
2020-04-18,Martin Hunt,1,2
2020-04-22,Bill Lee,1,1
2020-04-22,Donald Trump,1,2
2020-04-22,Glenn Jacobs,1,3
2020-04-22,Indya Kincannon,1,4
2020-04-22,Martha Buchanan,1,5
2020-04-22,Mike Byrd,1,6
2020-04-22,Scott Gottlieb,1,7
2020-04-22,Terry Frank,1,8
