date,person,count,rn
2020-02-18,Ahmad Ghaddar,1,1
2020-02-18,Dmitry Zhdannikov,1,2
2020-02-18,Jan Harvey,1,3
2020-02-18,Julia Payne,1,4
2020-02-18,Nick Oxford,1,5
2020-03-06,Jack Daniels,1,1
2020-03-06,Robin Marchant Getty,1,2
2020-03-11,Doug Robinson,1,2
2020-03-11,Nan,1,3
2020-03-11,Andy Beshear,2,1
2020-03-12,Brad Schnitker,1,1
2020-03-12,Doug Crowson,1,2
2020-03-12,Karina Erickson,1,3
2020-03-13,Alex Azar,1,1
2020-03-13,Amanda Ortez,1,2
2020-03-13,Donald Trump,1,3
2020-03-16,Andy Beshear,1,1
2020-03-16,Wayne Meriwether,1,2
2020-03-17,Frank Buck,1,3
2020-03-17,Greg Abbott,1,4
2020-03-17,Henry Scott,1,5
2020-03-17,Joan Walterscheid,1,6
2020-03-17,Jud Rex,1,7
2020-03-17,Kathi Kirby Husereau,1,8
2020-03-17,Kimberly Simpson,1,9
2020-03-17,Kristi Rigsby,1,10
2020-03-17,Morgan Metcalf,1,11
2020-03-17,Patricia Crain,1,12
2020-03-17,Donald Trump,2,1
2020-03-17,Janet Gott,2,2
2020-03-18,Donald Trump,1,1
2020-03-18,Harry Larosiliere,1,2
2020-03-18,Kevin Henderson,1,3
2020-03-18,Teri Webster,1,4
2020-03-20,Steve Stoler,1,1
2020-03-20,Teri Webster,1,2
2020-03-22,Alex Roby,1,1
2020-03-22,Madilynn Williams,1,2
2020-03-22,Melinda Lilly,1,3
2020-03-23,Amanda Ortez,1,1
2020-03-24,Andrew Wheeler,1,4
2020-03-24,Barack Obama,1,5
2020-03-24,Donald Trump,1,6
2020-03-24,John Rogers,2,1
2020-03-24,Mary Anne Hitt,2,2
2020-03-24,Mitch Mcconnell,2,3
2020-03-25,Erica Creech,1,1
2020-03-25,Jeremy Logsdon,1,2
2020-03-25,Josh Embry,1,3
2020-03-25,Kevin Henderson,1,4
2020-03-25,Marion Brown,1,5
2020-03-25,Tom Watt,1,6
2020-03-26,Andy Beshear,1,1
2020-03-26,Greg Fischer,1,2
2020-03-27,Agoes Rudianto,1,1
2020-03-27,Bobby Ross Jr,1,2
2020-03-27,Caleb Galaraga,1,3
2020-03-27,Clemente Lisi,1,4
2020-03-27,Dan Patrick,1,5
2020-03-27,Dave Schechter,1,6
2020-03-27,Deborah Caldwell,1,7
2020-03-27,Elana Schor,1,8
2020-03-27,Emily Mcfarlan Miller,1,9
2020-03-27,Jack Jenkins,1,10
2020-03-27,Jerry Falwell Jr,1,11
2020-03-27,Jill Colvin,1,12
2020-03-27,Kate Shellnutt,1,13
2020-03-27,Kirk Johnson,1,14
2020-03-27,Lela Gilbert,1,15
2020-03-27,Liza Vandenboom,1,16
2020-03-27,Mark Arsenault,1,17
2020-03-27,Michael Metzger,1,18
2020-03-27,Michelle Boorstein,1,19
2020-03-27,Mollie Hemingway,1,20
2020-03-27,Nan,1,21
2020-03-27,Nancy Kasten,1,22
2020-03-27,Pres David Crary,1,23
2020-03-27,Richard Ostling,1,24
2020-03-27,Russell Moore,1,25
2020-03-27,Ruth Graham,1,26
