date,person,count,rn
2020-03-10,Brian Douglas,1,1
2020-03-10,Cara Christ,1,2
2020-03-10,Doug Ducey,1,3
2020-03-10,Todd Haynie,1,4
2020-03-11,Brian Douglas,1,1
2020-03-11,Cara Christ,1,2
2020-03-11,Doug Ducey,1,3
2020-03-11,Todd Haynie,1,4
2020-03-13,Brian Douglas,1,1
2020-03-13,Cara Christ,1,2
2020-03-13,Doug Ducey,1,3
2020-03-13,Todd Haynie,1,4
2020-04-23,Eugene Charley,1,1
2020-04-23,Gallup Walmart,1,2
2020-04-23,Helena Rose,1,3
2020-04-23,Los Angeles,1,4
2020-04-23,Milt Shirleson,1,5
2020-04-23,Rafe Esquith,1,6
2020-04-23,Raymond Joe,1,7
2020-04-23,Sadie James,1,8
2020-05-06,Michelle Lujan Grisham,1,1
2020-05-07,Michelle Lujan Grisham,1,1
2020-05-16,Gaye Donaldson,1,1
2020-05-16,Jackie Norton,1,2
2020-05-16,Jessica Dugger,1,3
2020-05-16,Michelle Bitner,1,4
2020-05-16,Samantha Ellis,1,5
2020-05-16,Stacey Scott,1,6
2020-05-16,Susie Adan,1,7
2020-05-16,Tracy Cauthen,1,8
2020-05-20,David Morgan,1,1
2020-05-21,Algernon Dammassa,1,2
2020-05-21,David Morgan,2,1
2020-06-01,Freddy Chavez,1,1
2020-06-01,Johnny Herrera,1,2
2020-06-01,Martin Duran,1,3
2020-06-01,Scot Stinnett,1,4
2020-06-01,Vanessa Dsilva,1,5
2020-06-02,Karen Soohy,1,1
2020-06-07,Jonathan Rosenblum,1,1
2020-06-07,Kerry James,1,2
2020-06-07,Leah Jaffe,1,3
2020-06-07,Ruben Gonzales,1,4
2020-06-18,Nan,1,1
