date,person,count,rn
2020-02-04,Alexis Crawford,1,1
2020-02-04,Brian Kemp,1,2
2020-02-04,Clark Atlanta,1,3
2020-02-04,Kathryn Chenault,1,4
2020-02-04,Ken Chenault,1,5
2020-02-04,Martin Luther King Jr,1,6
2020-02-18,Alan Dershowitz,1,1
2020-02-18,Alana Mounce,1,2
2020-02-18,Andrew Mccabe,1,3
2020-02-18,Andrew Weissman,1,4
2020-02-18,Andrew Weissmann,1,5
2020-02-18,Barack Obama,1,6
2020-02-18,Beave Meister,1,7
2020-02-18,Bernie Sanders,1,8
2020-02-18,Chike Uzuegbunam,1,9
2020-02-18,Dave Boyer,1,10
2020-02-18,David Laufman,1,11
2020-02-18,Donald Trump,1,12
2020-02-18,Ed Morrissey,1,13
2020-02-18,Eric Garcetti,1,14
2020-02-18,Gavin Newsom,1,15
2020-02-18,George Soros,1,16
2020-02-18,Jack Phillips,1,17
2020-02-18,Justin Caruso,1,18
2020-02-18,Justin Mccurry Rebecca Ratcliffe,1,19
2020-02-18,Kate Connolly,1,20
2020-02-18,Kemberlee Kaye,1,21
2020-02-18,Los Angeles,1,22
2020-02-18,Maria Miranda,1,23
2020-02-18,Michael Bloomberg,1,24
2020-02-18,Michael Ryan,1,25
2020-02-18,Michelle Caruso-Cabrera,1,26
2020-02-18,Mike Bloomberg,1,27
2020-02-18,Mitt Romney,1,28
2020-02-18,Monica Showalter,1,29
2020-02-18,Nancy Pelosi,1,30
2020-02-18,Natalie Dagenhardt,1,31
2020-02-18,Pallab Ghosh,1,32
2020-02-18,Pete Strzok,1,33
2020-02-18,Randy Rios,1,34
2020-02-18,Robert Mueller,1,35
2020-02-18,Ryan Saavedra,1,36
2020-02-18,Victor Rantala,1,37
2020-02-18,William Barr,1,38
2020-02-27,Bernard Watson,1,1
2020-02-27,Brian Kemp,1,2
2020-02-27,Ian Smith,1,3
2020-02-29,Anthony Fauci,1,1
2020-02-29,Joe Biden,1,2
2020-02-29,John Garamendi,1,3
2020-02-29,Mike Pence,1,4
