date,person,count,rn
2020-03-18,Bart Thomas,1,1
2020-03-18,Hillary Clinton,1,2
2020-03-18,Kimberly Dodd,1,3
2020-03-18,Sylvia Beeman,1,4
2020-03-18,Timothy Bishop,1,5
2020-04-07,Albey Brock,1,1
2020-04-07,Andy Beshear,1,2
2020-04-07,Dave Lassiter,1,3
2020-04-07,James Anderson,1,4
2020-04-07,Leeanna Blair,1,5
2020-04-09,Stacey Soloviev,1,1
2020-04-09,Stefan Soloviev,1,2
2020-04-10,Stacey Soloviev,1,1
2020-04-10,Stefan Soloviev,1,2
2020-04-12,Greg Fischer,2,8
2020-04-12,Josh Lawson,2,9
2020-04-12,Justin Walker,2,10
2020-04-12,Mitch Mcconnell,2,11
2020-04-12,Andy Beshear,4,1
2020-04-12,Dan Mosley,4,2
2020-04-12,Daniel Cameron,4,3
2020-04-12,Jack Roberts,4,4
2020-04-12,Rand Paul,4,5
2020-04-12,Sarah Ladd,4,6
2020-04-12,Thomas Massie,4,7
2020-04-13,Andy Beshear,1,1
2020-04-13,Dan Mosley,1,2
2020-04-13,Jack Roberts,1,3
2020-04-13,Josh Lawson,1,4
2020-04-27,Matt Nunez,1,1
2020-05-14,Andrew Duehren,1,1
2020-05-14,Barack Obama,1,2
2020-05-14,Betsy Woodruff Swan,1,3
2020-05-14,Chris Marquette,1,4
2020-05-14,Christy Smith,1,5
2020-05-14,Chuck Grassley R-Iowa,1,6
2020-05-14,Denis Mcdonough,1,7
2020-05-14,Donald Trump,1,8
2020-05-14,Jake Sherman,1,9
2020-05-14,James Arkin,1,10
2020-05-14,James Comey,1,11
2020-05-14,Jen Haberkorn,1,12
2020-05-14,Kaitlan Collins,1,13
2020-05-14,Katie Hill,1,14
2020-05-14,Kevin Mccarthy,1,15
2020-05-14,Lisa Mascaro,1,16
2020-05-14,Logan Ferree,1,17
2020-05-14,Maggie Haberman,1,18
2020-05-14,Mark Mcclellan,1,19
2020-05-14,Melanie Zanona Mzanona,1,20
2020-05-14,Michael Flynn,1,21
2020-05-14,Mike Pompeo,1,22
2020-05-14,Nancy Pelosi,1,23
2020-05-14,Omri Nahmias,1,24
2020-05-14,Padmananda Rama,1,25
2020-05-14,Pete Buttigieg,1,26
2020-05-14,Peter King,1,27
2020-05-14,Quentin Wilbur,1,28
2020-05-14,Richard Burr,1,29
2020-05-14,Scott Gottlieb,1,30
2020-05-14,Steve King R-Iowa,1,31
2020-05-14,Steve Stivers R-Ohio,1,32
2020-05-14,Susan Crabtree,1,33
2020-05-14,William Howard Taft,1,34
