date,person,count,rn
2020-03-09,Bob Pfister,2,1
2020-03-09,Jay Inslee,2,2
2020-03-09,Jolene Cawlfield,2,3
2020-03-09,Kate Brown,2,4
2020-03-09,Mark Zuckerberg,2,5
2020-03-09,Stefanie Haines,2,6
2020-03-10,Naeblys Shutterstock,1,7
2020-03-10,Bob Pfister,2,2
2020-03-10,Jay Inslee,2,3
2020-03-10,Jolene Cawlfield,2,4
2020-03-10,Kate Brown,2,5
2020-03-10,Mark Zuckerberg,2,6
2020-03-10,Stefanie Haines,3,1
2020-03-20,Gwenn Wysling,1,1
2020-03-20,Jon Atkins,1,2
2020-03-20,Kathy Skidmore,1,3
2020-03-20,Laurel Brauns,1,4
2020-03-20,Molly Heiss,1,5
2020-03-20,Shelly Smith,1,6
2020-03-20,Stacey Witte,1,7
2020-04-02,Alfie Oakes,1,8
2020-04-02,Ammon Bundy,1,9
2020-04-02,Daryl Wheeler,1,10
2020-04-02,Ryan Suppe,1,11
2020-04-02,Heather Scott,2,2
2020-04-02,Heather Scott Facebook,2,3
2020-04-02,Los Angeles,2,4
2020-04-02,Matt Shea,2,5
2020-04-02,Scott Youtube,2,6
2020-04-02,Tim Remington,2,7
2020-04-02,Brad Little,3,1
2020-04-03,Alfie Oakes,1,1
2020-04-03,Brad Little,1,2
2020-04-03,Daryl Wheeler,1,3
2020-04-03,Heather Scott,1,4
2020-04-03,Heather Scott Facebook,1,5
2020-04-03,Los Angeles,1,6
2020-04-03,Matt Shea,1,7
2020-04-03,Scott Youtube,1,8
2020-04-03,Tim Remington,1,9
2020-04-13,Ammon Bundy,1,1
2020-04-13,Andy Beshear,1,2
2020-04-13,Bailey Easter,1,3
2020-04-13,Bevelyn Beatty,1,4
2020-04-13,Cardinal Timothy Dolan,1,5
2020-04-13,Cliven Bundy,1,6
2020-04-13,Donald Trump,1,7
2020-04-13,Jack Roberts,1,8
2020-04-13,Jesus Christ,1,9
2020-04-13,Jon Duncan,1,10
2020-04-13,Kathy Keller,1,11
2020-04-13,Las Vegas,1,12
2020-04-13,Lee Gordon,1,13
2020-04-13,Linda Barnes Popham,1,14
2020-04-13,Robert Jeffress,1,15
2020-04-13,Wilbur Browning,1,16
2020-04-14,Aleksandar Vucic,1,1
2020-04-14,Ammon Bundy,1,2
2020-04-14,Benjamin Netanyahu,1,3
2020-04-14,Boris Johnson,1,4
2020-04-14,Donald Trump,1,5
2020-04-14,Jacinda Ardern,1,6
2020-04-14,Jerry Falwell Jr,1,7
2020-04-14,Narendra Modi,1,8
2020-04-14,Sonali Kolhatkar,1,9
2020-04-14,Viktor Orban,1,10
2020-04-15,Aleksandar Vucic,1,1
2020-04-15,Ammon Bundy,1,2
2020-04-15,Benjamin Netanyahu,1,3
2020-04-15,Boris Johnson,1,4
2020-04-15,Donald Trump,1,5
2020-04-15,Jacinda Ardern,1,6
2020-04-15,Jerry Falwell Jr,1,7
2020-04-15,Narendra Modi,1,8
2020-04-15,Sonali Kolhatkar,1,9
2020-04-15,Viktor Orban,1,10
2020-04-16,Aleksandar Vucic,1,1
2020-04-16,Ammon Bundy,1,2
2020-04-16,Benjamin Netanyahu,1,3
2020-04-16,Boris Johnson,1,4
2020-04-16,Donald Trump,1,5
2020-04-16,Jacinda Ardern,1,6
2020-04-16,Jerry Falwell Jr,1,7
2020-04-16,Narendra Modi,1,8
2020-04-16,Sonali Kolhatkar,1,9
2020-04-16,Viktor Orban,1,10
2020-04-19,Dave Miller,1,10
2020-04-19,Gavin Newsom,1,11
2020-04-19,Ron Wyden,1,12
2020-04-19,Tim Outman,1,13
2020-04-19,Dave Killen,2,9
2020-04-19,Cheri Helt,3,3
2020-04-19,Dan Joyce,3,4
2020-04-19,Liz Merah,3,5
2020-04-19,Piper Mcdaniel,3,6
2020-04-19,Samantha Landon,3,7
2020-04-19,Susan Roberts,3,8
2020-04-19,Kate Brown,4,1
2020-04-19,Pete Runnels,4,2
2020-04-20,Cheri Helt,1,1
2020-04-20,Dan Joyce,1,2
2020-04-20,Kate Brown,1,3
2020-04-20,Liz Merah,1,4
2020-04-20,Pete Runnels,1,5
2020-04-20,Samantha Landon,1,6
2020-04-20,Susan Roberts,1,7
2020-04-21,Bob Dannenhoffer,1,4
2020-04-21,Donald Trump,1,5
2020-04-21,George Murdock,1,6
2020-04-21,Nik Blosser,1,7
2020-04-21,Tim Knopp,1,8
2020-04-21,Kate Brown,2,1
2020-04-21,Lynn Findley,2,2
2020-04-21,Mark Owens,2,3
2020-04-22,Bob Dannenhoffer,1,5
2020-04-22,Donald Trump,1,6
2020-04-22,Emily Cureton,1,7
2020-04-22,Forrest Keady,1,8
2020-04-22,George Murdock,1,9
2020-04-22,Jen Keady,1,10
2020-04-22,Jolene Cawlfield,1,11
2020-04-22,Tim Knopp,1,12
2020-04-22,Kate Brown,2,1
2020-04-22,Lynn Findley,2,2
2020-04-22,Mark Owens,2,3
2020-04-22,Nik Blosser,2,4
2020-04-23,Forrest Keady,1,1
2020-04-23,Jen Keady,1,2
2020-04-23,Jolene Cawlfield,1,3
2020-04-23,Kate Brown,1,4
2020-04-23,Lynn Findley,1,5
2020-04-23,Mark Owens,1,6
2020-04-23,Nik Blosser,1,7
2020-04-26,Bob Dannenhoffer,1,1
2020-04-26,Donald Trump,1,2
2020-04-26,George Murdock,1,3
2020-04-26,Kate Brown,1,4
2020-04-26,Lynn Findley,1,5
2020-04-26,Mark Owens,1,6
2020-04-26,Nik Blosser,1,7
2020-04-26,Tim Knopp,1,8
2020-05-03,Amy Wang,1,1
2020-05-03,Cliff Bentz,1,2
2020-05-03,Greg Walden,1,3
2020-05-03,Helen Jung,1,4
2020-05-03,Jason Atkinson,1,5
2020-05-03,John Maher,1,6
2020-05-03,Knute Buehler,1,7
2020-05-03,Laura Gunderson,1,8
2020-05-03,Nick Nik Heuertz,1,9
2020-05-03,Therese Bottomly,1,10
2020-05-07,Jon Mcmillan,1,1
2020-05-07,Joseph Stewart,1,2
2020-05-07,Kate Brown,1,3
2020-05-07,Rachel Pawlitz,1,4
2020-05-16,Brendan Oregan,1,1
2020-05-16,Cathy Mcmorris Rodgers,1,2
2020-05-16,Chris Armitage,1,3
2020-05-16,Dave Wilson,1,4
2020-05-16,Jay Inslee,1,5
2020-05-16,Leonard Christian,1,6
2020-05-16,Matt Shea,1,7
2020-05-16,Mcmorris Rodgers,1,8
2020-05-16,Vicki Dalton,1,9
2020-06-16,Dave Dobler,1,1
2020-06-16,Jim Hamsher,1,2
2020-06-16,Julie Ellison,1,3
2020-06-16,Kate Brown,1,4
2020-06-16,Kristen Shelman,1,5
2020-06-16,Sam Palmer,1,6
2020-06-16,Scott Myers,1,7
2020-06-16,Susan Roberts,1,8
