date,person,count,rn
2020-03-12,Jason Fochtman,1,1
2020-03-12,Lina Hildago,1,2
2020-03-12,Ranae Cox,1,3
2020-03-17,Dan Patrick,1,1
2020-03-17,Elizabeth Celania-Fagen,1,2
2020-03-17,Greg Abbott,1,3
2020-03-17,Greg Smith,1,4
2020-03-17,Latonya Goffney,1,5
2020-03-17,Mike Morath,1,6
2020-03-23,Amanda Fenwick,1,1
2020-03-23,Angie Terrell,1,2
2020-03-23,Arturo Sanchez,1,3
2020-03-23,Jake Magee,1,4
2020-03-23,Mark Thompson,1,5
2020-05-07,Charles Dupre,1,1
2020-05-07,Greg Smith,1,2
2020-05-07,Grenita Lathan,1,3
2020-05-07,Katy Isds,1,4
2020-05-07,Michael Hinojosa,1,5
2020-05-15,Daniel Wang,1,1
2020-05-15,Daniel Wang Daniel Wang,1,2
2020-05-15,Elaina Polsen,1,3
2020-05-15,Greg Abbott,1,4
2020-05-15,Josh Walker,1,5
2020-05-16,Daniel Wang,1,1
2020-05-16,Daniel Wang Daniel Wang,1,2
2020-05-16,Elaina Polsen,1,3
2020-05-16,Greg Abbott,1,4
2020-05-16,Josh Walker,1,5
