date,person,count,rn
2020-03-08,Donald Trump,1,5
2020-03-08,Ram Yeleti,1,6
2020-03-08,John Dickerson,2,3
2020-03-08,Julie Barker,2,4
2020-03-08,Eric Holcomb,4,2
2020-03-08,David Stopperich,6,1
2020-03-09,Nan,1,7
2020-03-09,David Stopperich,2,3
2020-03-09,Jeffrey Boord,2,4
2020-03-09,Shari Rudavsky,2,5
2020-03-09,Terry Gaff,2,6
2020-03-09,Jim Banks,4,1
2020-03-09,Kandi Jamison,4,2
2020-03-10,Jim Banks,1,1
2020-03-10,Kandi Jamison,1,2
2020-03-10,Mary Gillis,1,3
2020-03-10,Nan,1,4
2020-03-10,Parkview Firstcare,1,5
2020-03-10,Terry Gaff,1,6
2020-03-11,David Stopperich,1,1
2020-03-11,Donald Trump,1,2
2020-03-11,Eric Holcomb,1,3
2020-03-11,Jeni Omalley,1,4
2020-03-11,Mark Fox,1,5
2020-03-11,Michelle Fenoughty,1,6
2020-03-11,Robert Franklin,1,7
2020-03-11,Terry Gaff,1,8
2020-03-12,Craig Moorman,1,1
2020-03-12,Donald Trump,1,2
2020-03-12,Eric Holcomb,1,3
2020-03-12,Jeni Omalley,1,4
2020-03-12,Mark Fox,1,5
2020-03-13,Doug Mcschooler,1,2
2020-03-13,Jeff Thompson,1,3
2020-03-13,Justin Mcadam,1,4
2020-03-13,Paige Mcnulty,1,5
2020-03-13,Paul Joyce,1,6
2020-03-13,Peggy Hinckley,1,7
2020-03-13,Vernon Smith,1,8
2020-03-13,Eric Holcomb,2,1
2020-03-14,Courtney Taylor,1,1
2020-03-14,Jamie Hinds,1,2
2020-03-16,Donald Trump,1,1
2020-03-16,Eric Holcomb,1,2
2020-03-17,Betsy Swearingen,1,1
2020-03-17,Cheryl Munson,1,2
2020-03-17,Donald Trump,1,3
2020-03-17,Eric Holcomb,1,4
2020-03-17,Jeni Omalley,1,5
2020-03-17,Joe Matthews,1,6
2020-03-17,Richard Mollot,1,7
2020-03-17,Sherri Davies,1,8
