date,person,count,rn
2020-04-17,Ron Wilson,1,3
2020-04-17,Hayes Kelman,2,1
2020-04-17,Roger Kelman,2,2
2020-04-19,Hayes Kelman,1,1
2020-04-19,Roger Kelman,1,2
2020-04-28,Nan,1,1
2020-04-29,Elk Plaza,2,1
2020-04-29,John Fales,2,2
2020-04-29,Kory Kirkegaard,2,3
2020-04-29,Kristie Clark,2,4
2020-04-29,Lea Ann Seiler,2,5
2020-04-29,Lee Norman,2,6
2020-04-29,Robert Clark,2,7
2020-05-02,John Fales,1,1
2020-05-02,Kory Kirkegaard,1,2
2020-05-02,Kristie Clark,1,3
2020-05-02,Lea Ann Seiler,1,4
2020-05-02,Lee Norman,1,5
2020-05-02,Robert Clark,1,6
2020-05-13,Kristie Clark,1,1
2020-05-13,Lea Ann,1,2
2020-05-13,Lea Ann Seiler,1,3
2020-05-13,Roger Marshall,1,4
