date,person,count,rn
2020-02-28,Brad Kellar,1,20
2020-02-28,Elizabeth Frantz,1,21
2020-02-28,Lisa Hill,1,22
2020-02-28,Neuer Inhalt,1,23
2020-02-28,Richard Hill,1,24
2020-02-28,James Oliphant,2,17
2020-02-28,Jonathan Oatis,2,18
2020-02-28,Mike Bloomberg,2,19
2020-02-28,Elizabeth Warren,3,12
2020-02-28,Larry Kudlow,3,13
2020-02-28,Michael Bloomberg,3,14
2020-02-28,Pete Buttigieg,3,15
2020-02-28,Steven Mnuchin,3,16
2020-02-28,Chizu Nomiyama,4,7
2020-02-28,Peter Cooney,4,8
2020-02-28,Sharon Bernstein,4,9
2020-02-28,Simon Lewis,4,10
2020-02-28,Trevor Hunnicutt,4,11
2020-02-28,Barack Obama,5,1
2020-02-28,Bernie Sanders,5,2
2020-02-28,Donald Trump,5,3
2020-02-28,James Clyburn,5,4
2020-02-28,Joe Biden,5,5
2020-02-28,Mike Pence,5,6
2020-03-06,Amber Schafer,1,1
2020-03-06,Brooke Rosenberg,1,2
2020-03-06,Danielle Kurtzleben,1,3
2020-03-06,Elizabeth Warren,1,4
2020-03-06,Genevieve Chavez,1,5
2020-03-06,Joe Biden,1,6
2020-03-06,Justin Sullivan Getty,1,7
2020-03-06,Mark Felix,1,8
2020-03-06,Maryanne Schuessler,1,9
2020-03-06,Pete Buttigieg,1,10
2020-03-06,Tamika Thompson,1,11
2020-03-06,Yvie Siferd,1,12
2020-03-08,Anna Kuchment,1,1
2020-03-08,Catherine Marfin,1,2
2020-03-08,Dezmi Cao,1,3
2020-03-08,Duyen Tran,1,4
2020-03-08,Imelda Garcia Imelda Garc,1,5
2020-03-08,Imelda Garcia Imelda Garcia,1,6
2020-03-08,Lichu Hsu,1,7
2020-03-08,Nataly Keomoungkhoun,1,8
2020-03-08,Susan Philips,1,9
2020-03-11,Chris Hill,1,1
2020-03-11,Richard Hill,1,2
2020-03-12,Matthew Romano,1,1
2020-03-13,Clay Jenkins,1,1
2020-03-13,Eric Johnson,1,2
2020-03-13,Greg Abbott,1,3
2020-03-13,Mike Morath,1,4
2020-03-13,Phil Huang,1,5
2020-03-13,Randy Meeks,1,6
2020-03-13,Scott Smith,1,7
2020-03-13,Shannon Routh,1,8
2020-03-15,Nan,1,1
2020-03-17,Derek Molitor,1,1
2020-03-17,Eileen Dengler,1,2
2020-03-17,Jessica Sheheen,1,3
2020-03-17,Joanna Parzakonis,1,4
2020-03-17,Linda Marie Barrett,1,5
2020-03-17,Steve Shelton,1,6
2020-03-19,David Cea Caprock,1,1
2020-03-19,Demetrus Liggins,1,2
2020-03-19,Hong Cai,1,3
2020-03-19,Jessica Delgado Delgado,1,4
2020-03-19,Joe Groves,1,5
2020-03-19,Julien Eelsen,1,6
2020-03-19,Kim Finch,1,7
2020-03-19,Lee Hunzinger,1,8
2020-03-19,Mike Delaurier,1,9
2020-03-19,Mike Morath,1,10
2020-03-19,Simon Shung,1,11
2020-03-19,Terry Black,1,12
2020-03-19,Thomas Nguyen Peli Peli,1,13
2020-03-20,Adrienne Soders,1,1
2020-03-20,Bobby Stovall,1,2
2020-03-20,Brad Schweig,1,3
2020-03-20,Danielle Deleon,1,4
2020-03-20,Donald Trump,1,5
2020-03-20,Greg Abbott,1,6
2020-03-20,Keith Colvin,1,7
2020-03-20,Kitty Pryde,1,8
2020-03-20,Maria Halkias,1,9
2020-03-20,Nicanor Garcia,1,10
2020-03-20,Nisha Patel,1,11
2020-03-20,Oscar Deleon,1,12
2020-03-20,Reese Kirkham,1,13
2020-03-20,Sherri Courie,1,14
2020-03-20,Thomas Crowther,1,15
2020-03-20,Tom Steele,1,16
2020-03-23,Christopher Rountree,1,1
2020-03-23,Dai Wei,1,2
2020-03-23,Derek Bermel,1,3
2020-03-23,Ed Yim,1,4
2020-03-23,Eugene Moye,1,5
2020-03-23,Frederick Wertheim,1,6
2020-03-23,George Manahan,1,7
2020-03-23,Gity Razaz,1,8
2020-03-23,Keane Southard,1,9
2020-03-23,Patricia Mart,1,10
2020-03-23,Paul Novak,1,11
2020-03-27,Hunter Howard,1,1
