date,person,count,rn
2020-03-03,Phil Murphy,1,1
2020-03-06,Anne Levin,1,1
2020-03-06,Jeff Grosser,1,2
2020-03-06,Phil Murphy,1,3
2020-03-13,Kathie Foster,1,3
2020-03-13,Lamont Repollet,1,4
2020-03-13,Reed Gusicora,1,5
2020-03-13,Ronald Lee,1,6
2020-03-13,Tom Wolf,1,7
2020-03-13,Van Doren,1,8
2020-03-13,Brian Hughes,2,2
2020-03-13,Phil Murphy,3,1
2020-03-14,Lisa Rasimowicz,2,1
2020-03-14,Patrick Gavin,2,2
2020-03-14,Phil Murphy,2,3
2020-03-14,Shaun Van Doren,2,4
2020-03-14,Van Doren,2,5
2020-03-15,Kathleen Seelig,1,1
2020-03-16,Karen Demarco,1,1
2020-03-17,Brian Caloiaro,1,2
2020-03-17,Brian Hughes,1,3
2020-03-17,Connor Ilchert,1,4
2020-03-17,Jim Kownacki,1,5
2020-03-17,Kevin Nerwinski,1,6
2020-03-17,Reed Gusciora,1,7
2020-03-17,Shaun Van Doren,1,8
2020-03-17,Van Doren,1,9
2020-03-17,Phil Murphy,2,1
2020-03-18,Bert Steinmann,1,2
2020-03-18,Brian Hughes,1,3
2020-03-18,Connor Ilchert,1,4
2020-03-18,Jeff Martin,1,5
2020-03-18,Marie Clemens,1,6
2020-03-18,Phil Murphy,1,7
2020-03-18,Reed Gusciora,1,8
2020-03-18,Nan,2,1
2020-03-19,Bob Menendez,1,2
2020-03-19,Brian Hughes,1,3
2020-03-19,Chris Smith,1,4
2020-03-19,Cory Booker,1,5
2020-03-19,Derrick Sawyer,1,6
2020-03-19,Donald Trump,1,7
2020-03-19,Jeff Martin,1,8
2020-03-19,Judy Persichilli,1,9
2020-03-19,Nan,1,10
2020-03-19,Reed Gusciora,1,11
2020-03-19,Seeta Arjun,1,12
2020-03-19,Phil Murphy,2,1
2020-03-20,Albio Sires,1,1
2020-03-20,Arati Kreibich,1,2
2020-03-20,Hector Oseguera,1,3
2020-03-20,John Currie,1,4
2020-03-20,Josh Gottheimer,1,5
2020-03-20,Mary Melfi,1,6
2020-03-20,Phil Murphy,1,7
2020-03-20,Reed Gusciora,1,8
2020-03-20,Ryan Haygood,1,9
2020-03-20,Sherriff Jack Kemler,1,10
2020-03-21,Amanda Hoover,2,1
2020-03-21,Phil Murphy,2,2
2020-03-22,Amy Acton,1,1
2020-03-22,Andrea Szabo,1,2
2020-03-22,David Zheng,1,3
2020-03-22,Jane Hinkle,1,4
2020-03-22,Mitchell Thom,1,5
2020-03-22,Terry Allan,1,6
2020-03-24,Dina Paulson-Mcewen,1,1
2020-03-24,Donald Trump,1,2
2020-03-24,Gurbir Grewal,1,3
2020-03-24,Harsimran Makkad,1,4
2020-03-24,Ken Cuccinelli,1,5
2020-03-24,Phil Murphy,1,6
2020-03-24,Sean Sullivan,1,7
2020-03-25,Andre Sayegh,1,2
2020-03-25,Erin Delaney,1,3
2020-03-25,Manuel Hernandez,1,4
2020-03-25,Marjorie Frankel Nathanson,1,5
2020-03-25,Mark Sokolich,1,6
2020-03-25,Michael Mcdonough,1,7
2020-03-25,Michael Wildes,1,8
2020-03-25,Robert Fazen,1,9
2020-03-25,Shaun Van Doren,1,10
2020-03-25,Tahesha Way,1,11
2020-03-25,Tammy Murphy,1,12
2020-03-25,Van Doren,1,13
2020-03-25,Yael Eisner,1,14
2020-03-25,Phil Murphy,2,1
2020-03-26,Cecilia Birge,1,2
2020-03-26,Phil Murphy,2,1
2020-03-28,Angelo Onofri,1,2
2020-03-28,Bianca Jerez,1,3
2020-03-28,Donald Trump,1,4
2020-03-28,Gina Raimondo,1,5
2020-03-28,Jeff Martin,1,6
2020-03-28,Jim Kenney,1,7
2020-03-28,Louis Cappelli Jr,1,8
2020-03-28,Marian Moskowitz,1,9
2020-03-28,Matt Davies,1,10
2020-03-28,Mike Luckovich,1,11
