date,person,count,rn
2020-02-01,Ashley Keegan,3,46
2020-02-01,Cameron Kaiser,3,47
2020-02-01,Centro Hospitalar Conde,3,48
2020-02-01,David Paul Morris Bloomberg,3,49
2020-02-01,Diana Adama,3,50
2020-02-01,David Klepper,4,38
2020-02-01,David White,4,39
2020-02-01,Jeff Mason,4,40
2020-02-01,Kang-Xing Jin,4,41
2020-02-01,Larry Madoff,4,42
2020-02-01,Monica Bharel,4,43
2020-02-01,Wilbur Ross,4,44
2020-02-01,Wilfredo Lee,4,45
2020-02-01,Daisy Nguyen,5,29
2020-02-01,Joel Szabat,5,30
2020-02-01,Katie Krienheder,5,31
2020-02-01,Marion Koopmans,5,32
2020-02-01,Preena Patel,5,33
2020-02-01,Reg Niadoo,5,34
2020-02-01,Riffat Naz,5,35
2020-02-01,Steven Jiang,5,36
2020-02-01,Terry Tang,5,37
2020-02-01,Daniel Lucey,6,25
2020-02-01,Li Keqiang,6,26
2020-02-01,Maximo Brito,6,27
2020-02-01,Sara Cody,6,28
2020-02-01,Cynthia Bao,7,19
2020-02-01,Gregg Orton,7,20
2020-02-01,Hoa Nguyen,7,21
2020-02-01,Munto Davis,7,22
2020-02-01,Richard Vu,7,23
2020-02-01,Zhang Jun,7,24
2020-02-01,Steve Biegun,8,18
2020-02-01,Bob Parker,9,11
2020-02-01,Bob Rowley,9,12
2020-02-01,Daniel Diermeier,9,13
2020-02-01,Emily Landon,9,14
2020-02-01,Hua Chunying,9,15
2020-02-01,Nan,9,16
2020-02-01,Ngozi Ezike,9,17
2020-02-01,Ken Cuccinelli,11,10
2020-02-01,Rita Nieves,15,9
2020-02-01,Allison Arwady,16,8
2020-02-01,Anthony Fauci,18,7
2020-02-01,Nancy Messonnier,19,5
2020-02-01,Tedros Adhanom Ghebreyesus,19,6
2020-02-01,Alex Azar,22,3
2020-02-01,Donald Trump,22,4
2020-02-01,Robert Redfield,23,2
2020-02-01,Los Angeles,30,1
2020-02-02,Allison Arwady,2,46
2020-02-02,Amanda Farr,2,47
2020-02-02,Amesh Adalja,2,48
2020-02-02,Carlos Valencia,2,49
2020-02-02,Daniel Secoy,2,50
2020-02-02,Abu Dhabi,3,33
2020-02-02,Austen Bundy,3,34
2020-02-02,Casey Coffey,3,35
2020-02-02,Chris Whitty,3,36
2020-02-02,Evan Perez,3,37
2020-02-02,Jack Butterfield,3,38
2020-02-02,Karen Winkelman,3,39
2020-02-02,Lori Lightfoot,3,40
2020-02-02,Mark Neal,3,41
2020-02-02,Ruth Zitnik,3,42
2020-02-02,Sharon Mcdermott,3,43
