date,person,count,rn
2020-02-28,Lisel Mueller,1,11
2020-02-28,Carson Hudson,3,1
2020-02-28,Clive Cussler,3,2
2020-02-28,Grace Sherwood,3,3
2020-02-28,Joan Wright,3,4
2020-02-28,Katherine Grady,3,5
2020-02-28,Katherine Johnson,3,6
2020-02-28,Margot Lee Shetterly,3,7
2020-02-28,Mike Holtzclaw,3,8
2020-02-28,William Davies Norton,3,9
2020-02-28,Zakiya Dalila Harris,3,10
2020-03-19,Alan Suderman,1,1
2020-03-19,Aubrey Layne,1,2
2020-03-19,Canterbury Richmond,1,3
2020-03-19,Ralph Northam,1,4
2020-03-19,Steve Helber,1,5
2020-03-19,William Mary,1,6
2020-03-20,Alan Suderman,1,5
2020-03-20,Aubrey Layne,2,1
2020-03-20,Canterbury Richmond,2,2
2020-03-20,Ralph Northam,2,3
2020-03-20,William Mary,2,4
2020-03-21,Alan Suderman,1,1
2020-03-21,Aubrey Layne,1,2
2020-03-21,Canterbury Richmond,1,3
2020-03-21,Ralph Northam,1,4
2020-03-21,Steve Helber,1,5
2020-03-21,William Mary,1,6
2020-03-31,Balfour Beatty,1,1
2020-03-31,Clinton Ross,1,2
2020-03-31,Ralph Northam,1,3
2020-04-02,Andrew Byrne,1,1
2020-04-02,Anthony Fauci,1,2
2020-04-02,Barbara Abraham,1,3
2020-04-02,Jeanne Hanewich,1,4
2020-04-02,Jeffrey Shelton,1,5
2020-04-02,Jo-Ann Mahony,1,6
2020-04-02,John Perryman,1,7
2020-04-02,Michael Holloway,1,8
2020-04-02,Mike Reynolds,1,9
2020-04-02,Nancy Pelosi,1,10
2020-04-02,Robert Neely,1,11
2020-04-02,Ross Kearney,1,12
2020-04-02,Stan Pearson,1,13
2020-04-02,Steve Corneliussen,1,14
2020-04-02,Tom Banford,1,15
2020-04-02,Toni Beacham,1,16
2020-04-02,Wayne Willis,1,17
2020-04-06,Andrew Trivette,1,1
2020-04-06,Brent Fedors,1,2
2020-04-06,Cindy Rohlf,1,3
2020-04-06,Dan Bukiewicz,1,4
2020-04-06,Deborah Birx,1,5
2020-04-06,Hampton Bunting,1,6
2020-04-06,John Eiden,1,7
2020-04-06,Karl Daughtrey,1,8
2020-04-06,Ken Sullivan,1,9
2020-04-06,Lisa Cipriano,1,10
2020-04-06,Mary Bunting,1,11
2020-04-06,Neil Morgan,1,12
2020-04-06,Patrick Cudahy,1,13
2020-04-06,Randy Wheeler,1,14
2020-04-06,Sandy Wanner,1,15
2020-04-06,Scott Stevens,1,16
2020-04-06,Steve Newman,1,17
2020-04-06,Susan Loris,1,18
2020-04-06,Tony Evers,1,19
2020-04-07,Josh Stein,1,1
2020-04-07,Mike Easley,1,2
2020-04-07,Roy Cooper,1,3
2020-04-09,Keira Lombardo,2,3
2020-04-09,Kristi Noem,2,4
2020-04-09,Maggie Seidel,2,5
2020-04-09,Josh Clayton,6,1
2020-04-09,Kenneth Sullivan,6,2
2020-04-10,Charlotte Gomer,2,5
2020-04-10,Larry Hughes,2,6
2020-04-10,Mark Herring,2,7
2020-04-10,Michael Moore,2,8
2020-04-10,Ralph Northam,2,9
2020-04-10,Terrence Shea Cook,2,10
2020-04-10,Victor Glasberg,2,11
2020-04-10,Nancy Reynoza,4,4
2020-04-10,Keira Lombardo,5,3
2020-04-10,Josh Clayton,7,2
2020-04-10,Kenneth Sullivan,10,1
2020-04-12,Daniel Acker Bloomberg,1,3
2020-04-12,Nancy Reynoza,1,4
2020-04-12,Paul Tenhaken,1,5
2020-04-12,Ken Sullivan,2,2
2020-04-12,Kristi Noem,3,1
2020-04-13,Daniel Acker Bloomberg,1,3
2020-04-13,Isengildina Massa,1,4
2020-04-13,Josh Clayton,1,5
2020-04-13,Keira Lombardo,1,6
2020-04-13,Ken Sullivan,1,7
2020-04-13,Mike Pence,1,8
2020-04-13,Nancy Reynoza,1,9
2020-04-13,Olga Isengildina Massa,1,10
2020-04-13,Upton Sinclair,1,11
2020-04-13,Kenneth Sullivan,2,2
2020-04-13,Kristi Noem,3,1
2020-04-14,Nan,1,1
2020-04-15,Donovan Owens,1,1
2020-04-15,Isengildina Massa,1,2
2020-04-15,Ken Sullivan,1,3
2020-04-15,Kenneth Sullivan,1,4
2020-04-15,Lisa Martin,1,5
2020-04-15,Michael Futch,1,6
2020-04-15,Olga Isengildina Massa,1,7
2020-04-15,Peter Cooney,1,8
2020-04-15,Steve Meyer,1,9
2020-04-15,Tom Polansek,1,10
2020-04-16,Angelita Rodriguez,1,1
2020-04-16,Josh Clayton,1,2
2020-04-16,Keira Lombardo,1,3
2020-04-16,Kenneth Sullivan,1,4
2020-04-16,Kristi Noem,1,5
2020-04-16,Lora Hubbel,1,6
2020-04-16,Nancy Reynoza,1,7
2020-04-16,Paul Tenhaken,1,8
2020-04-17,Angelita Rodriguez,1,2
2020-04-17,Elizabeth Warren,1,3
2020-04-17,Lora Hubbel,1,4
2020-04-17,Michael Osmon,1,5
2020-04-17,Patti Gohn,1,6
2020-04-17,Paul Tenhaken,1,7
2020-04-17,Ruth Davis,1,8
2020-04-17,Zachariah Morford,1,9
2020-04-17,Kristi Noem,2,1
2020-04-18,Keira Lombardo,1,1
2020-04-18,Noel White,1,2
2020-04-18,Taneeza Islam,1,3
2020-04-19,Keira Lombardo,1,11
2020-04-19,Noel White,1,12
2020-04-19,Norman Oliver,1,13
2020-04-19,Taneeza Islam,1,14
2020-04-19,Andrea Clontz,2,1
2020-04-19,Dick Grice,2,2
2020-04-19,Don Rosie,2,3
2020-04-19,Donald Robertson,2,4
2020-04-19,Jennifer Trapp,2,5
2020-04-19,Peter Glagola,2,6
2020-04-19,Randy Keaton,2,7
2020-04-19,Robert Jones,2,8
2020-04-19,Todd Wagner,2,9
2020-04-19,Volpe Boykin,2,10
2020-04-20,Nan,1,1
2020-04-21,Bob Krebs,1,1
2020-04-21,Kim Reynolds,1,2
2020-04-21,Noel White,1,3
2020-04-22,Andrew Cuomo,1,1
2020-04-22,Brian Kemp,1,2
2020-04-22,Chazz Palminteri,1,3
2020-04-22,Christopher Columbus,1,4
2020-04-22,Neil Mattera,1,5
2020-04-22,Philip Foglia,1,6
2020-04-22,Ron Desantis,1,7
2020-04-22,Rudy Giuliani,1,8
2020-04-22,Sonny Perdue,1,9
2020-04-22,William Barr,1,10
2020-04-23,Kristi Noem,1,1
2020-04-24,Abebe Lamesgin,1,3
2020-04-24,Nan,1,4
2020-04-24,Keira Lombardo,2,1
2020-04-24,Kristi Noem,2,2
2020-04-25,Benjamin Ola,1,1
2020-04-25,Brian Kemp,1,2
2020-04-25,Eric Silagy,1,3
2020-04-25,Gerald Griggs,1,4
2020-04-25,Jan Wade,1,5
2020-04-25,Josh Stein,1,6
2020-04-25,Justice Sam Ervin,1,7
2020-04-25,Keith Brown,1,8
2020-04-25,Kenneth Huewitt,1,9
2020-04-25,Kia Hayes,1,10
2020-04-25,Michelle Obama,1,11
2020-04-25,Mike Anderson,1,12
2020-04-25,Mike Easley,1,13
2020-04-25,Nan,1,14
2020-04-25,Nikema Williams,1,15
2020-04-25,Richard Corcoran,1,16
2020-04-25,Roy Cooper,1,17
2020-04-25,Tanner Magee,1,18
2020-04-25,Ted James,1,19
2020-04-25,Ted Wheeler,1,20
