date,person,count,rn
2020-02-17,Adrian Zapata,1,1
2020-02-18,Adrian Zapata,2,1
2020-02-18,Mark Foust,2,2
2020-03-05,Eric Maloney,1,1
2020-03-05,Jerremy Hughes,1,2
2020-03-05,Pam Burton,1,3
2020-03-05,Ron Niremberg,1,4
2020-03-13,Jake Williamson,1,1
2020-03-15,Anthony Fauci,1,1
2020-03-15,Casey Stinnett,1,2
2020-03-15,Casey Stinnett Casey Stinnett,1,3
2020-03-15,Elizabeth Waltman,1,4
2020-03-15,Jeremy Walther,1,5
2020-03-15,Nan,1,6
2020-03-15,Sandra Cisneros,1,7
2020-03-15,Scott Pelley,1,8
2020-03-15,Steve Adler,1,9
2020-03-15,Tim Obrien,1,10
2020-03-15,Travis Young,1,11
2020-03-16,Nan,1,1
2020-03-17,Bill Blackburn,2,1
2020-03-17,Cory Edmondson,2,2
2020-03-17,Dannie Smith,2,3
2020-03-17,Harley Belew,2,4
2020-03-17,Jeremy Hughes,2,5
2020-03-17,Jonathan Letz,2,6
2020-03-17,Tom Moser,2,7
2020-03-19,Blake Smith,1,1
2020-03-19,David Barker,1,2
2020-03-19,Greg Abbott,1,3
2020-03-19,Jane Ragsdale,1,4
2020-03-19,Stephen Mabry,1,5
2020-03-20,Bill Blackburn,2,1
2020-03-20,Greg Abbott,2,2
2020-03-20,Rob Kelly,2,3
2020-03-21,Nan,1,12
2020-03-21,Bill Blackburn,2,1
2020-03-21,Cory Edmonson,2,2
2020-03-21,Dannie Smith,2,3
2020-03-21,Delayne Sigerman,2,4
2020-03-21,Gary Cochrane,2,5
2020-03-21,Greg Abbott,2,6
2020-03-21,Judy Eychner,2,7
2020-03-21,Kim Clarkson,2,8
2020-03-21,Mark Mcdaniel,2,9
2020-03-21,Mike Hayes,2,10
2020-03-21,Rob Kelly,2,11
2020-03-22,David Danielson,1,1
2020-03-22,David Payne,1,2
2020-03-22,Greg Abbott,1,3
2020-03-22,Roy Waldrep,1,4
2020-03-25,Donald Trump,1,9
2020-03-25,Gary Cochrane,1,10
2020-03-25,Gary Cohcrane,1,11
2020-03-25,Greg Abbott,1,12
2020-03-25,Rob Kelly,1,13
2020-03-25,Brenda Hughes,2,2
2020-03-25,Dannie Smith,2,3
2020-03-25,David Barker,2,4
2020-03-25,Delayne Sigerman,2,5
2020-03-25,Judy Eychner,2,6
2020-03-25,Mark Mcdaniel,2,7
2020-03-25,Roman Garcia,2,8
2020-03-25,Bill Blackburn,3,1
2020-03-26,Nan,1,1
2020-03-28,Bill Blackburn,1,2
2020-03-28,Cory Edmondson,1,3
2020-03-28,Donald Trump,1,4
2020-03-28,Jason Davis,1,5
2020-03-28,Louis Amestoy,1,6
2020-03-28,Mack Blanton,1,7
2020-03-28,Tom Green,1,8
2020-03-28,Rob Kelly,2,1
2020-03-30,Nan,1,1
2020-04-02,Ron Nirenberg,1,5
2020-04-02,Bill Blackburn,2,1
2020-04-02,Cory Edmondson,2,2
2020-04-02,Greg Abbott,2,3
2020-04-02,Rob Kelly,2,4
2020-04-03,Jonathan Letz,1,5
2020-04-03,Deborah Birx,2,3
2020-04-03,Greg Abbott,2,4
2020-04-03,Bill Blackburn,3,2
2020-04-03,Rob Kelly,5,1
2020-04-04,Allison Bueche,1,8
2020-04-04,Carolyn Northcutt,1,9
2020-04-04,Beth Palmer,3,2
2020-04-04,Bill Blackburn,3,3
2020-04-04,Darrel Lux,3,4
2020-04-04,Judy Eychner,3,5
2020-04-04,Rob Kelly,3,6
2020-04-04,Vincent De Paul,3,7
2020-04-04,Greg Abbott,4,1
2020-04-05,Nan,2,1
2020-04-07,Nan,1,1
2020-04-09,Eddie Garcia,1,1
2020-04-10,Eddie Garcia,1,1
2020-04-11,Cory Edmondson,1,1
2020-04-11,Greg Abbott,1,2
2020-04-11,Jeff Davis,1,3
2020-04-11,Rob Kelly,1,4
2020-04-13,Dannie Smith,2,1
2020-04-14,Amy Dozier,1,1
2020-04-14,Anthony Fauci,1,2
2020-04-14,Beverly Reed,1,3
2020-04-14,Bill Blackburn,1,4
2020-04-14,Dan Patrick,1,5
2020-04-14,David Adamson,1,6
2020-04-14,Divya Siddarth,1,7
2020-04-14,Eric Widra,1,8
2020-04-14,Greg Abbott,1,9
2020-04-14,John Zhang,1,10
2020-04-14,Lucy Wilke,1,11
