date,person,count,rn
2020-03-07,Gary Herbert,1,1
2020-03-07,Jesus Christ,1,2
2020-03-07,Spencer Cox,1,3
2020-03-07,Tom Miller,1,4
2020-03-10,Don Walker,1,1
2020-03-10,Kenji Haroutunian,1,2
2020-03-10,Las Vegas,1,3
2020-03-10,Stacey Gellert,1,4
2020-03-10,Yoon Kim,1,5
2020-03-14,Nan,1,1
2020-03-18,Barry Bortz,1,2
2020-03-18,Bob Gardner,1,3
2020-03-18,Caryn Tyson,1,4
2020-03-18,Courtney Windholz,1,5
2020-03-18,Cyndee Tuttle,1,6
2020-03-18,Dan Hawkins,1,7
2020-03-18,Dennis Pyle,1,8
2020-03-18,Donald Trump,1,9
2020-03-18,Jared Polis,1,10
2020-03-18,Jerry Sonnenberg,1,11
2020-03-18,Las Vegas,1,12
2020-03-18,Lee Norman,1,13
2020-03-18,Lori Saine,1,14
2020-03-18,Mike Thompson,1,15
2020-03-18,Monica Duran,1,16
2020-03-18,Pat Pettey,1,17
2020-03-18,Paul Unruh,1,18
2020-03-18,Roger Marshall,1,19
2020-03-18,Ryan Patrick Mcphail Clark,1,20
2020-03-18,Stephanie Clayton,1,21
2020-03-18,Steve Sisolak,1,22
2020-03-18,Steven Mnuchin,1,23
2020-03-18,Tom Sullivan,1,24
2020-03-18,Vic Miller,1,25
2020-03-18,Laura Kelly,2,1
2020-03-19,Lindsay Whitehurst,1,6
2020-03-19,Rick Bowmer,2,5
2020-03-19,Emanuel Maidenberg,4,4
2020-03-19,Jesus Christ,5,1
2020-03-19,Marsha Guertzgen,5,2
2020-03-19,Michelle Daneri,5,3
2020-03-20,Emanuel Maidenberg,1,1
2020-03-20,Jeff Wadekamper,1,2
2020-03-20,Jesus Christ,1,3
2020-03-20,Marsha Guertzgen,1,4
2020-03-20,Michelle Daneri,1,5
2020-03-26,Black Hawk,1,2
2020-03-26,Brad Loveless,1,3
2020-03-26,David Toland,1,4
2020-03-26,Julie Menghini,1,5
2020-03-26,Laura Kelly,1,6
2020-03-26,Lee Norman,1,7
2020-03-26,Liz Ryan,1,8
2020-03-26,Robert Kenagy,1,9
2020-03-26,Shelia Lowrie,1,10
2020-03-26,Steven Stites,1,11
2020-03-26,Amanda Derby,3,1
2020-03-28,Jerry Moran,1,1
2020-03-28,Roger Marshall,1,2
2020-03-28,Sonny Perdue,1,3
2020-03-30,Alesa Lewis Miller,1,1
2020-04-02,Derek Schmidt,1,1
2020-04-02,James Hyman,1,2
2020-04-02,Jeanne Gawdun,1,3
2020-04-02,Jennifer Roth,1,4
2020-04-02,Julie Burkhart,1,5
2020-04-02,Lacey Cruse,1,6
2020-04-02,Laura Kelly,1,7
2020-04-02,Lee Norman,1,8
2020-04-02,Michael Odonnell,1,9
2020-04-02,Stephen Mcallister,1,10
2020-04-02,Susan Wagle,1,11
2020-04-03,Andrew Sorrell,1,1
2020-04-03,Brian Joens,1,2
2020-04-03,Cameron Diehl,1,3
2020-04-03,Chris Mayes,1,4
2020-04-03,Ellis Marsalis,1,5
2020-04-03,Gail Terry,1,6
2020-04-03,Gary Herbert,1,7
2020-04-03,Meg Matthews,1,8
2020-04-03,Tessa Moberg,1,9
2020-04-07,Christina Gayman,1,2
2020-04-07,Delia Garcia,1,3
2020-04-07,Derek Schmidt,1,4
2020-04-07,Donald Trump,1,5
2020-04-07,Jennifer Voegele,1,6
2020-04-07,Jerry Moran,1,7
2020-04-07,Sheila Lowrie,1,8
2020-04-07,Laura Kelly,2,1
2020-04-08,Adrienne Vallejo Foster,1,1
2020-04-08,Delia Garcia,1,2
2020-04-08,Derek Schmidt,1,3
2020-04-08,Jerry Maguire,1,4
2020-04-08,Laura Kelly,1,5
2020-04-08,Nicolas Shump,1,6
2020-04-08,Roger Marshall,1,7
2020-04-08,Sharice Davids,1,8
2020-04-08,Susan Wagle,1,9
2020-04-11,Adrianna Rodriguez,1,2
2020-04-11,Andy Beshear,1,3
2020-04-11,Anthony Fauci,1,4
