date,person,count,rn
2020-03-13,Richard Kirkpatrick,1,1
2020-03-16,Danny Calhan,1,1
2020-03-16,Erik Spitzer,1,2
2020-03-26,Sam Fugate,1,1
2020-03-30,Adriana Garza-Flores,1,1
2020-03-30,Amanda Defree,1,2
2020-03-30,Blake Naylor,1,3
2020-03-30,Clarenda Phillips,1,4
2020-03-30,Luisa Buttler,1,5
2020-04-03,Nan,1,1
2020-04-10,Nan,1,1
2020-04-15,John Cornyn,1,1
2020-04-19,Dick Kleberg,1,1
2020-04-19,Kingsville Facebook,1,2
2020-04-19,Sam Fugate,1,3
2020-04-23,Annette Rodriguez,1,1
2020-04-23,Donald Trump,1,2
2020-04-23,Greg Abbott,1,3
2020-04-23,Peter Zanoni,1,4
2020-04-24,Annette Rodriguez,1,1
2020-04-24,Donald Trump,1,2
2020-04-24,Greg Abbott,1,3
2020-04-24,Peter Zanoni,1,4
2020-04-27,Annette Rodriguez,1,1
2020-04-27,Donald Trump,1,2
2020-04-27,Greg Abbott,1,3
2020-04-27,Peter Zanoni,1,4
2020-04-27,Sam Fugate,1,5
2020-04-30,Sam Fugate,2,1
2020-05-12,Peter Zanoni,1,2
2020-05-12,Nan,2,1
2020-05-13,Nan,1,1
2020-05-15,Peter Zanoni,1,1
2020-05-16,Peter Zanoni,1,1
2020-05-17,Peter Zanoni,1,1
