date,person,count,rn
2020-02-09,Allison Mcgeer,1,1
2020-02-09,Amesh Adalja,1,2
2020-02-09,Angela Brewer,1,3
2020-02-09,Angie Cadena,1,4
2020-02-09,Bryan Wilkinson,1,5
2020-02-09,Delia Parker-Mims,1,6
2020-02-09,Derbha Jones,1,7
2020-02-09,Diana Weitzel,1,8
2020-02-09,Dugan Broomfield,1,9
2020-02-09,Gary Green,1,10
2020-02-09,George Mitcham,1,11
2020-02-09,Ira Bershad,1,12
2020-02-09,James Farmer,1,13
2020-02-09,James Johnson,1,14
2020-02-09,Jane Nelson,1,15
2020-02-09,Jared Patterson,1,16
2020-02-09,Jennifer Skidonenko,1,17
2020-02-09,Jim Johnson,1,18
2020-02-09,Jonathan Bailey,1,19
2020-02-09,Marc Lipsitch,1,20
2020-02-09,Martin Luther King Jr,1,21
2020-02-09,Peter Hotez,1,22
2020-02-09,Randy Daniels,1,23
2020-02-09,Rick Perry,1,24
2020-02-09,Sandy Swan,1,25
2020-02-09,Shadi Zitoon,1,26
2020-02-09,Tracy Murphree,1,27
2020-02-09,Willie Hudpseth,1,28
2020-04-03,Latoya Cantrell,1,1
2020-04-03,Marlin Gusman,1,2
2020-04-03,Sade Dumas,1,3
2020-04-08,Scott Franklin,1,1
2020-04-08,Scott Sutterfield,1,2
2020-04-30,Donald Trump,1,3
2020-04-30,Gerald Herbert,1,4
2020-04-30,Gerald Mitchell,1,5
2020-04-30,Jeff Landry,1,6
2020-04-30,John Bel Edward,1,7
2020-04-30,John Bel Edwards,1,8
2020-04-30,Melinda Deslatte,1,9
2020-04-30,Sharon Hewitt,1,10
2020-04-30,Kenny Havard,3,1
2020-04-30,Scott Franklin,3,2
2020-05-01,Gerald Herbert,1,8
2020-05-01,Kenny Havard,2,6
2020-05-01,Melinda Deslatte,2,7
2020-05-01,Donald Trump,3,2
2020-05-01,Gerald Mitchell,3,3
2020-05-01,Jeff Landry,3,4
2020-05-01,John Bel Edwards,3,5
2020-05-01,Scott Franklin,4,1
2020-05-02,Amber Mccandles,1,2
2020-05-02,Debbie Thompson,1,3
2020-05-02,Doug Ducey,1,4
2020-05-02,Gavin Newsom,1,5
2020-05-02,Gerald Mitchell,1,6
2020-05-02,Heather Hardwick,1,7
2020-05-02,Janet Irene,1,8
2020-05-02,Jeff Landry,1,9
2020-05-02,Jodie Larranga,1,10
2020-05-02,John Bel Edwards,1,11
2020-05-02,Martin Modey Hicks,1,12
2020-05-02,Melinda Deslatte,1,13
2020-05-02,Scott Franklin,1,14
2020-05-02,Donald Trump,2,1
2020-05-04,Clay Schexnayder,1,1
2020-05-04,John Bel Edwards,1,2
2020-05-04,Page Cortez,1,3
