date,person,count,rn
2020-03-02,Lionel Hampton,2,1
2020-03-02,Nan,2,2
2020-03-02,Tegna Jason Puckett,2,3
2020-03-03,Scott Maben,1,1
2020-03-05,Blaine Eckles,1,1
2020-03-05,Charles Baldwin,1,2
2020-03-05,Christine Hahn,1,3
2020-03-05,Chuck Baldwin,1,4
2020-03-05,Dave Jeppesen,1,5
2020-03-05,David Pate,1,6
2020-03-05,Emily Tuschhoff,1,7
2020-03-05,James Wesley,1,8
2020-03-05,Jim Bakker,1,9
2020-03-05,Matthew Sutton,1,10
2020-03-05,Sherri Ybarra,1,11
2020-03-05,Tanya Miura,1,12
2020-03-06,Charles Baldwin,1,1
2020-03-06,Jim Bakker,1,2
2020-03-06,Matthew Sutton,1,3
2020-03-06,Rawles James Wesley,1,4
2020-03-06,Tracy Simmons,1,5
2020-03-10,Brad Chism,1,1
2020-03-10,Dave Roberts,1,2
2020-03-10,Donald Trump,1,3
2020-03-10,Hillary Clinton,1,4
2020-03-10,Joe Biden,1,5
2020-03-10,Kyle Kondik,1,6
2020-03-10,Mark Grebner,1,7
2020-03-10,Markie Mcbrayer,1,8
2020-03-10,Matt Grossmann,1,9
2020-03-10,Peverill Squire,1,10
2020-03-10,Stuart Elway,1,11
2020-03-12,Lee Ostrom,1,1
2020-03-12,Scott Woolstenhulme,1,2
2020-03-13,Bob Kendrick,1,1
2020-03-13,Megan Guido,1,2
2020-03-13,Troy Henderson,1,3
2020-03-14,Derec Styer,1,4
2020-03-14,Geoff Crimmins,1,5
2020-03-14,Nan,1,6
2020-03-14,Brad Little,2,1
2020-03-14,Kevin Satterlee,2,2
2020-03-14,Sherri Ybarra,2,3
2020-03-15,Derec Styer,1,4
2020-03-15,Geoff Crimmins,1,5
2020-03-15,Brad Little,2,1
2020-03-15,Kevin Satterlee,2,2
2020-03-15,Sherri Ybarra,2,3
2020-03-17,Sarah Mcknight,1,1
2020-03-18,Calvin Johnson,1,1
2020-03-18,Jay Inslee,1,2
2020-03-18,Jerry Pugh,1,3
2020-03-18,Paul Clark,1,4
2020-03-21,Brad Little,2,2
2020-03-21,David Jeppesen,2,3
2020-03-21,Donald Trump,2,4
2020-03-21,Mike Pence,2,5
2020-03-21,Tara Macke,2,6
2020-03-21,Troy Henderson,2,7
2020-03-21,Jay Inslee,3,1
2020-03-22,David Jeppesen,1,2
2020-03-22,Donald Trump,1,3
2020-03-22,Jay Inslee,1,4
2020-03-22,Kevin Satterlee,1,5
2020-03-22,Mike Pence,1,6
2020-03-22,Sherri Ybarra,1,7
